year,un_DET are_NOUN,un_DET quart_NOUN
1800,2.3266816917555388e-07,2.1748184849457175e-05
1801,1.9287579511306774e-07,2.1244911124540522e-05
1802,2.215461734067503e-07,2.1919644524359683e-05
1803,2.788984960755414e-07,1.980764486120279e-05
1804,1.7797326279378467e-07,2.1299939419350267e-05
1805,7.675769686521505e-08,1.93884260681898e-05
1806,1.2391176706927354e-07,1.7872111669703372e-05
1807,9.679647661187119e-08,1.9495948635039895e-05
1808,1.6768947030953996e-07,1.7376254845657968e-05
1809,8.132509665692567e-08,2.2795877526959885e-05
1810,7.254393041833396e-08,1.9507297338350327e-05
1811,1.2033968266322859e-07,2.1102064295064338e-05
1812,9.601949502169305e-08,2.172174464476484e-05
1813,1.6966876126289776e-07,2.09699082915904e-05
1814,7.237357690925705e-08,2.3461625346499204e-05
1815,9.170560133497929e-08,1.990281322150622e-05
1816,9.965696534663948e-08,1.9525812660958763e-05
1817,1.0275364747958093e-07,2.169503176219223e-05
1818,7.867977047659735e-08,1.8529085309637594e-05
1819,4.761483052284632e-08,1.687117605797539e-05
1820,5.814575754214957e-08,1.6995174348721775e-05
1821,5.522433432769702e-08,1.66314005696222e-05
1822,4.210758675071702e-08,1.580638630116482e-05
1823,4.051901758561627e-08,1.7321385712421034e-05
1824,5.3895122142932905e-08,1.716138643814702e-05
1825,4.6668849673636714e-08,1.8404256422854814e-05
1826,8.631824399696342e-08,2.1162063205792947e-05
1827,7.558163994669798e-08,1.878664511423267e-05
1828,6.879225594724758e-08,1.7664935541006344e-05
1829,4.372319883927389e-08,1.7843351940882712e-05
1830,8.975679155476257e-08,1.8924071525816544e-05
1831,4.2096254482260065e-08,2.020152624027105e-05
1832,1.3259370146290195e-07,1.947233261034853e-05
1833,8.571884757557768e-08,2.127333465296033e-05
1834,7.747660801804557e-08,2.1626240481964487e-05
1835,7.109302657681837e-08,1.8934190393338213e-05
1836,9.677879853065008e-08,1.7178909217818727e-05
1837,7.86241648453867e-08,1.8471112412044022e-05
1838,6.690891618532646e-08,1.6928587598386002e-05
1839,8.45968473051073e-08,1.690119228214826e-05
1840,7.771020305025189e-08,1.6589854453741282e-05
1841,6.292137255670127e-08,1.6808353848318802e-05
1842,9.391570809924588e-08,1.6482878038459603e-05
1843,7.265500523434554e-08,1.6264680311905977e-05
1844,1.5971713107632013e-07,1.4449186437559547e-05
1845,1.2332303644946307e-07,1.5294289141820627e-05
1846,1.176754762521881e-07,1.6613904676887614e-05
1847,9.384208876639377e-08,1.5599359812767943e-05
1848,1.3274615284775138e-07,1.7538582710585615e-05
1849,1.6339858888159142e-07,1.667419758177857e-05
1850,1.3442211965752904e-07,1.7375755874127208e-05
1851,1.0125618654655e-07,1.605007270200076e-05
1852,1.2825774886593422e-07,1.7333676680664212e-05
1853,1.1406389655022053e-07,1.7068378667772777e-05
1854,8.988499344830814e-08,1.5225895026560465e-05
1855,1.1091498564042013e-07,1.6539599982934305e-05
1856,1.0199063016358423e-07,1.6163701786808815e-05
1857,9.226052422039999e-08,1.572822253592676e-05
1858,9.102237541469549e-08,1.5328461415720085e-05
1859,1.1202781236008263e-07,1.6197693355479714e-05
1860,9.245911714028665e-08,1.5625133016783366e-05
1861,9.290448810261864e-08,1.510145909833227e-05
1862,1.418647754825031e-07,1.5042635482132027e-05
1863,1.683187182965895e-07,1.4422966273741622e-05
1864,1.4096500455806904e-07,1.5086611597325827e-05
1865,1.0637468372820535e-07,1.4006626997797866e-05
1866,8.417510199976164e-08,1.5229854625431472e-05
1867,1.640250335555038e-07,1.5368368735835247e-05
1868,1.353525531655464e-07,1.6703195797163062e-05
1869,9.962379388106513e-08,1.509349237949209e-05
1870,9.28915917519646e-08,1.4629852444159042e-05
1871,1.2108142133371302e-07,1.768001095570071e-05
1872,1.1066630656308973e-07,1.618026163896502e-05
1873,6.644465111449449e-08,1.722831865436092e-05
1874,7.946230157207523e-08,1.642121321765444e-05
1875,9.440519954662108e-08,1.6251425108748663e-05
1876,9.371322651219316e-08,1.5500772690302256e-05
1877,8.102109150254222e-08,1.542493100714637e-05
1878,8.213160263004227e-08,1.4426174573145545e-05
1879,1.2646303693131244e-07,1.6191545000765473e-05
1880,9.370055242818864e-08,1.5450964554020175e-05
1881,9.203710221727945e-08,1.5366012178219535e-05
1882,1.1513815967312269e-07,1.5215541168345226e-05
