year,en_ADP anneaux_NOUN,en_ADP canot_NOUN
1800,3.710113958277361e-07,2.2952400513531757e-07
1801,3.6193975461173977e-07,7.857902772911984e-08
1802,3.177732992298843e-07,2.2378401354217203e-07
1803,7.937880468489311e-07,9.751695984050457e-08
1804,4.004398590495839e-07,3.21340621667332e-07
1805,1.8194417350514414e-07,2.842877755426798e-08
1806,2.305335300434308e-07,3.1698359492793315e-08
1807,1.4519470425966574e-07,1.6227643584443285e-07
1808,1.450287356874469e-07,2.22075257738652e-07
1809,2.0557178004310117e-07,2.2364402241237258e-07
1810,1.2870697219113936e-07,1.591286178381779e-07
1811,1.504246114336638e-07,1.1031137603367824e-07
1812,1.226915742336132e-07,4.800974906515876e-08
1813,5.7514832008109806e-08,1.9267469042461016e-07
1814,1.0698702368472368e-07,5.349351184236184e-08
1815,1.6992508733437717e-07,2.0768621311617608e-07
1816,4.357095235718589e-07,1.1356259221884102e-07
1817,5.464625587592309e-07,4.203558034987509e-08
1818,3.2067967481452797e-07,7.987188865854478e-08
1819,2.2875821059642476e-07,1.0765091928988113e-07
1820,1.7206397728841694e-07,1.7443727529098396e-07
1821,1.0255947557880063e-07,1.8835442006093217e-07
1822,1.6341753905635414e-07,2.095353721642823e-07
1823,1.4725203811849497e-07,1.7492355652848346e-07
1824,1.364220310051678e-07,9.179012749882531e-08
1825,1.7522832251870568e-07,1.1094858365368054e-07
1826,1.6647089751131716e-07,1.559013185215008e-07
1827,2.101538285614879e-07,1.2074627875335864e-07
1828,2.3389368664084031e-07,1.449223532290489e-07
1829,2.1861599464045867e-07,9.344761764396026e-08
1830,2.9327509309950983e-07,1.231546633562175e-07
1831,2.354272083948672e-07,1.855353559676587e-07
1832,2.2459748549863434e-07,1.2582871988797706e-07
1833,2.6989854973180627e-07,2.4325620984200214e-07
1834,2.2869600968533632e-07,1.7922299377914896e-07
1835,2.2235478525090002e-07,1.9134611761728593e-07
1836,2.4799567199806916e-07,8.602560086501398e-08
1837,1.8507989807403646e-07,1.029767844329399e-07
1838,1.7863418122487928e-07,7.953323688525415e-08
1839,2.1603658240110235e-07,1.3353717065456294e-07
1840,1.490507202106528e-07,1.0637380398748064e-07
1841,1.6821837789393612e-07,1.0529699778771828e-07
1842,1.885022413716797e-07,1.1538215716200284e-07
1843,1.624400596256237e-07,8.505952125981153e-08
1844,1.4654457913820806e-07,6.586273570974299e-08
1845,1.4062175068829674e-07,9.374782905524626e-08
1846,1.6158423932211008e-07,1.1065007754496037e-07
1847,2.1734690847097227e-07,9.977463832910871e-08
1848,2.0515315668490075e-07,1.5849086310026905e-07
1849,2.1535096550451271e-07,1.0055298105271504e-07
1850,1.4732121655924857e-07,7.400005586077896e-08
