year,en_ADP âme_NOUN,en_ADP ame_NOUN,en_ADP came_NOUN
1800,6.288328968651058e-09,1.446315653907959e-07,0.0
1801,1.904946067554647e-08,2.0478170359439218e-07,0.0
1802,2.0140561218795483e-08,7.832440473976021e-08,2.2378401354217203e-09
1803,4.290746247193056e-08,9.751695762005852e-08,0.0
1804,1.4831105232815389e-08,2.4471323856189997e-07,2.4718509461507665e-09
1805,2.842877711017877e-09,1.3645813323748257e-07,0.0
1806,1.2679343797117326e-07,2.0748018414451508e-07,0.0
1807,8.540865792383556e-09,2.7046074890790806e-07,0.0
1808,9.064295980465431e-09,2.6286459053892486e-07,0.0
1809,1.3554183553310395e-08,1.6716825657070444e-07,2.259030518203531e-09
1810,1.6380887757350138e-08,1.8487000863487424e-07,0.0
1811,7.270522672797597e-08,9.777599307980722e-08,0.0
1812,1.3336041604361526e-08,8.268345785822362e-08,2.6672082320544632e-09
1813,6.039057609541487e-08,7.189354045422647e-08,2.8757416448144113e-09
1814,4.405347908686963e-08,1.5733386149463513e-07,0.0
1815,4.045835311217161e-08,2.886029148996272e-07,0.0
1816,3.9399267848239106e-08,1.3442102897442965e-07,0.0
1817,9.029865566390072e-08,8.25142891791586e-08,1.556873407970727e-09
1818,8.344824209416402e-08,9.775365494846255e-08,1.1921177378582115e-09
1819,1.625114833814223e-07,1.1800196819677922e-07,3.105315005136333e-09
1820,9.374520004712394e-08,2.0054353644383127e-07,2.3732962262101864e-09
1821,1.370746929296729e-07,1.4989461838421647e-07,9.86148829262845e-10
1822,1.1529458276982041e-07,1.6141241587774857e-07,1.0025615893027862e-09
1823,8.103803139647425e-08,1.7195875101627678e-07,4.941343556552624e-09
1824,5.726356633317664e-08,1.1200079974571509e-07,4.210556348027694e-09
1825,9.509878395874694e-08,1.673034146776331e-07,8.805443041381977e-10
1826,1.0041102171953753e-07,1.444509369896707e-07,8.807984341885344e-10
1827,4.7929820112813104e-08,1.281200947556016e-07,9.217273055917019e-10
1828,1.1740545602378916e-07,1.1190207738209779e-07,9.172301251858528e-10
1829,6.858540757548326e-08,1.0287811458287166e-07,2.571952872898464e-09
1830,1.2106730196137505e-07,1.1376150732544943e-07,4.174734336004349e-09
1831,7.483778574624012e-08,1.683850194833525e-07,0.0
1832,7.035583848846727e-08,1.339466928484967e-07,4.058990810129615e-09
1833,6.950177322551099e-08,1.297366415409229e-07,8.108539839568607e-09
1834,6.347480763224667e-08,9.987947935385932e-08,9.334530925997342e-10
1835,7.941242330389287e-08,1.096647750387092e-07,7.563087933704082e-10
1836,1.424799052074377e-07,2.3522625891558846e-07,2.0162250202737653e-09
1837,1.4541991610883542e-07,1.0228099567299864e-07,4.174734447026651e-09
1838,1.1993107307262107e-07,6.880256608887692e-08,1.8936485712828244e-09
1839,9.508406151326199e-08,1.531133128063189e-07,3.4957376993105527e-09
1840,1.5733131419892743e-07,5.860113594380323e-08,6.369688665408546e-10
1841,1.2327453191574023e-07,4.558589505876398e-08,2.5682194149112547e-09
1842,1.9923547256439633e-07,8.519496930148307e-08,6.708265054555795e-10
1843,1.7779802874429151e-07,6.143187414320295e-08,2.953455480181333e-09
1844,2.2503100632897954e-07,2.5796237368425068e-08,1.097712254427563e-09
1845,2.0758447760726995e-07,3.9061595735745414e-08,5.580227946389016e-10
1846,2.3066735366228386e-07,3.80542584110799e-08,1.1709002656346001e-09
1847,1.7042586364368617e-07,2.2651539310913904e-08,5.3932236454556914e-09
1848,1.4803208414626567e-07,2.1722098675347468e-08,0.0
1849,1.0977033326753372e-07,3.016589333881825e-08,1.6758829879393033e-09
1850,1.6904600386169477e-07,4.480737558765213e-08,6.788996032014438e-10
1851,1.902584472190938e-07,3.1602249261908355e-08,3.2247193804124663e-09
1852,1.75784729661288e-07,2.9948508561972176e-08,3.906327261660181e-09
1853,1.6840847649746138e-07,8.360704351062509e-09,4.180352286553557e-09
1854,2.0574831749442524e-07,7.170016669277857e-08,2.597832227113628e-09
1855,2.595092283286249e-07,4.4578271740647324e-08,4.2455496895854594e-09
1856,2.2054825654649335e-07,3.365172940306138e-08,2.5885946164372342e-09
1857,2.2552572620515576e-07,4.8326939339204955e-08,3.90520732418409e-09
1858,2.0895996305503317e-07,4.306434808754034e-08,2.4468380654951716e-09
1859,1.9197493306144509e-07,2.6988518087023294e-08,2.5460866748261424e-09
1860,1.5928600305414875e-07,2.0597326844118413e-08,1.8308735638683515e-09
1861,2.273094588112201e-07,2.5937801240161207e-08,4.715963730639317e-10
1862,2.5752521537469875e-07,5.6474828480368444e-08,7.228778048373741e-09
1863,3.006761863932894e-07,6.493007131957995e-08,2.9967726078439227e-09
1864,1.9370700521381679e-07,2.8768368576237435e-08,1.4384183844029508e-09
1865,1.6991708440272646e-07,2.541695881541628e-08,1.882737743486018e-09
1866,1.834336065265063e-07,3.503241252644784e-08,6.811858299649032e-09
1867,1.824657047677647e-07,3.008743121313273e-08,3.88224918879132e-09
1868,1.926550936559579e-07,4.396488062496928e-08,3.4579118457500613e-09
1869,1.7141151809063615e-07,9.767038733343725e-09,2.930111597798657e-09
