year,bien_ADV oser_VERB,bien_ADV causer_VERB
1800,0.0,1.5720821977538435e-08
1801,0.0,3.333655484993869e-08
1802,8.951360541686881e-09,4.2518962573012686e-08
1803,0.0,1.950339223455444e-09
1804,1.2359254952798437e-08,6.426812149129546e-08
1805,0.0,2.55858996212055e-08
1806,0.0,6.051504897186533e-08
1807,0.0,2.2775640928784924e-08
1808,0.0,1.1330369531492579e-08
1809,0.0,2.0331274441787173e-08
1810,1.4040760554223652e-08,2.106114038724627e-08
1811,1.2535384286138651e-08,2.757784400841956e-08
1812,0.0,3.467370746079723e-08
1813,0.0,2.5881675469463516e-08
1814,1.2586708564299443e-08,6.293354282149721e-09
1815,0.0,2.6972236000233352e-08
1816,2.3176038865813098e-09,3.7081662185300956e-08
1817,1.556873407970727e-09,1.5568733857662664e-08
1818,0.0,5.2453181353939726e-08
1819,0.0,1.9666995143552413e-08
1820,0.0,5.577246042776096e-08
1821,0.0,1.972297702934611e-08
1822,1.0025615893027862e-09,1.604098542884458e-08
1823,0.0,2.9648060007048116e-08
1824,0.0,1.6842225392110777e-08
1825,0.0,5.0191026446100295e-08
1826,1.7615968683770689e-09,3.3470339388941284e-08
1827,1.8434546111834038e-09,3.2260455640198415e-08
1828,3.668920500743411e-09,3.393751413227619e-08
1829,2.571952872898464e-09,1.5431716349212365e-08
1830,1.0436835840010872e-09,1.461157062010443e-08
1831,0.0,9.354723218280014e-09
1832,1.8941957335982806e-08,1.2176972319366541e-08
1833,1.6217079235048004e-08,8.108539617524002e-09
1834,0.0,2.7070139907436896e-08
1835,4.5378527602224494e-09,6.050470346963266e-08
1836,4.704525213838906e-09,4.838939915430274e-08
1837,3.478945576063097e-09,6.74915412446353e-08
1838,6.312161904276081e-10,2.7773513266993177e-08
1839,0.0,5.3135210009713774e-08
1840,2.5478754661634184e-09,3.248541347034006e-08
1841,2.5682194149112547e-09,4.1091510638580075e-08
1842,4.024959032733477e-09,5.0982812638267205e-08
1843,1.7720733769266417e-09,4.8436671562512856e-08
1844,7.1351298203126134e-09,5.2141331252641976e-08
1845,1.674068439427856e-09,2.511102614732863e-08
1846,2.9272506640865004e-09,3.8639708321852595e-08
1847,3.775256551818984e-09,3.128069891999985e-08
1848,0.0,2.735375304041554e-08
1849,8.379414939696517e-10,2.8490010350878947e-08
1850,0.0,3.530277936647508e-08
1851,1.2898877521649865e-09,2.3862924081186065e-08
1852,6.510545436100301e-10,4.948014620254071e-08
1853,1.7915795513800958e-09,3.881755716861335e-08
1854,8.832629738719788e-09,2.961528799971802e-08
1855,7.429711956774554e-09,5.1477289986223695e-08
1856,0.0,4.141751475117417e-08
1857,3.4170564155999728e-09,4.3445432140742923e-08
1858,4.893676130990343e-09,5.872411179552728e-08
1859,0.0,6.416138376152958e-08
1860,1.9681891672007623e-08,3.9363783344015246e-08
1861,1.0375120318428799e-08,4.433005784676425e-08
1862,8.132375661773494e-09,6.776979688538631e-08
1863,6.493007020935693e-09,4.694943456229339e-08
1864,1.0068928801842958e-08,6.089304349643498e-08
1865,1.6003271596787272e-08,4.5185707620021276e-08
1866,9.731225603104576e-09,3.308616669528419e-08
1867,4.85281148598915e-09,3.6396087921275466e-08
1868,7.409810987013543e-09,5.433861360870651e-08
