year,en_ADP arrière_NOUN,en_ADP carrière_NOUN
1800,2.1330012515363705e-05,4.087413785214267e-08
1801,2.477858538441069e-05,9.524730337773235e-09
1802,2.9423122668958968e-05,4.475680270843441e-09
1803,2.9196577287393666e-05,4.8758479920252285e-08
1804,2.0214797473272483e-05,4.449331569844617e-08
1805,6.263428338115773e-05,0.0
1806,1.8313007785764057e-05,8.645007376628655e-09
1807,1.657497266194241e-05,2.8469551160981155e-09
1808,1.4999143886029742e-05,1.8128591960930862e-08
1809,1.8941971717367778e-05,1.8072244145628247e-08
1810,1.803769616515183e-05,3.7442028144596406e-08
1811,1.642887400521431e-05,3.5099073869560016e-08
1812,2.374348741795984e-05,0.0
1813,2.0883636111079795e-05,0.0
1814,2.412242650962071e-05,0.0
1815,2.5995840815085103e-05,8.091670444798638e-09
1816,3.0381468718587712e-05,4.4034472068688046e-08
1817,3.575048363302358e-05,7.784366928831332e-09
1818,3.074113941181622e-05,1.9073883805731384e-08
1819,2.5547426304228793e-05,4.140420006848444e-09
1820,2.6482426619622856e-05,3.322614716694261e-08
1821,2.5183282389207307e-05,8.875339574387908e-09
1822,2.7264662264769868e-05,2.3058916553964082e-08
1823,3.287574594423859e-05,1.9765373782121287e-09
1824,2.9997687420291186e-05,1.431589158329416e-08
1825,4.0724295274685574e-05,8.805443485471187e-09
1826,2.875102217103631e-05,9.688783109140786e-09
1827,2.9820642794220475e-05,2.2121454890111636e-08
1828,3.89639349123172e-05,1.1006761724274838e-08
1829,3.793373059579608e-05,1.457439946506156e-08
1830,3.335195219733578e-05,9.39315203396518e-09
1831,3.761690203418766e-05,7.795603274018958e-09
1832,4.0170479053358576e-05,2.3000947924067816e-08
1833,3.830242656022165e-05,6.602667923516492e-08
1834,4.4937365714758926e-05,2.0535967593104942e-08
1835,4.5692394053276075e-05,3.932805725526123e-08
1836,3.6353882251205505e-05,3.091545153210973e-08
1837,4.9215946432923374e-05,4.244313345225237e-08
1838,4.37388626437496e-05,2.3354999711955315e-08
1839,4.0095412600749114e-05,1.1885507689157748e-08
1840,3.6820621232891426e-05,2.8026629905752998e-08
1841,3.7407401521249994e-05,2.3113974734201292e-08
1842,3.152683342477758e-05,4.293289634915709e-08
1843,3.5012624152841454e-05,5.316219914286435e-08
1844,3.4826568423795834e-05,3.1833653935109396e-08
1845,4.170327656538575e-05,1.3950569588416784e-08
1846,3.5035678934036696e-05,3.2785209214125643e-08
1847,2.8570601671162876e-05,3.937053350000497e-08
1848,3.2644291138694825e-05,1.769948809737798e-08
1849,3.179066226266514e-05,8.044238342108656e-08
1850,3.662324002107198e-05,3.530277936647508e-08
1851,3.722551696228038e-05,5.6110115886909284e-08
1852,3.4917358732400317e-05,1.6276363368206148e-08
1853,3.929591031237578e-05,2.20961471342207e-08
1854,3.333642280267668e-05,2.1821790263665264e-08
1855,3.885155422267417e-05,2.600399184871094e-08
1856,3.3403741952042765e-05,2.485050742961903e-08
1857,3.877919596106949e-05,3.563501782544165e-08
1858,3.4619823395587446e-05,3.523446845399292e-08
1859,4.141362757081879e-05,2.8516170758052795e-08
1860,4.012176481182905e-05,2.1512764902809067e-08
1861,3.409641885809833e-05,4.197207559286653e-08
1862,3.341773646070578e-05,4.789065499721801e-08
1863,3.42266391726298e-05,4.545104914654985e-08
1864,3.5342899025181396e-05,4.459096913933536e-08
1865,3.3232676059924415e-05,2.165148416111151e-08
1866,4.056802134755344e-05,2.3354942868536455e-08
1867,4.171767875504884e-05,5.143980175148499e-08
