year,son_DET art_NOUN
1800,9.429349617562366e-06
1801,7.50072515387501e-06
1802,7.210320831063655e-06
1803,8.257735927941212e-06
1804,1.0690754919551182e-05
1805,8.852721435914646e-06
1806,1.11376510858463e-05
1807,9.856158271759341e-06
1808,1.0473793537357778e-05
1809,6.71383854466967e-06
1810,1.107114007936616e-05
1811,1.0111040367632995e-05
1812,1.167170358939984e-05
1813,1.2216150807375925e-05
1814,8.367014821430985e-06
1815,6.446364160694884e-06
1816,6.21117844445962e-06
1817,7.809276809211951e-06
1818,6.792686932044489e-06
1819,6.90000979375327e-06
1820,7.226686776107272e-06
1821,8.19785518046956e-06
1822,9.42808900106229e-06
1823,9.079224390973195e-06
1824,7.807213421529013e-06
1825,8.221642104899729e-06
1826,5.538460349896468e-06
1827,6.381118240028627e-06
1828,5.922554905168909e-06
1829,7.336066886409753e-06
1830,6.041884375918016e-06
1831,5.023486412625289e-06
1832,6.815045551888943e-06
1833,5.871741173280043e-06
1834,6.677923273912256e-06
1835,5.631475460177171e-06
1836,5.702556514108892e-06
1837,5.507170861562827e-06
1838,5.211321052911444e-06
1839,5.649112125638567e-06
1840,5.762020578004012e-06
1841,6.236920846447447e-06
1842,6.659965528399425e-06
1843,6.385370959094416e-06
1844,5.765184795336609e-06
1845,6.1577816836688726e-06
1846,5.876748318200953e-06
1847,6.598069873575696e-06
1848,5.613955785577218e-06
1849,5.803582666885632e-06
1850,6.237050776292108e-06
1851,6.2759488415053966e-06
1852,7.018367981004303e-06
1853,6.4514780149238504e-06
1854,7.134686221377251e-06
1855,7.226456276043791e-06
1856,6.2949444412652156e-06
1857,5.937867442185052e-06
1858,5.853325752980254e-06
1859,6.4568756812377615e-06
1860,5.873442340487145e-06
1861,6.493881883784525e-06
1862,6.149883049033633e-06
1863,5.916128564820156e-06
1864,5.62517487878722e-06
1865,5.3799230030904255e-06
1866,5.481112914651476e-06
1867,5.431266757227604e-06
1868,5.46893436847995e-06
1869,5.303990327831798e-06
1870,6.145180030614483e-06
1871,3.7970707928991487e-06
1872,4.80158755777893e-06
1873,4.779824685385847e-06
1874,4.348320700842123e-06
1875,4.67391539871187e-06
1876,5.509128506275829e-06
1877,4.843329499237825e-06
1878,5.6568143733670695e-06
1879,4.589325207859929e-06
1880,6.126475867063164e-06
1881,4.803360489802344e-06
1882,5.152599115376688e-06
1883,5.379021359885883e-06
1884,4.862809916517108e-06
1885,5.103654487470521e-06
1886,5.762943146692123e-06
1887,5.4046438009436315e-06
1888,5.2012063491702065e-06
1889,5.148689368184023e-06
1890,4.943973564763837e-06
1891,5.016511224198439e-06
1892,4.984093976645454e-06
1893,5.550580709723363e-06
1894,5.77536093260278e-06
1895,5.7200912664256975e-06
1896,5.602177495234173e-06
1897,5.206168452787097e-06
1898,5.8677140941654216e-06
1899,5.90621749552156e-06
1900,6.22199631550302e-06
1901,5.706661198701113e-06
1902,5.162672437108995e-06
1903,5.648090365184544e-06
1904,6.030867027106979e-06
1905,6.53403679962139e-06
1906,6.418399237873018e-06
1907,6.826096026202322e-06
1908,6.951089034146207e-06
1909,7.355915329299023e-06
1910,6.9794606361028855e-06
