year,en_ADP offre_NOUN,en_ADP coffre_NOUN
1800,8.394919177590054e-07,2.829747991484055e-08
1801,6.738746947121399e-07,2.3811825844433088e-09
1802,7.026818025224202e-07,2.2378401354217203e-09
1803,7.567315947198949e-07,1.950339223455444e-09
1804,7.860485879973567e-07,0.0
1805,7.931628829283e-07,4.264316544322355e-08
1806,7.895773137533979e-07,0.0
1807,4.6974759015938616e-07,2.2775640928784924e-08
1808,7.2740976975183e-07,3.852325747288887e-08
1809,6.506007821371895e-07,1.129515236897305e-08
1810,6.786367521272041e-07,9.360507036149102e-09
1811,4.713304235792748e-07,4.763445815569867e-08
1812,8.828459385767928e-07,2.1337665856435706e-08
1813,7.160596737776359e-07,0.0
1814,5.412284735939465e-07,0.0
1815,8.226531917898683e-07,0.0
1816,9.571704140398651e-07,0.0
1817,7.628679554727569e-07,1.556873407970727e-09
1818,8.094479539977328e-07,0.0
1819,7.877148959778424e-07,4.140420006848444e-09
1820,5.244984890850901e-07,1.0679833017945839e-08
1821,5.463264756144781e-07,1.577838126820552e-08
1822,6.215881853677274e-07,8.02049271442229e-09
1823,5.247706553745957e-07,3.162459805139406e-08
1824,5.296880090099876e-07,2.0210670470532932e-08
1825,5.732343311137811e-07,1.4088708866211164e-08
1826,5.284790631776559e-07,6.1655889282974385e-09
1827,5.299932013258513e-07,2.3964910056406552e-08
1828,6.475644909187395e-07,9.172301140836225e-09
1829,6.66135804294754e-07,1.800366966620004e-08
1830,6.022054321874748e-07,1.0436835395921662e-08
1831,7.000451773819805e-07,1.5591206103948707e-09
1832,5.249627861303452e-07,2.0294953273491956e-08
1833,6.672170229649055e-07,3.4750886612755494e-09
1834,4.85395617033646e-07,9.334530925997342e-10
1835,5.528617066374863e-07,5.294161553592858e-09
1836,5.255626547295833e-07,1.3441500135158435e-09
1837,6.70044869366393e-07,5.287997240088771e-08
1838,4.4626983708440093e-07,1.009945904684173e-08
1839,5.173691874915676e-07,1.0487212875887053e-08
1840,4.541587941275793e-07,3.821813199245128e-09
1841,5.573036219175265e-07,1.1556987367100646e-08
1842,5.024490405958204e-07,2.0124795163667386e-09
1843,4.506973141360504e-07,4.134837805480629e-09
1844,4.692719812737778e-07,2.195424508855126e-09
1845,5.072427029517712e-07,6.138250796539069e-09
1846,3.963497476888733e-07,2.9272506640865004e-09
1847,4.212107569401269e-07,1.77976389181822e-08
1848,4.030655986753118e-07,5.63165514222419e-09
1849,3.5947689980275754e-07,2.513824481908955e-09
1850,4.1277095874647785e-07,2.0366988096043315e-09
1851,4.4694610323858797e-07,5.159551008659946e-09
1852,4.24487552663777e-07,0.0
1853,4.4670051124739985e-07,0.0
1854,3.979878897553135e-07,1.1430461910322265e-08
1855,3.64586583145865e-07,1.5920811335945473e-08
1856,3.7120446449989686e-07,3.1063134287023786e-08
1857,3.8759182530156977e-07,1.0251168802710708e-08
1858,3.7094065419296385e-07,5.3830437884982985e-09
1859,3.67145702284688e-07,2.036869339860914e-09
1860,3.529008836267167e-07,5.950338888283113e-09
1861,3.6784516055377026e-07,1.6977470096435354e-08
1862,3.993899895249342e-07,2.710791813242963e-09
1863,4.250422307450208e-07,4.295374012031061e-08
1864,4.166618623457907e-07,2.1576274988888144e-08
1865,3.9678698726675066e-07,1.694463946932956e-08
1866,2.773399501165841e-07,1.6543083347642096e-08
1867,3.964746895235294e-07,9.220341823379385e-09
1868,3.8284022707557597e-07,1.4819622196071691e-09
1869,3.4379974067633157e-07,5.371871281134588e-09
1870,3.7844722555746557e-07,1.548193218070537e-08
1871,3.1438685255125165e-07,1.0621177048975028e-08
1872,3.7130664054529916e-07,8.4662747923403e-09
1873,3.5916028195970284e-07,4.788803575905831e-09
1874,3.3218827866221545e-07,3.5847653734322193e-09
1875,3.204055190053623e-07,1.7736734747586524e-08
1876,3.603424829634605e-07,1.0882827083946722e-08
1877,3.2532130944673554e-07,1.917293024344957e-08
1878,3.701961475144344e-07,1.9928991790152395e-08
1879,3.341801004808076e-07,1.1607718342077078e-08
1880,2.952209285922436e-07,8.343199908722454e-09
1881,2.782030605885666e-07,6.972507571312292e-10
1882,2.8618157443816017e-07,1.2645231528551903e-08
1883,2.919534551892866e-07,1.4534479397809719e-08
1884,2.911348246925627e-07,3.9610182689386875e-08
1885,3.0230032166400633e-07,1.0313017106966527e-08
1886,3.065395333123888e-07,4.5174246565693466e-09
1887,2.5789250912566786e-07,9.793386546164129e-09
1888,2.688420579488593e-07,1.6485598663962264e-08
1889,2.4809941123749013e-07,1.1903759755682586e-08
1890,2.4251230001937074e-07,1.4419650362640368e-08
1891,2.7090436560683884e-07,1.2748440081367107e-09
1892,2.908589635808312e-07,7.522214851007902e-09
1893,2.069227917900207e-07,6.158416554491453e-10
1894,2.9680251145691727e-07,1.827446460822557e-08
