year,prochain_ADJ corps_NOUN
1800,6.288328968651058e-09
1801,2.3811825844433088e-08
1802,2.2378401354217203e-09
1803,2.145373123596528e-08
1804,0.0
1805,2.842877711017877e-09
1806,8.93317455563647e-08
1807,1.1387820908481672e-08
1808,4.5321478570059526e-08
1809,9.036122072814123e-09
1810,0.0
1811,7.521229861140455e-09
1812,5.3344164641089264e-09
1813,5.751483289628823e-09
1814,1.2586708564299443e-08
1815,3.236668177919455e-08
1816,2.7811246638975717e-08
1817,1.8682481339737933e-08
1818,2.1458118837358597e-08
1819,3.3123360942965974e-08
1820,3.441279616822612e-08
1821,3.451520824704346e-08
1822,1.2030739071633434e-08
1823,9.882686669016039e-09
1824,2.6947560627377243e-08
1825,0.0
1826,3.5231937367541377e-09
1827,7.373818444733615e-09
1828,2.5682442839070063e-08
1829,1.714635211591542e-09
1830,9.39315203396518e-09
1831,3.1182412207897414e-09
1832,0.0
1833,1.3900354645102198e-08
1834,2.800359255594742e-08
1835,9.075705520444899e-09
1836,1.0753200108126748e-08
1837,7.653680356156656e-09
1838,5.680945491803868e-09
1839,5.5931801412612e-09
1840,8.917564464638872e-09
1841,3.2102742686390684e-09
1842,1.8783142152756227e-08
1843,1.0041748876865597e-08
1844,3.2931368743049916e-09
1845,1.6740683839167048e-09
1846,5.854501106128396e-09
1847,1.4022381478184798e-08
1848,1.850400943581576e-08
1849,5.865590679832167e-09
1850,7.467895635215882e-09
1851,5.159551230704551e-09
1852,2.539112742283578e-08
1853,7.166318427564988e-09
1854,1.1430461466233055e-08
1855,1.1675261646360013e-08
1856,5.6949079896284616e-09
1857,3.905207268672939e-09
1858,6.8511463169329545e-09
1859,7.129042689513199e-09
1860,4.577183909670879e-09
1861,4.2443675241088386e-09
1862,1.852374442723459e-08
1863,1.748117295363727e-08
1864,5.274200853833122e-09
1865,4.47150223514825e-08
1866,1.4596838737723772e-09
1867,2.426405742994575e-09
1868,6.421836173942097e-09
1869,4.3463320054115684e-08
1870,1.2614907340946502e-08
1871,4.248470908407853e-09
1872,1.0885210510735988e-08
1873,1.7958013409646867e-09
1874,1.4936523129449597e-08
