year,mon_DET arrière_NOUN
1800,1.8864987794131594e-08
1801,4.7623651688866175e-09
1802,4.475680270843441e-09
1803,9.751696339321825e-09
1804,3.213406074564773e-08
1805,4.8328921309348516e-08
1806,1.0085842205853623e-07
1807,5.124519208976608e-08
1808,2.2660739062985158e-08
1809,3.1626427920983247e-08
1810,6.084329839950442e-08
1811,2.5070768572277302e-08
1812,1.0668832928217853e-08
1813,2.0130190847567064e-08
1814,1.5733386149463513e-08
1815,1.0788894222457657e-08
1816,4.6352077731626196e-09
1817,1.0898114077839693e-08
1818,3.2187177367859476e-08
1819,2.070209959015301e-08
1820,2.3732962262101864e-09
1821,2.2681422517933925e-08
1822,1.804610860745015e-08
1823,6.127265805844218e-08
1824,2.6105450245950124e-08
1825,8.629333891896351e-08
1826,4.1397527184017235e-08
1827,6.452091250164216e-08
1828,3.210305266065916e-08
1829,2.6576845613135447e-08
1830,6.262101592824365e-08
1831,5.456922025359745e-08
1832,1.2041672725615626e-07
1833,6.370995464521911e-08
1834,2.7070139907436896e-08
1835,3.857174846189082e-08
1836,2.7555075998719758e-08
1837,1.530735971311259e-08
1838,3.1560809077291196e-08
1839,1.7478688718597368e-08
1840,4.904660355631307e-08
1841,4.8154114917764446e-08
1842,3.354132438460056e-08
1843,1.7720733325177207e-08
1844,1.5367971784030487e-08
1845,4.5199847087395995e-08
1846,3.981061058588864e-08
1847,2.4269505516372192e-08
1848,8.84974404868899e-09
1849,1.6758828991214614e-08
1850,4.5486272526318317e-08
1851,1.99932606026465e-08
1852,2.799534470909748e-08
1853,2.7470886010405593e-08
1854,3.3252252507054436e-08
1855,5.306937111981824e-08
1856,3.986435714864456e-08
1857,1.2252587922034763e-07
1858,3.7191938861980134e-08
1859,4.1755822799416364e-08
1860,4.7144993686742964e-08
1861,4.0085692321056854e-08
1862,3.7499287675046844e-08
1863,7.392038892106712e-08
1864,5.9454626999411175e-08
1865,7.530950973944073e-09
1866,3.308616669528419e-08
1867,3.54255238477208e-08
1868,3.359114320033996e-08
1869,2.5882651133457557e-08
1870,2.408300447953593e-08
1871,2.9739295692721157e-08
1872,3.688876926144502e-08
1873,2.993002201634454e-08
1874,4.600448999525497e-08
1875,3.318485886083522e-08
1876,3.808989212927827e-08
1877,2.4739263748685403e-08
1878,2.113681007998025e-08
1879,5.6205792020591616e-08
1880,3.3372801411246655e-08
1881,2.5101028033880368e-08
1882,5.1912003584675404e-08
1883,3.4124430392523664e-08
1884,5.809493419661749e-08
1885,4.834226707828293e-08
1886,5.808117542471791e-08
1887,6.920660200471218e-08
1888,6.721051448721482e-08
1889,6.766347526721006e-08
1890,7.144281166659994e-08
1891,4.525696351009856e-08
1892,8.149065866547289e-08
1893,1.1023565704704197e-07
1894,6.553601084036131e-08
1895,8.305687870802103e-08
1896,9.671127365606935e-08
1897,8.157399289387968e-08
1898,4.4701005119662796e-08
1899,8.236091453284189e-08
1900,1.1783690467837005e-07
1901,6.538824681712185e-08
1902,9.918773002937087e-08
1903,6.534266727697968e-08
1904,1.0749250378694342e-07
1905,7.379885502700745e-08
1906,1.0339810607717936e-07
1907,5.3999856142183944e-08
1908,8.447588850657439e-08
1909,8.746563562311849e-08
1910,9.94012037125458e-08
1911,8.778617299753932e-08
1912,1.6253394719001335e-07
1913,9.174172532766534e-08
1914,1.1786268849789394e-07
1915,5.77257344147597e-08
1916,9.99859057770891e-08
1917,8.992468369939388e-08
1918,8.04046358382493e-08
1919,9.1157698278721e-08
1920,1.0373957337606043e-07
1921,1.0450391130234493e-07
1922,1.0771785596830341e-07
1923,9.660512478859573e-08
1924,1.6630195531774916e-07
1925,1.1108159725381483e-07
1926,1.0031524766418443e-07
1927,1.282160901894258e-07
1928,9.940655587570291e-08
1929,1.3702699597217816e-07
1930,1.4810080983806984e-07
1931,1.0606981426519724e-07
1932,1.3809016152777076e-07
1933,1.4911860191091364e-07
1934,8.626738079442475e-08
1935,1.0771455905000948e-07
1936,1.0184760235176782e-07
1937,7.051026251758685e-08
1938,1.5039648815218243e-07
1939,1.667051563458699e-07
1940,1.0396709981819185e-07
1941,1.7413865194271239e-07
1942,2.1239483061208375e-07
1943,1.2483911504546086e-07
1944,1.0603514333240582e-07
1945,1.394242623575792e-07
1946,1.3225048789422544e-07
1947,1.1444036118746226e-07
1948,1.3481141181159728e-07
1949,1.266394065169152e-07
1950,7.87016745107394e-08
1951,1.130108557845233e-07
1952,1.254831678565438e-07
1953,1.1420257095551278e-07
1954,1.4170177209393842e-07
1955,1.2952138916944023e-07
1956,1.2732866849773927e-07
1957,1.2634103718767165e-07
1958,1.4476425747034227e-07
1959,1.3331285941831084e-07
1960,1.7371291249901333e-07
1961,1.563335878529415e-07
1962,1.5093856298165065e-07
1963,1.72643627394109e-07
1964,1.4479844523407337e-07
1965,1.5102838979430544e-07
1966,1.2573699770257463e-07
1967,1.2227232382144848e-07
1968,1.482167171218407e-07
1969,1.0809383255150351e-07
1970,1.6739358521533632e-07
1971,1.1766930185785895e-07
1972,1.2517558367619586e-07
1973,1.3176557267513545e-07
1974,1.547032226767442e-07
1975,1.564945595333711e-07
1976,1.8740368545877573e-07
1977,1.8394327483406414e-07
1978,1.6336625918711434e-07
1979,2.1827860052781034e-07
1980,2.2342641869954605e-07
1981,1.7268750340804218e-07
1982,1.7256856210678961e-07
1983,1.8061803785940356e-07
1984,1.989059903451107e-07
1985,1.8588074368608432e-07
1986,2.026136165511616e-07
1987,2.0410128342973621e-07
1988,2.1467662847385327e-07
1989,2.458678771688483e-07
1990,1.8416439928614636e-07
1991,1.7936083551717275e-07
1992,2.3527461578964903e-07
1993,3.0022505015381284e-07
1994,2.3420674821750254e-07
1995,2.559396854451279e-07
1996,2.7758079212958364e-07
1997,2.555678690896457e-07
1998,2.6320072876728773e-07
1999,2.6735676428302213e-07
2000,2.7701058158413616e-07
2001,2.0022137547925922e-07
2002,3.3735406645973853e-07
2003,3.187696080431124e-07
2004,3.8541924141100026e-07
2005,3.0940760353814767e-07
2006,3.50432436846404e-07
2007,4.541723228612682e-07
2008,4.359618230864726e-07
2009,4.606073886748163e-07
2010,6.495215174595614e-07
2011,5.33826479909294e-07
2012,7.414462146471124e-07
2013,7.686828809028157e-07
2014,8.568666629571453e-07
2015,6.997728405622183e-07
2016,7.247619038253106e-07
2017,7.541802631294559e-07
2018,7.757307685096748e-07
2019,8.022856690104163e-07
