year,mon_DET ado_NOUN,mon_DET cadeau_NOUN
1800,0.0,1.8864987794131594e-08
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,1.950339223455444e-09
1804,0.0,1.4831105232815389e-08
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,0.0,1.8128591960930862e-08
1809,6.7770917766551975e-09,6.7770915546105925e-09
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,0.0,5.067695596494559e-08
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,0.0,9.440030979135372e-09
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,4.6352077731626196e-09
1817,0.0,9.341240336802059e-09
1818,0.0,0.0
1819,1.035105001712111e-09,1.5526575580793178e-08
1820,3.5599443393152796e-09,7.119888678630559e-09
1821,1.97229765852569e-09,3.254291136567389e-08
1822,0.0,2.0051231786055723e-08
1823,9.882686891060644e-10,1.9765373338032077e-08
1824,1.6000115010683658e-08,9.263223965660927e-09
1825,2.641632912414593e-09,1.584979791857677e-08
1826,2.642395191543301e-09,2.8185549894033102e-08
1827,1.8434546111834038e-09,8.295545583791863e-09
1828,9.172301251858528e-10,1.1923991571904935e-08
1829,1.2859763920403111e-08,3.772197487705853e-08
1830,7.305785310052215e-09,5.322786122974321e-08
1831,1.5591206103948707e-09,2.182768810143898e-08
1832,5.411987746839486e-09,1.8941957335982806e-08
1833,3.475088550253247e-09,4.865123992559006e-08
1834,0.0,7.094243326122296e-08
1835,3.025235173481633e-09,2.7983425354705105e-08
1836,4.032449929525228e-09,3.1587525484155776e-08
1837,0.0,2.4352617478129446e-08
1838,1.2624323808552163e-09,2.0830134062066463e-08
1839,0.0,1.3283802946517653e-08
1840,6.369688665408546e-10,2.54787554387903e-08
1841,0.0,3.274479887238613e-08
1842,2.0124795163667386e-09,3.085801836277824e-08
1843,5.906911071384968e-10,3.1306630177141415e-08
1844,5.488561272137815e-10,1.2074834521147437e-08
1845,0.0,1.6182660544927785e-08
1846,5.854501328173001e-10,2.4003455445509303e-08
1847,5.393223645455691e-10,2.588747349818732e-08
1848,1.6090443422100975e-09,2.896279838182636e-08
1849,3.3517659758786067e-09,1.4245005619528683e-08
1850,1.3577992064028876e-09,2.7155984128057753e-08
1851,0.0,2.3862924081186065e-08
1852,6.510545436100301e-10,2.148479971708639e-08
