year,en_ADP ados_NOUN,en_ADP cadeaux_NOUN
1800,6.917161954334006e-08,3.144164484325529e-09
1801,4.524246932646747e-08,0.0
1802,4.475680270843441e-09,0.0
1803,3.510610468993036e-08,3.900678446910888e-09
1804,2.2246657849223084e-08,4.943701892301533e-09
1805,3.1271653710973624e-08,0.0
1806,8.645007376628655e-09,0.0
1807,1.1387820464392462e-08,0.0
1808,3.3991110370834576e-08,9.064295980465431e-09
1809,1.3328279635516083e-07,2.0331274441787173e-08
1810,6.552355102940055e-08,1.6380887757350138e-08
1811,3.5099073869560016e-08,5.0141535368197765e-09
1812,8.801787032552966e-08,0.0
1813,8.627225156487839e-09,2.8757416004054903e-08
1814,5.034683425719777e-08,1.2586708564299443e-08
1815,1.0788894222457657e-08,1.6183340889597275e-08
1816,1.3905623319487859e-08,1.8540831092650478e-08
1817,4.981994905506326e-08,1.401186100480345e-08
1818,4.6492591110336434e-08,5.0068944545955674e-08
1819,2.070209959015301e-08,2.3807414706311647e-08
1820,1.1866481131050932e-09,2.1359666035891678e-08
1821,5.9168927535324656e-09,3.155676253641104e-08
1822,7.017931125119503e-09,2.3058916553964082e-08
1823,1.581229902569703e-08,1.1859224713361982e-08
1824,2.6105450245950124e-08,1.51580028528997e-08
1825,1.584979791857677e-08,1.3208164340028361e-08
1826,1.2331177856594877e-08,9.688783109140786e-09
1827,1.566936447261469e-08,6.452091305675367e-09
1828,9.172301140836225e-09,9.172301251858528e-10
1829,1.800366966620004e-08,3.8579290873030914e-08
1830,6.262101504006523e-09,3.861629238599562e-08
1831,3.274153215215847e-08,3.897801548191637e-08
1832,1.0823975493678972e-08,1.488296597074168e-08
1833,3.70676112027013e-08,9.846084481068829e-08
1834,2.14694217959277e-08,4.573920264761e-08
1835,4.235329242874286e-08,3.6302822081779595e-08
1836,2.9571300075303952e-08,1.2769425516978572e-08
1837,2.6439986200443855e-08,2.99189295560609e-08
1838,8.837027110075724e-09,4.5447563934430946e-08
1839,9.088918062616358e-09,3.0063343814390464e-08
1840,1.0828470564661075e-08,8.216898095270153e-08
1841,1.1556987367100646e-08,3.659712533021775e-08
1842,2.0795621225033756e-08,4.293289634915709e-08
1843,1.3585895075607368e-08,4.902736350231862e-08
1844,1.756339607084101e-08,6.147188713612195e-08
1845,3.738752596404993e-08,7.812319324784767e-08
1846,2.2832555401919308e-08,6.439951505399222e-08
1847,1.5640349459999925e-08,5.501087940729121e-08
1848,1.045878850192139e-08,3.781254065415851e-08
1849,6.033178578945808e-08,2.3462362719328667e-08
1850,5.906426636670403e-08,2.7834882843080777e-08
1851,4.6435957301582675e-08,3.8696633453128015e-08
1852,4.296959943417278e-08,2.018269107395554e-08
1853,5.3150191803297275e-08,5.6136158832487126e-08
1854,3.065441944727354e-08,4.8319680701069956e-08
1855,4.086341576226005e-08,4.086341576226005e-08
1856,6.109083017236117e-08,4.245295315286057e-08
1857,4.735063896532665e-08,5.418474913199134e-08
1858,2.7893953813418193e-08,6.508589223130912e-08
1859,3.3099126994784456e-08,6.365216620451974e-08
1860,2.5632230560290736e-08,4.2567808833382514e-08
1861,2.6880993431177558e-08,4.6688040100661965e-08
1862,2.6656119089807362e-08,3.8402884428023754e-08
1863,4.7948361725502764e-08,4.894728533599846e-08
1864,4.1234660130839984e-08,7.815406632971644e-08
1865,1.6473954644879996e-08,6.495444893062086e-08
1866,3.6978658357611494e-08,1.897589108068587e-08
1867,6.890992665375961e-08,5.580733386523207e-08
1868,3.6061081232219294e-08,6.767627525050557e-08
1869,2.490594752657671e-08,5.323035878745941e-08
1870,3.096386436141074e-08,3.2110673231500186e-08
1871,1.805600113868877e-08,2.0180236148803488e-08
1872,1.7537283625301825e-08,3.930770375859538e-08
1873,2.8134220286801792e-08,4.908523720814628e-08
1874,8.842421550525614e-08,3.943242177228967e-08
1875,9.7265964171811e-09,4.1194994082616176e-08
1876,2.1765654167893445e-08,8.222580305528027e-08
1877,3.3398006138440905e-08,7.050689987408987e-08
1878,2.7779808675632012e-08,5.072834596830944e-08
1879,1.8938909107646396e-08,3.9710613464194466e-08
1880,2.0537108014195837e-08,4.4924924225142604e-08
1881,2.3009274485730202e-08,5.299105865219644e-08
1882,2.7952617998039386e-08,4.6587697255517924e-08
1883,1.9589950994713945e-08,7.835980397885578e-08
1884,1.0562715146988921e-08,7.591951600716129e-08
1885,9.66845359329227e-09,6.445635847285303e-08
1886,3.1621972595985426e-08,6.840672028829431e-08
1887,2.9380160526670807e-08,5.027272109714431e-08
1888,5.452928775184773e-08,3.867775077992519e-08
1889,8.019375030698939e-08,5.826577265111155e-08
1890,5.505684796958121e-08,7.340912588915671e-08
1891,1.1473596295275001e-08,4.6531805963923034e-08
1892,3.0715710863660206e-08,4.325273650351846e-08
1893,1.6627724974682678e-08,4.249307394843527e-08
1894,2.7096618282484997e-08,8.507078064212692e-08
1895,1.444467478961542e-08,6.98159254852726e-08
1896,3.007484750128242e-08,5.307326134129653e-08
1897,2.4472196713531957e-08,8.856604694074122e-08
1898,3.225262190653666e-08,5.6017714911149596e-08
1899,2.5979618456517528e-08,8.567746334620097e-08
1900,1.764958135197503e-08,7.215563613272025e-08
1901,1.2854099118442264e-08,6.538824237622975e-08
1902,2.553347577816112e-08,6.628883397752361e-08
1903,2.2680925582108102e-08,4.104167317109386e-08
1904,2.9022976022474722e-08,4.83716249277677e-08
1905,1.5998352864698973e-08,6.141303288131894e-08
1906,1.6975809202790515e-08,6.275904951280609e-08
1907,2.0057088434555226e-08,3.239991386294605e-08
1908,1.817213934884876e-08,5.746325371092098e-08
1909,1.4302557360679202e-08,6.656190265630357e-08
1910,2.2445432179551972e-08,4.649411167179096e-08
1911,8.51259862599818e-09,3.298632123005518e-08
