year,mon_DET canal_NOUN
1800,0.0
1801,3.5717739876872656e-08
1802,1.5664880947952042e-08
1803,1.3652374120098898e-08
1804,9.887403562558461e-09
1805,1.990014353303593e-08
1806,5.76333825108577e-08
1807,2.8469551160981155e-08
1808,2.4926814390369145e-08
1809,9.036122294858728e-09
1810,2.3401267590372754e-09
1811,2.2563691359778204e-08
1812,1.0668832928217853e-08
1813,8.627225156487839e-09
1814,5.664018942752591e-08
1815,1.8880564667256294e-08
1816,9.270415546325239e-09
1817,2.80237220096069e-08
1818,7.152706427149269e-09
1819,3.2088255608186955e-08
1820,3.20394981656591e-08
1821,3.648750501739073e-08
1822,1.604098542884458e-08
1823,3.4589405117912975e-08
1824,1.0947446504872005e-08
1825,3.6982861217893515e-08
1826,2.3781558056157337e-08
1827,5.530363722527909e-09
1828,1.559291185060374e-08
1829,6.858540679832714e-09
1830,9.39315203396518e-09
1831,2.3386808933878456e-08
1832,1.488296597074168e-08
1833,4.6334513115198206e-08
1834,6.534171870242744e-09
1835,4.5378527602224494e-09
1836,7.392825018825988e-09
1837,1.7394727880315486e-08
1838,1.199310784016916e-08
1839,3.2859932108664225e-08
1840,2.547875410652267e-09
1841,7.704658244733764e-09
1842,4.024959032733477e-09
1843,1.4767278067040479e-08
1844,2.2503100771675832e-08
1845,2.399498022498392e-08
1846,1.0538102834800611e-08
1847,8.629157832729106e-09
1848,4.02261068899179e-09
1849,8.379414939696517e-10
1850,7.467895635215882e-09
1851,1.2898877521649865e-09
1852,7.161599979710331e-09
1853,1.4332636188996162e-08
1854,1.0910895298366086e-08
1855,1.3798036491152743e-08
1856,3.6240324075009767e-09
1857,1.757343343067319e-08
1858,2.5936483183386372e-08
1859,9.675129142294736e-09
1860,4.57718396518203e-09
1861,1.744906619194353e-08
1862,3.524029426604791e-08
1863,1.6482248454963155e-08
1864,1.1507347075223606e-08
1865,2.4004906062913278e-08
1866,1.3623716377253459e-08
1867,2.91168689159349e-09
1868,3.4579119567723637e-09
1869,1.8069021279210062e-08
1870,2.064257564882155e-08
1871,1.1683294554032386e-08
1872,1.814201766592305e-08
1873,8.979006316245375e-09
1874,1.4339061493728877e-08
1875,1.5448122780981066e-08
1876,1.6928841439778353e-08
1877,6.184816214727107e-09
1878,1.69094480639842e-08
1879,1.7717043832021773e-08
1880,1.2193908105473383e-08
1881,1.4642266066289267e-08
1882,1.3310770263785798e-08
1883,2.5277355319985872e-08
1884,3.1688146329145184e-08
1885,9.023890079618013e-09
1886,1.613365974151293e-08
1887,1.3710741875172516e-08
1888,1.3315291091942072e-08
1889,1.4409814674820609e-08
1890,5.243509182406569e-09
1891,1.1473596295275001e-08
1892,5.641661360300532e-09
1893,1.1700991509044911e-08
1894,1.5123694296903523e-08
1895,9.027921521465032e-09
1896,5.897029087265082e-09
1897,1.2818770045441852e-08
1898,1.0750873968845553e-08
1899,9.949641111006713e-09
1900,2.2321528181379335e-08
1901,1.0059729937950124e-08
1902,2.2096276808269977e-08
1903,7.560307935250421e-09
1904,1.1286712897629059e-08
1905,9.28936660926638e-09
1906,1.0802787109298606e-08
1907,7.71426478252124e-09
1908,1.0313916831705683e-08
1909,1.4302557360679202e-08
1910,2.7255168788542505e-08
1911,2.7133907565257687e-08
1912,2.5526164293410147e-08
1913,1.856046338843953e-08
1914,1.2723812781167965e-08
1915,1.4136913861761968e-08
1916,7.69122365795738e-09
1917,7.676496771580332e-09
1918,9.189101035644853e-09
1919,1.8415696745321952e-09
1920,5.300562211374427e-09
1921,3.0290989716519334e-09
1922,1.1066902949607993e-08
1923,6.369568872344189e-09
1924,1.6759112098085893e-08
1925,7.698724324711748e-09
1926,1.89484357093761e-08
1927,1.6723836537835268e-08
1928,9.14083297942625e-09
1929,1.7824650200282122e-08
1930,9.453243521306831e-09
1931,5.7026783295555106e-09
