year,mon_DET art_NOUN,mon_DET quart_NOUN
1800,4.62192190298083e-07,2.515331676278265e-08
1801,4.857612598829775e-07,1.1905912700171939e-08
1802,5.616978739908518e-07,6.489736392722989e-08
1803,8.132914706138195e-07,1.755305234496518e-08
1804,9.318878211317383e-07,1.2359254952798437e-08
1805,5.628897792320231e-07,3.9800287288116465e-08
1806,6.570205428602094e-07,8.645007376628655e-09
1807,4.5551283189837477e-07,5.693910232196231e-09
1808,4.6454516855476413e-07,1.1330369531492579e-08
1809,5.512034491061968e-07,1.581321384946932e-08
1810,7.511806749960215e-07,4.680253518074551e-09
1811,6.317833203262069e-07,1.2535384286138651e-08
1812,6.267939367532449e-07,1.600324939232678e-08
1813,8.109591576044295e-07,2.8757416004054903e-08
1814,8.05549368543268e-07,1.2586708564299443e-08
1815,3.452446240004292e-07,5.394447111228828e-09
1816,2.294427776661223e-07,6.952811659743929e-09
1817,6.414318249881035e-07,1.2454987263765815e-08
1818,3.385614242290558e-07,7.152706427149269e-09
1819,4.771834039019041e-07,4.140420006848444e-09
1820,6.312968103827643e-07,8.306536791735653e-09
1821,6.95234909642295e-07,0.0
1822,5.81485721795616e-07,1.4035862250239006e-08
1823,5.761606370890959e-07,4.941343334508019e-09
1824,5.709514461216258e-07,1.7684335773537896e-08
1825,5.529818380978213e-07,4.226612659863349e-08
1826,4.6065758851909777e-07,8.807984341885344e-10
1827,4.027948388163338e-07,0.0
1828,4.29263693035864e-07,2.7516904310687096e-09
1829,4.115124605519327e-07,1.2859763920403111e-08
1830,5.458465146546132e-07,1.3567886369969528e-08
1831,4.646179385670024e-07,2.9623292263636358e-08
1832,4.0995807548682706e-07,9.470978667991403e-09
1833,6.150906965984859e-07,5.21263281427764e-08
1834,3.957841023805031e-07,6.534171603789218e-08
1835,5.279035306671176e-07,2.7227116561334697e-08
1836,5.094328638932666e-07,3.36037508930076e-09
1837,3.3954507294708947e-07,2.5048407792382932e-08
1838,4.267021349591005e-07,6.943378316748294e-09
1839,2.684726539969873e-07,5.5931801412612e-09
1840,3.78996487526706e-07,1.3376346585936005e-08
1841,3.781703159511096e-07,5.393260948949319e-08
1842,4.5414954419342735e-07,2.1466448174578545e-08
1843,3.6091227784140756e-07,1.063243981747064e-08
1844,2.755257848541248e-07,1.4819115712327857e-08
1845,3.4430005602104075e-07,1.2834524554250493e-08
1846,2.968232255540215e-07,1.5807152919933287e-08
1847,2.3891980394097345e-07,5.3932236454556914e-09
1848,2.308978608311918e-07,7.24069959545659e-09
1849,1.6172270367320607e-07,2.011059585527164e-08
1850,2.600185489143314e-07,4.0055077477063605e-08
1851,2.405640655567254e-07,3.8696632564949596e-09
1852,3.05995646820989e-07,7.812654523320361e-09
1853,2.4425201505806626e-07,2.09017620989016e-08
1854,3.0394637207109554e-07,2.0782657372819813e-08
1855,4.0279652679942046e-07,1.1675261646360013e-08
1856,2.842276991543713e-07,1.1907535402144731e-08
1857,3.3194262449853795e-07,1.0251168802710708e-08
1858,3.513659239118283e-07,7.829881631948865e-09
1859,3.8293143322931655e-07,1.2730433374130712e-08
1860,3.240646293534155e-07,2.288591893773173e-08
1861,3.070092322587925e-07,2.6409397557713987e-08
1862,3.406561730479041e-07,2.9366910903050325e-08
1863,3.4313044583456076e-07,8.490855407661257e-09
1864,2.881631520068595e-07,1.2466292886870178e-08
1865,2.913536594206789e-07,8.47232023426514e-09
1866,2.6031029065620714e-07,1.8002767276925624e-08
1867,2.5234619549507897e-07,2.038180824115443e-08
1868,2.2772820074123956e-07,1.679557215528149e-08
1869,3.7944943098722206e-07,1.025539064780645e-08
1870,2.4713749802174334e-07,1.3761716655125156e-08
1871,2.1985836617943733e-07,1.911811864374613e-08
1872,2.2435628199701796e-07,5.442605477412599e-09
1873,2.5859539132255804e-07,1.5563610844537834e-08
1874,2.437640485020154e-07,1.1351757756017378e-08
1875,3.2212196821035377e-07,3.432916173551348e-08
1876,3.343446195458455e-07,3.143927740367758e-08
1877,2.4677415888518794e-07,1.2988113473610952e-08
1878,2.451869975939047e-07,1.3889904282304855e-08
1879,2.5170419426512325e-07,2.138263865969492e-08
1880,3.2281767747832646e-07,2.0537108014195837e-08
1881,2.3776251412144234e-07,1.8128519130300447e-08
1882,3.281104981045502e-07,1.5972923872453748e-08
1883,3.2797369975412494e-07,2.654122366330114e-08
1884,2.0531277389324032e-07,5.281357573494461e-09
1885,1.8756799446961736e-07,1.6114089618213256e-08
1886,2.749175616045818e-07,7.098810372863085e-09
1887,2.141487260853836e-07,1.501652691082711e-08
1888,2.098743472345177e-07,2.599652049184442e-08
1889,1.7918291117524632e-07,1.628935564212952e-08
1890,2.038414184113435e-07,2.1629475988049762e-08
1891,2.473197344698974e-07,2.7409145841872373e-08
1892,2.59516411027505e-07,2.1939793315439715e-08
1893,1.601188315270008e-07,1.3548516086814288e-08
1894,2.444997271311422e-07,1.3863386882917439e-08
1895,2.3773527324522092e-07,1.9259566386153892e-08
1896,2.8895442749643507e-07,1.4152869320938066e-08
1897,2.0043894188859213e-07,1.3401441401050818e-08
1898,2.3538756011021178e-07,8.487532454637403e-09
1899,1.945707559514176e-07,7.185851913504848e-09
1900,2.865461370404887e-07,1.764958135197503e-08
1901,1.8666387813226493e-07,2.514932445629725e-08
1902,1.58111137738004e-07,1.5712909029463873e-08
