year,en_ADP offre_NOUN,en_ADP coffres_NOUN
1800,8.394919177590054e-07,0.0
1801,6.738746947121399e-07,4.7623651688866175e-09
1802,7.026818025224202e-07,6.713520406265161e-09
1803,7.567315947198949e-07,1.950339223455444e-09
1804,7.860485879973567e-07,7.4155526164076946e-09
1805,7.931628829283e-07,5.685755422035754e-09
1806,7.895773137533979e-07,0.0
1807,4.6974759015938616e-07,0.0
1808,7.2740976975183e-07,0.0
1809,6.506007821371895e-07,0.0
1810,6.786367521272041e-07,0.0
1811,4.713304235792748e-07,0.0
1812,8.828459385767928e-07,2.6672082320544632e-09
1813,7.160596737776359e-07,3.738464116054274e-08
1814,5.412284735939465e-07,0.0
1815,8.226531917898683e-07,2.697223555614414e-09
1816,9.571704140398651e-07,0.0
1817,7.628679554727569e-07,0.0
1818,8.094479539977328e-07,1.1921177378582115e-09
1819,7.877148959778424e-07,1.8631890696951814e-08
1820,5.244984890850901e-07,1.779972080839798e-08
1821,5.463264756144781e-07,1.97229765852569e-09
1822,6.215881853677274e-07,1.0025615893027862e-09
1823,5.247706553745957e-07,0.0
1824,5.296880090099876e-07,3.536867154707579e-08
1825,5.732343311137811e-07,2.641632912414593e-09
1826,5.284790631776559e-07,3.3470339388941284e-08
1827,5.299932013258513e-07,6.452091305675367e-09
1828,6.475644909187395e-07,1.0089530988466322e-08
1829,6.66135804294754e-07,5.143905745796928e-09
1830,6.022054321874748e-07,3.1310507520032616e-09
1831,7.000451773819805e-07,2.3386808933878456e-08
1832,5.249627861303452e-07,1.3529969367098715e-09
1833,6.672170229649055e-07,2.20088942626262e-08
1834,4.85395617033646e-07,1.120143711119681e-08
1835,5.528617066374863e-07,3.2521278114927554e-08
1836,5.255626547295833e-07,1.747394939854985e-08
1837,6.70044869366393e-07,2.5048407792382932e-08
1838,4.4626983708440093e-07,1.3255539776935166e-08
1839,5.173691874915676e-07,1.8177836125232716e-08
1840,4.541587941275793e-07,1.7198159341091923e-08
1841,5.573036219175265e-07,4.494383976094696e-09
1842,5.024490405958204e-07,8.720745015011744e-09
1843,4.506973141360504e-07,1.1223130869097986e-08
1844,4.692719812737778e-07,1.3721403568922597e-08
1845,5.072427029517712e-07,2.7901139176833567e-09
1846,3.963497476888733e-07,4.6836010625384006e-09
1847,4.212107569401269e-07,5.3932236454556914e-09
