year,son_DET ouvert_ADJ,son_DET couvert_ADJ
1800,1.2576657937302116e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,1.1189200677108602e-08,2.2378401354217203e-09
1803,9.751696339321825e-09,0.0
1804,4.943701892301533e-09,0.0
1805,3.695740957709859e-08,0.0
1806,5.76333825108577e-09,0.0
1807,2.562259560079383e-08,0.0
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,9.036122072814123e-09,2.259030518203531e-09
1810,3.042164919975221e-08,0.0
1811,0.0,0.0
1812,2.400487453257938e-08,8.00162425207418e-09
1813,0.0,0.0
1814,4.405347908686963e-08,0.0
1815,1.3486118000116676e-08,0.0
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,3.113746815941454e-09,0.0
1818,5.960588467246453e-09,1.1921177378582115e-09
1819,8.280840013696888e-09,2.070210003424222e-09
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,1.676452932031225e-08,0.0
1822,5.81485721795616e-08,0.0
1823,9.882686669016039e-09,0.0
1824,1.6842225392110777e-08,4.210556348027694e-09
1825,4.4027217427355936e-09,1.7610886082763955e-09
1826,1.2331177856594877e-08,8.807984341885344e-10
1827,1.1060727445055818e-08,3.7790819362726324e-08
1828,1.8344602503717056e-09,9.172301251858528e-10
1829,2.571952872898464e-09,8.57317605795771e-10
1830,1.0436835395921662e-08,0.0
1831,4.989185953263586e-08,1.5591206103948707e-09
1832,1.0823975493678972e-08,0.0
1833,6.950177322551099e-09,0.0
1834,1.6802156110884425e-08,9.334530925997342e-10
1835,7.563087933704082e-09,3.025235173481633e-09
1836,7.392825018825988e-09,2.688300027031687e-09
1837,2.0873671680021744e-09,3.478945487245255e-08
1838,5.049729523420865e-09,1.2624323808552163e-09
1839,1.0487212875887053e-08,4.894032734625853e-09
1840,1.6561189752906103e-08,5.095750932326837e-09
1841,8.346713542550788e-09,0.0
1842,8.049918065466954e-09,0.0
1843,4.134837805480629e-09,6.497602011990011e-09
1844,3.841992946007622e-09,5.488561272137815e-10
1845,1.6182660544927785e-08,1.1160455892778032e-09
1846,7.610851504580296e-09,0.0
1847,6.47186837454683e-09,1.0786447290911383e-09
1848,1.126331028444838e-08,0.0
1849,3.016589289472904e-08,0.0
1850,3.394497838371535e-08,4.073397619208663e-09
1851,1.4188765717904062e-08,0.0
1852,1.3672145193766028e-08,6.510545436100301e-10
1853,2.8068079416243563e-08,5.971931837933653e-10
1854,1.0391328908454511e-09,0.0
1855,1.4859423913549108e-08,4.776243400783642e-09
1856,8.28350277259915e-09,1.0354378465748937e-09
1857,3.4170564155999728e-09,4.881509085841174e-10
1858,1.3212924976357954e-08,1.468102750479261e-09
1859,5.0412516827691434e-08,0.0
1860,3.661747127736703e-09,4.57718396518203e-09
1861,1.4147890858851042e-08,4.715963730639317e-10
1862,1.2198563048571032e-08,3.6143890103090826e-09
1863,1.048870412745373e-08,3.995696662428827e-09
1864,2.3973640850272204e-09,1.6781548595190543e-08
1865,4.23615986733239e-09,9.41368871743009e-10
1866,4.865612801552288e-09,1.9462451650298362e-09
1867,3.105799351033056e-08,5.82337378318698e-09
1868,8.348386870693503e-08,9.87974813071446e-10
1869,4.883519366671862e-09,4.395167341186834e-09
1870,4.931282049369656e-08,1.1468097582678638e-09
1871,4.885741589077952e-08,1.0621177271019633e-09
1872,1.2094679036067646e-08,0.0
1873,1.9155214303623325e-08,5.986004469882289e-10
1874,5.078417686377179e-08,1.7923826867161097e-09
1875,2.574687130163511e-08,1.1443054281912168e-09
1876,1.6928840551599933e-08,1.209202959984168e-09
1877,1.0514186854493346e-08,1.2988113695655557e-08
1878,1.8117265909722846e-08,4.831270938865373e-09
1879,1.0385853066452455e-08,2.443730107160036e-09
1880,7.059631101924424e-09,1.9253538763308597e-09
1881,1.673401861523871e-08,1.3945015142624584e-09
1882,1.7304001787010748e-08,7.986462158271479e-09
1883,2.7173157945981075e-08,3.159669414998234e-09
1884,1.5844072720483382e-08,6.601696966868076e-09
1885,3.7384687345820566e-08,2.5782542767416317e-09
1886,1.1616235084943582e-08,5.162771099520569e-09
1887,2.2198344495905076e-08,3.9173548849191775e-09
1888,1.7119660356001987e-08,2.53624587998047e-09
1889,1.50363277384713e-08,6.891650361495749e-09
1890,6.554386544621593e-08,8.520702365899524e-09
1891,1.1473596295275001e-08,2.5496880162734215e-09
1892,1.7551833764173352e-08,2.5074049503359674e-09
1893,6.774258043407144e-09,4.926733243593162e-09
1894,5.041231432301174e-09,6.9316934414587195e-09
1895,1.6852119699706236e-08,3.0093072478365457e-09
1896,4.1279202278587945e-09,8.845543852942228e-09
1897,1.2236098356765979e-08,9.905413378419325e-09
1898,1.0750873968845553e-08,1.3580051749784161e-08
1899,1.1055156790007459e-08,7.185851913504848e-09
1900,1.038210584169974e-08,5.19105292084987e-09
1901,1.900171220370339e-08,1.0618603774048552e-08
1902,1.3748794991386148e-08,2.9461704187383475e-09
1903,2.3220946943069976e-08,1.5120615870500842e-08
1904,4.2997001514777367e-08,6.449550227216605e-09
1905,3.251278357652154e-08,5.676835002077496e-09
1906,2.6749759740596346e-08,1.0288369045596824e-09
1907,5.65712765521198e-09,2.057137349353866e-09
1908,1.3260750719723546e-08,9.822778146428846e-10
1909,1.7603147384193107e-08,5.500983557560346e-10
1910,9.619471441624228e-09,1.6032452032632705e-09
1911,9.576673676292558e-09,4.788336838146279e-09
1912,1.0418842677495377e-08,1.5628263128064646e-09
1913,1.4318072061314524e-08,5.302989602995467e-09
1914,1.2054139020278853e-08,6.696743715117748e-10
1915,1.4136913861761968e-08,3.534228465440492e-09
1916,2.197492410260793e-09,3.2962386153911893e-09
1917,0.0,1.0966424435210342e-09
1918,6.89182577673364e-09,2.2972752589112133e-09
1919,8.287063479883727e-09,4.603924352863942e-09
1920,2.7260034229925623e-08,9.086678076641874e-09
1921,9.844571380313027e-09,6.058197943303867e-09
1922,7.377935595798135e-09,4.426761179843197e-09
1923,6.369568872344189e-09,2.1231896241147297e-09
1924,5.156649773851996e-09,3.867487219366694e-09
1925,1.6497267552040284e-08,2.1996355847875293e-09
1926,4.458455382660986e-09,8.916910765321973e-09
1927,3.5677519605314956e-08,4.4596899506643695e-09
1928,1.7139061725401916e-08,1.2568645679778001e-08
1929,7.798284684668033e-09,1.1140406375176326e-09
1930,8.402882833991043e-09,3.1510811737689437e-09
1931,4.5621426636444085e-09,3.4216069977333063e-09
1932,2.520693342944469e-08,5.4797681947604815e-09
1933,8.02946331646126e-09,2.2941324395731044e-09
1934,1.1981580172459871e-09,3.5944740517379614e-09
1935,2.393656828303392e-09,3.590485242455088e-09
1936,8.487299751891442e-09,3.6374143697059935e-09
1937,2.0145789036973838e-08,7.554670666820584e-09
1938,9.075650453382877e-09,2.5930428915188486e-09
1939,9.176430282309411e-09,6.117620188206274e-09
1940,5.0715658339584024e-09,1.2678914806940611e-08
1941,6.198155233505531e-08,2.9515025978810172e-09
1942,1.2136847082899749e-08,3.034211770724937e-09
1943,2.9032352077962287e-09,5.806470415592457e-09
1944,1.6065930807940276e-08,1.2852744646352221e-08
1945,2.178504043826024e-09,2.178504043826024e-09
1946,9.744772988540262e-09,1.1136883415474585e-08
1947,1.1920870957027319e-09,1.3112957830685446e-08
