year,aucun_DET cadeau_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,0.0
1810,9.360507036149102e-09
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,0.0
1821,3.94459531705138e-09
1822,6.015369535816717e-09
1823,1.3835761869529506e-08
1824,2.5263338088166165e-09
1825,8.805443041381977e-10
1826,1.6735169694470642e-08
1827,1.8434546111834038e-09
1828,0.0
1829,0.0
1830,1.2524203008013046e-08
1831,0.0
1832,1.3529969367098715e-09
1833,4.6334514003376626e-09
1834,4.667265685043276e-09
1835,6.050470346963266e-09
1836,6.72075017860152e-09
1837,1.0436836284100082e-08
1838,1.5149188570262595e-08
1839,1.0487212875887053e-08
1840,6.3696887764308485e-09
1841,2.247191943638427e-08
1842,1.1404051036834062e-08
1843,1.1813821920725331e-08
1844,2.140538946093784e-08
1845,1.6182660544927785e-08
1846,1.5807152919933287e-08
1847,1.941560512364049e-08
1848,5.63165514222419e-09
1849,9.217356655710773e-09
1850,6.1100964288129944e-09
1851,4.514607354622058e-09
1852,1.6927417689771573e-08
1853,1.2541057081705276e-08
1854,1.7665259477439577e-08
1855,5.837630823180007e-09
1856,1.4496129630003907e-08
1857,7.322263795295214e-09
1858,2.2510910469009104e-08
1859,1.1202780925145817e-08
1860,1.602014410018171e-08
1861,9.903524222920623e-09
1862,6.776979422085105e-09
1863,7.491931519609807e-09
1864,1.342523781033833e-08
1865,7.530950973944073e-09
1866,7.784980660119345e-09
1867,2.135237053835226e-08
1868,9.87974857480367e-09
1869,9.767038733343725e-09
1870,4.013834153937523e-09
1871,9.559059321873065e-09
1872,1.8142017554900747e-08
1873,4.788803575905831e-09
1874,2.0911132381229436e-08
1875,1.7736734747586524e-08
1876,1.0882826861902117e-08
1877,1.9791411509650914e-08
1878,4.831270938865373e-09
1879,1.0385853066452455e-08
1880,4.492492600149944e-09
1881,4.2532295907449225e-08
1882,2.5956001792337702e-08
1883,6.319338829996468e-09
1884,2.9047467542397953e-08
1885,3.222817923642651e-08
1886,1.355227396970804e-08
1887,2.0239665554644404e-08
1888,2.9166827175686194e-08
1889,1.0024218788373673e-08
1890,1.0487018364813139e-08
1891,2.358461337337303e-08
1892,8.149066310636499e-09
1893,2.3401982574000613e-08
1894,8.192001077489408e-09
1895,9.629783415121551e-09
1896,2.181900704556483e-08
1897,3.787363667129284e-08
1898,5.09251940616906e-09
1899,1.879376654301268e-08
1900,1.5054054447460885e-08
1901,1.9560586261846424e-08
1902,1.0311596021495006e-08
1903,6.480264325148255e-09
1904,2.364835083312755e-08
1905,1.909480928929952e-08
1906,1.4403716441790948e-08
1907,1.0799971139618947e-08
1908,2.2592390180875555e-08
1909,1.265226234892225e-08
