year,en_ADP are_NOUN,en_ADP quart_NOUN
1800,5.65949598296811e-08,2.04370692813427e-07
1801,5.9529563944948904e-08,2.571677271134831e-07
1802,6.713520406265161e-09,1.6336232988578558e-07
1803,4.4857801695386e-08,2.1258696847326064e-07
1804,2.719036085174764e-08,1.8538882784469024e-07
1805,8.528633133053631e-09,2.1890159018767008e-07
1806,2.881669125542885e-08,1.2967511509032192e-07
1807,1.1387820464392462e-08,2.135216305987342e-07
1808,5.211970233176544e-08,2.1754310353117035e-07
1809,1.355418288717658e-08,1.6265019553429738e-07
1810,5.8503168531842675e-08,1.4976811257838563e-07
1811,1.7549536934780008e-08,3.158916683787538e-07
1812,3.467370746079723e-08,2.1070944455914287e-07
1813,1.150296680130225e-08,1.552900528167811e-07
1814,1.2586708564299443e-08,2.8949429520253034e-07
1815,2.9669458667669346e-08,2.535390137836657e-07
1816,1.1819780176836048e-07,1.5527946573001827e-07
1817,2.8023721343473085e-08,2.7089598120255687e-07
1818,1.9073883805731384e-08,3.039900207113533e-07
1819,5.175525008560555e-08,1.2214239575314423e-07
1820,1.542642635854463e-08,2.5038275452970993e-07
1821,3.94459531705138e-09,1.272131981977509e-07
1822,1.303330066093622e-08,1.87479017199621e-07
1823,3.162459771832715e-08,2.1346603773508832e-07
1824,1.0105335235266466e-08,2.0968570879631443e-07
1825,1.0566531427613768e-08,2.4831348355291993e-07
1826,1.0569580766173203e-08,2.30769188647173e-07
1827,3.2260455640198415e-08,2.4610119453427615e-07
1828,1.1923991571904935e-08,2.4214875793404644e-07
1829,1.0287811491593857e-08,2.803428458264534e-07
1830,1.2524202563923836e-08,2.640519483065873e-07
1831,1.4032085715598441e-08,3.3365179774591525e-07
1832,1.3529969256076413e-08,4.4378299435265944e-07
1833,9.266902800675325e-09,3.173914251419774e-07
1834,1.773560875939495e-08,2.772355571778462e-07
1835,1.5882484660778573e-08,3.237001635625347e-07
1836,7.392825018825988e-09,2.7622283482742205e-07
1837,1.3219993100221927e-08,2.8388194550643675e-07
1838,8.2058102535143e-09,2.8783458105863247e-07
1839,1.3982950020086093e-08,2.6357861315773334e-07
1840,2.611572358368619e-08,2.4141121457432746e-07
1841,2.3756030032018316e-08,2.747994756191474e-07
1842,1.341653010911159e-08,3.19313414820499e-07
