year,en_ADP oeufs_NOUN,en_ADP queues_NOUN
1800,2.5153315874604232e-08,2.5153315874604232e-08
1801,4.7623651688866175e-09,2.6193008650921e-08
1802,1.3427040812530322e-08,1.1189200677108602e-08
1803,4.095712213825209e-08,2.5354410126965377e-08
1804,1.2359254952798437e-08,1.2359254952798437e-08
1805,3.980028751016107e-08,1.421438877713399e-08
1806,1.152667650217154e-08,5.76333825108577e-08
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,6.798221985349073e-09,6.571614363792833e-08
1809,4.518061036407062e-09,9.036122072814123e-09
1810,9.360507036149102e-09,2.3401267590372754e-09
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,2.0130190847567064e-08,2.5881675469463516e-08
1814,6.293354282149721e-09,1.8880061958270744e-08
1815,0.0,8.091670444798638e-09
1816,0.0,9.270415546325239e-09
1817,0.0,4.670620334934483e-09
1818,5.960588467246453e-09,9.536941902865692e-09
1819,3.1053151161586356e-09,6.210630232317271e-09
1820,1.1866481131050932e-09,4.746592452420373e-09
1821,1.97229765852569e-09,9.861488514673056e-09
1822,3.0076847679083585e-09,1.9048670196752937e-08
1823,2.9648061783404955e-09,1.3835761869529506e-08
1824,2.5263338088166165e-09,8.421112696055388e-09
1825,1.4088708866211164e-08,3.6982861217893515e-08
1826,1.7615968683770689e-09,3.170874407487645e-08
1827,0.0,6.452091305675367e-09
1828,9.172301140836225e-09,8.255071293206129e-09
1829,2.571952872898464e-09,2.571952872898464e-09
1830,4.174734336004349e-09,1.461157062010443e-08
1831,1.5591206103948707e-09,5.14509785887185e-08
1832,1.3529969367098715e-09,2.976593194148336e-08
1833,1.1583628500844156e-09,2.6642345218874652e-08
1834,9.334530925997342e-10,1.3068342852307069e-08
1835,1.5126175867408165e-09,1.1344631900556124e-08
1836,5.376600054063374e-09,1.8146025126952736e-08
1837,2.7831563720326358e-09,2.7135774516295896e-08
1838,2.5248647617104325e-09,1.7674054220151447e-08
1839,6.9914749545318955e-09,5.5931801412612e-09
1840,1.9109065441114126e-09,1.0191501864653674e-08
1841,1.2841097074556274e-09,4.55858959469424e-08
1842,1.341653010911159e-09,2.6162233268678392e-08
1843,5.906911071384968e-10,2.8353174030826267e-08
1844,5.488561272137815e-10,1.4819115712327857e-08
1845,0.0,6.138250796539069e-09
1846,2.3418005312692003e-09,2.2247105491146613e-08
1847,0.0,8.629157832729106e-09
1848,1.6090443422100975e-09,1.689496542667257e-08
1849,3.3517659758786067e-09,9.217356655710773e-09
1850,1.3577992064028876e-09,7.467895635215882e-09
1851,7.739326512989919e-09,1.483370937194195e-08
1852,3.906327261660181e-09,7.161600201754936e-09
1853,2.388772735173461e-09,1.1346670270029335e-08
1854,0.0,1.4028294081924741e-08
1855,0.0,2.1227748447927297e-08
1856,5.177189232874468e-10,2.019103817474388e-08
1857,2.9289055625270066e-09,1.0739319655783675e-08
1858,4.893676019968041e-10,2.202154192332273e-08
1859,0.0,6.110608019582742e-09
1860,9.154367819341758e-10,7.781213007262977e-09
1861,9.431927461278633e-10,1.839225838295988e-08
1862,0.0,1.8975542914745347e-08
1863,1.9978483312144135e-09,2.6970951694238465e-08
1864,4.794727948009836e-10,7.1920918109924514e-09
1865,9.41368871743009e-10,9.88437331983505e-09
1866,9.731225825149181e-10,2.5301186923343266e-08
1867,9.7056229719783e-10,1.1161466417775046e-08
1868,1.4819622196071691e-09,1.877152122631287e-08
1869,1.4650557433881772e-09,1.8557372527538973e-08
1870,1.1468097582678638e-09,8.027668307875047e-09
1871,0.0,1.911811864374613e-08
1872,0.0,1.69325495846806e-08
1873,2.3944017879529156e-09,2.3944018323618366e-08
1874,3.5847653734322193e-09,2.3300975371398636e-08
1875,2.8607636259891933e-09,2.2886109007913547e-08
1876,1.209202959984168e-09,2.1161051577678336e-08
1877,3.7108897066318036e-09,8.658742167710898e-09
1878,6.039088673581716e-10,1.9325083755461492e-08
1879,0.0,2.1993571408529533e-08
1880,0.0,3.401458670282409e-08
1881,6.972507571312292e-10,1.5339516323820135e-08
1882,3.9932310791357395e-09,2.861815673327328e-08
1883,3.159669414998234e-09,3.222862687835004e-08
1884,2.6406787867472303e-09,3.300848305798354e-08
1885,1.2891271383708158e-09,2.4493415295978593e-08
1886,6.453463874400711e-10,2.3877817056927597e-08
1887,1.9586773869484375e-09,1.566941953967671e-08
1888,1.268122939990235e-09,4.5018364147608736e-08
1889,3.759081934617825e-09,3.633779144252003e-08
1890,2.6217545912032847e-09,2.0318598359381213e-08
1891,2.5496880162734215e-09,3.1233678754460925e-08
1892,6.268512375839919e-10,2.5074049503359674e-08
1893,1.2316833108982905e-09,2.4017824173938607e-08
1894,0.0,3.4028310835765296e-08
1895,6.018614495673091e-10,2.2870734639468537e-08
1896,0.0,1.533227589334274e-08
1897,2.330685422435863e-09,3.437761009195128e-08
1898,1.6975064687230201e-09,2.4896761985360172e-08
1899,1.6582735185011188e-09,2.819064981451902e-08
1900,1.5573159428683425e-09,2.8550791952852705e-08
1901,1.1177477832191585e-09,2.235495522029396e-08
