year,un_DET otage_NOUN,un_DET cottage_NOUN
1800,1.28910740304633e-07,6.288328968651058e-09
1801,1.738263266659601e-07,7.143547975374531e-09
1802,1.5217312920867698e-07,0.0
1803,9.751695984050457e-08,0.0
1804,1.0134588990240445e-07,4.943701892301533e-09
1805,9.381496113292087e-08,0.0
1806,8.35684019762084e-08,8.645007376628655e-09
1807,1.366538526781369e-07,0.0
1808,6.345007363961486e-08,0.0
1809,5.421673421324158e-08,2.0331274441787173e-08
1810,8.658469141664682e-08,0.0
1811,5.264861258069686e-08,0.0
1812,8.801787032552966e-08,0.0
1813,1.1790540810352468e-07,0.0
1814,2.328541039986476e-07,0.0
1815,9.710004889029733e-08,0.0
1816,6.257530316133852e-08,0.0
1817,8.874178158979618e-08,0.0
1818,1.0848271614349869e-07,0.0
1819,1.3456364911235141e-07,2.070210003424222e-09
1820,1.803705060865468e-07,1.1866481131050932e-09
1821,1.8638212928578923e-07,0.0
1822,9.323822780515911e-08,0.0
1823,2.085246993965839e-07,3.9530747564242574e-09
1824,1.4736947129279088e-07,0.0
1825,1.382454533072064e-07,9.68598712347557e-09
1826,1.8672926671570167e-07,2.642395191543301e-09
1827,1.2812009181351058e-07,9.217273166939322e-09
1828,1.7519095268925255e-07,7.337841001486822e-09
1829,6.858540563259297e-08,6.858540846366168e-09
1830,8.662573391937656e-08,2.0873670791843324e-08
1831,1.200522896649403e-07,6.236482441579483e-09
1832,1.0282777063164161e-07,1.0823975493678972e-08
1833,9.498575082034222e-08,3.8225973497674204e-08
1834,1.0828055851952456e-07,2.0535967593104942e-08
1835,1.4142973725483898e-07,2.2689263801112247e-08
1836,1.505447978500385e-07,1.9490174807401672e-08
1837,1.1202204319715747e-07,2.2961039292113128e-08
1838,1.0351945278763708e-07,1.830527018853445e-08
1839,9.927894428773953e-08,7.34104868005403e-08
1840,1.738924936267594e-07,3.3759349093998026e-08
1841,1.0786521453809428e-07,3.5955071808757566e-08
1842,1.10015544674269e-07,5.634942823462552e-08
1843,1.0396163158121752e-07,5.61156552891795e-08
1844,1.427025982936314e-07,2.9089374464774664e-08
1845,1.3336744136838163e-07,4.743193926515232e-08
1846,1.3348263672163796e-07,4.4494211426382435e-08
1847,1.5910009487640764e-07,2.3730184040005042e-08
1848,1.0700144564834702e-07,7.482056219032529e-08
1849,9.803915590467227e-08,8.798385664476882e-08
1850,8.486244862382364e-08,7.807345347998762e-08
1851,1.3930788300697827e-07,4.7725847496238316e-08
1852,1.3541933996386035e-07,5.143330938928159e-08
1853,9.734248562764947e-08,4.359510086260343e-08
1854,7.1700170523048e-08,8.728716549555315e-08
1855,1.0613874223963649e-07,6.262185792138553e-08
1856,5.7984518520015627e-08,5.746679904161667e-08
1857,7.224633263858138e-08,5.760180787905966e-08
1858,9.493731573106956e-08,5.52985386370608e-08
1859,1.6091267518447694e-07,6.61982533234351e-08
1860,1.3960410391589129e-07,5.7672515985096595e-08
1861,1.061091827181393e-07,5.517677692523648e-08
1862,8.313094937428822e-08,5.1053245186949425e-08
1863,1.668203361560039e-07,5.194405705566396e-08
1864,8.055142897145373e-08,6.376988037626319e-08
1865,1.1578837405545883e-07,7.295609016910731e-08
1866,1.0412411788340847e-07,5.4008304717356737e-08
1867,1.1015882073195371e-07,8.104195359237565e-08
1868,5.8784501488773344e-08,7.953197411758595e-08
1869,9.767038189334443e-08,5.616047138445879e-08
1870,8.42905176767772e-08,3.4404294524392753e-08
1871,2.294174301642471e-07,1.0621177182201791e-07
1872,1.6872075958573873e-07,9.252429356010339e-08
1873,9.817047591509365e-08,6.764185389585009e-08
1874,9.619120922010893e-08,6.990292539255094e-08
1875,5.149374260327022e-08,7.838491933309655e-08
1876,8.706261667157378e-08,3.506688628363008e-08
1877,1.0452338861099975e-07,5.133397351642088e-08
1878,1.1111923364781617e-07,5.5559616463085604e-08
1879,8.430868958519966e-08,6.23151170664471e-08
1880,1.135958822562344e-07,6.225310866803113e-08
1881,1.3456938985356715e-07,7.600033291588204e-08
1882,9.783416188291483e-08,8.2526777855918e-08
1883,6.698499382951084e-08,8.02556030521373e-08
1884,7.723985540053491e-08,5.413391690467506e-08
1885,7.348024594344693e-08,7.412481317636832e-08
1886,8.454037675464932e-08,6.840671623598027e-08
1887,1.0968593661120352e-07,9.401651368534658e-08
1888,8.11598710459549e-08,7.291706949352772e-08
1889,1.2154364897876135e-07,6.453090728442135e-08
1890,9.503860171067302e-08,5.702316130395957e-08
1891,8.159001474439265e-08,4.46195413950079e-08
1892,8.838602627569969e-08,6.080456671497814e-08
1893,6.89742665205273e-08,6.527921669885473e-08
1894,7.561847215065143e-08,7.876924179583966e-08
1895,8.66680480715587e-08,9.990900373679779e-08
1896,7.489226616641531e-08,1.2383760367162822e-07
1897,1.0196748623236829e-07,5.3605766270337085e-08
1898,4.80960165027966e-08,5.601771180252513e-08
1899,1.1055156612371775e-07,7.904436927219649e-08
1900,1.225088532841312e-07,7.267474400052265e-08
1901,5.309301842615355e-08,4.750427973210236e-08
1902,8.249276961524998e-08,7.316323147321668e-08
1903,7.722315142899561e-08,8.478345847606761e-08
1904,6.449549871945237e-08,1.0158041607866153e-07
