year,un_DET are_NOUN
1800,2.3266816917555388e-07
1801,1.9287579511306774e-07
1802,2.215461734067503e-07
1803,2.788984960755414e-07
1804,1.7797326279378467e-07
1805,7.675769686521505e-08
1806,1.2391176706927354e-07
1807,9.679647661187119e-08
1808,1.6768947030953996e-07
1809,8.132509665692567e-08
1810,7.254393041833396e-08
1811,1.2033968266322859e-07
1812,9.601949502169305e-08
1813,1.6966876126289776e-07
1814,7.237357690925705e-08
1815,9.170560133497929e-08
1816,9.965696534663948e-08
1817,1.0275364747958093e-07
1818,7.867977047659735e-08
1819,4.761483052284632e-08
1820,5.814575754214957e-08
1821,5.522433432769702e-08
1822,4.210758675071702e-08
1823,4.051901758561627e-08
1824,5.3895122142932905e-08
1825,4.6668849673636714e-08
1826,8.631824399696342e-08
1827,7.558163994669798e-08
1828,6.879225594724758e-08
1829,4.372319883927389e-08
1830,8.975679155476257e-08
1831,4.2096254482260065e-08
1832,1.3259370146290195e-07
1833,8.571884757557768e-08
1834,7.747660801804557e-08
1835,7.109302657681837e-08
1836,9.677879853065008e-08
1837,7.86241648453867e-08
1838,6.690891618532646e-08
1839,8.45968473051073e-08
1840,7.771020305025189e-08
1841,6.292137255670127e-08
1842,9.391570809924588e-08
1843,7.265500523434554e-08
1844,1.5971713107632013e-07
1845,1.2332303644946307e-07
1846,1.176754762521881e-07
1847,9.384208876639377e-08
1848,1.3274615284775138e-07
1849,1.6339858888159142e-07
1850,1.3442211965752904e-07
1851,1.0125618654655e-07
1852,1.2825774886593422e-07
1853,1.1406389655022053e-07
1854,8.988499344830814e-08
1855,1.1091498564042013e-07
1856,1.0199063016358423e-07
1857,9.226052422039999e-08
1858,9.102237541469549e-08
1859,1.1202781236008263e-07
1860,9.245911714028665e-08
1861,9.290448810261864e-08
1862,1.418647754825031e-07
1863,1.683187182965895e-07
1864,1.4096500455806904e-07
1865,1.0637468372820535e-07
1866,8.417510199976164e-08
1867,1.640250335555038e-07
1868,1.353525531655464e-07
1869,9.962379388106513e-08
1870,9.28915917519646e-08
1871,1.2108142133371302e-07
1872,1.1066630656308973e-07
1873,6.644465111449449e-08
1874,7.946230157207523e-08
1875,9.440519954662108e-08
1876,9.371322651219316e-08
1877,8.102109150254222e-08
1878,8.213160263004227e-08
