year,mon_DET or_NOUN,mon_DET cor_NOUN
1800,1.1633408414368773e-07,3.144164484325529e-09
1801,1.0715321963061797e-07,2.3811825844433088e-09
1802,1.0070280609397742e-07,2.2378401354217203e-08
1803,9.361628405812894e-08,0.0
1804,1.3842365897964726e-07,4.943701892301533e-09
1805,1.0518647619583987e-07,5.685755422035754e-09
1806,1.210301006082659e-07,5.76333825108577e-09
1807,1.1387820464392462e-07,1.9928686256776018e-08
1808,4.305540501903238e-08,1.1330369531492579e-08
1809,1.0165637687187257e-07,4.518061036407062e-09
1810,6.318342293809565e-08,7.020380277111826e-09
1811,9.777599174753959e-08,4.763445815569867e-08
1812,8.001624962616916e-08,8.00162425207418e-09
1813,3.7384642270765767e-08,0.0
1814,7.866693074731756e-08,9.440030979135372e-09
1815,1.4295284955778698e-07,5.394447111228828e-09
1816,5.0987283728431976e-08,2.503012161980678e-07
1817,7.161617898709949e-08,3.7364961791297446e-08
1818,8.225612324608278e-08,7.367287366832898e-07
1819,9.212434293193184e-08,8.591371569721673e-08
1820,2.088500679064964e-07,1.0798498006892032e-07
1821,1.8145138369618508e-07,5.423818549843418e-08
1822,8.120748873352568e-08,2.606660132187244e-08
1823,1.413224272051039e-07,4.249555374258307e-08
1824,1.381062544325573e-07,1.2631669221718766e-07
1825,6.427973353595462e-08,8.805443485471187e-09
1826,7.134467594482885e-08,3.5231937367541377e-09
1827,5.806882030778837e-08,1.1060727778122725e-08
1828,1.1190207510614059e-07,1.7427371545863934e-08
1829,9.77342076158294e-08,2.6576845446601993e-08
1830,1.0436835840010872e-07,1.8786305178153384e-08
1831,8.263339257297275e-08,2.0268567268999504e-08
1832,1.637126312292736e-07,4.058990787925154e-08
1833,2.2356402618051163e-07,1.50587169400751e-08
1834,1.3255034403414356e-07,1.0267983796552471e-08
1835,1.0890846624533879e-07,3.403389570166837e-08
1836,1.2298972573709932e-07,2.352262562510532e-08
1837,1.6072728514782142e-07,1.0436836284100082e-08
1838,9.278878199125984e-08,1.0920039983375318e-07
1839,1.0836786323853431e-07,2.0974425751774106e-08
1840,1.0127805277759805e-07,3.184844388215424e-08
1841,1.1107548747446572e-07,7.64045307022343e-08
1842,1.422152213770289e-07,6.305769062464606e-08
1843,8.919435912080331e-08,2.717179026223704e-08
1844,7.46444339672081e-08,5.2141332140820396e-08
1845,1.2778722091599803e-07,3.459741382272341e-08
1846,8.606117085641074e-08,2.927250686290961e-08
1847,1.2512278502185836e-07,3.775256640636826e-08
1848,9.010648333029891e-08,8.045221711050488e-10
1849,5.530413860199701e-08,1.927265347312357e-08
1850,1.1405512978512888e-07,1.6972490080036096e-08
1851,6.578427780290497e-08,1.4833709149897345e-08
1852,9.375185161530908e-08,2.148479971708639e-08
1853,7.70379240400132e-08,8.360704573107114e-09
1854,8.313062949127925e-08,1.4028294303969346e-08
1855,1.475328552658084e-07,7.429711956774554e-09
1856,1.0250834381331231e-07,2.743910287872353e-08
1857,9.323682181872073e-08,2.0014186807859602e-08
1858,7.634134790990288e-08,1.7127865237220874e-08
1859,1.5989423940432346e-07,1.4258085379026397e-08
1860,9.200139317044886e-08,3.341344365082044e-08
1861,9.007490908707894e-08,2.357981898626349e-08
1862,1.084316711974509e-07,1.9879140139567042e-08
1863,1.2536498195103718e-07,1.048870412745373e-08
1864,1.1027873991764636e-07,2.4453112534850163e-08
1865,7.53095128480652e-08,5.742350062121204e-08
1866,1.196940804248925e-07,3.697865774698883e-08
1867,1.0142376005717324e-07,2.6690463172940326e-08
1868,5.829051508143834e-08,1.4325634345446758e-08
1869,1.4455216934550208e-07,3.320793062755456e-08
1870,8.429052034131246e-08,2.4656408914580652e-08
1871,8.072094637157079e-08,1.274541272522356e-08
1872,6.10781268894911e-08,3.3865100612651133e-08
1873,7.183205408267668e-08,1.97538145840781e-08
1874,8.42419886071255e-08,2.688574091136431e-08
1875,1.1900776364370813e-07,2.4030413214859436e-08
1876,9.61316373171428e-08,2.5997863417615008e-08
