year,en_ADP ans_NOUN,en_ADP camp_NOUN
1800,1.006132621661493e-07,5.0306631749208464e-08
1801,9.28661236798689e-08,1.142967676059925e-07
1802,9.175144555229053e-08,6.489736392722989e-08
1803,9.946729906396001e-08,2.9255089017965474e-08
1804,9.887404028852131e-08,1.2359254952798437e-08
1805,6.25433098644379e-08,5.685755422035754e-09
1806,1.6137346481315262e-07,8.645007376628655e-09
1807,1.5088862248546775e-07,2.8469551160981155e-09
1808,1.427626639127766e-07,0.0
1809,7.906607124574805e-08,6.7770917766551975e-09
1810,1.4508786394529238e-07,4.680253518074551e-09
1811,8.273353602206157e-08,1.0028307073639553e-08
1812,9.068508077803017e-08,4.5342538612658245e-08
1813,7.476928232108548e-08,5.751483289628823e-09
1814,3.1466771410748606e-08,2.2026739543434815e-08
1815,4.855002422310406e-08,5.394447111228828e-09
1816,5.7940095388175905e-08,3.9399267848239106e-08
1817,6.383180817248757e-08,1.5568733857662664e-08
1818,6.318223921830679e-08,3.814776872168579e-08
1819,1.066158181739496e-07,8.177329746672513e-08
1820,4.509263007435038e-08,2.480094565271429e-07
1821,1.0354562518521959e-07,2.110358559015424e-07
1822,1.3334069137727056e-07,1.7945852448519872e-07
1823,4.348382143248841e-08,3.231638633360845e-07
1824,5.557934468214398e-08,5.5579342905787144e-08
1825,4.138558074018306e-08,4.138558296062911e-08
1826,3.435113959948666e-08,1.1890778539580538e-07
1827,6.544263980723386e-08,8.479890983847937e-08
1828,4.035812389835414e-08,4.861319641280559e-08
1829,5.658296359234427e-08,1.5431716349212365e-08
1830,2.7135772739939057e-08,1.1480519646056564e-08
1831,4.989185842241284e-08,2.6505050598757407e-08
1832,3.9236911608675484e-08,1.352996914505411e-08
1833,3.938433690287013e-08,1.853380560135065e-08
1834,4.760610661236342e-08,3.267085690872307e-08
1835,9.756383434478266e-08,8.092504089063368e-08
1836,3.09154504218867e-08,1.5457725055512128e-07
1837,3.478945287405111e-08,1.210672991858175e-07
1838,3.282324301245865e-08,2.6826688626080397e-07
1839,6.711815891957684e-08,5.663094881924735e-08
1840,6.369688487772862e-08,4.076600673696973e-08
1841,9.052973348744331e-08,3.852328944731198e-08
1842,7.24492630332918e-08,7.64742185133116e-08
1843,3.544146692791017e-08,6.674809327478215e-08
1844,3.402907938765409e-08,2.4698525891153622e-08
1845,2.566904799827796e-08,9.263178668561522e-08
1846,3.2785206105501175e-08,9.952652391120864e-08
1847,2.1572895470001185e-08,5.015697901455951e-08
1848,1.930853293918844e-08,1.351597295196072e-07
1849,4.7762666932626985e-08,5.5304140156309245e-08
1850,3.2587180065490884e-08,1.8398179690848337e-07
1851,3.4826968864365426e-08,7.158877068924596e-08
1852,2.79953455972759e-08,2.9948509450150596e-08
1853,6.270528518648177e-08,6.867721680237082e-08
1854,3.273268556203135e-08,1.6574170269567645e-07
1855,2.4411910715116392e-08,3.8209947206269135e-08
1856,1.501384794266869e-08,8.852993715890989e-08
1857,4.58861838525948e-08,8.200935042168567e-08
1858,5.285170184832211e-08,6.900082899496951e-08
1859,2.9025388315062628e-08,5.906921174414492e-08
1860,1.968189100587381e-08,5.9045670797175376e-08
1861,1.9807047502151676e-08,6.743827896116272e-08
1862,3.252950275811628e-08,5.692662741196841e-08
1863,2.6970952249349978e-08,6.093437399101731e-08
1864,1.821996631345968e-08,7.911300770047092e-08
1865,2.07101151783462e-08,4.4715022406993654e-08
1866,3.113992252945508e-08,7.97960524323571e-08
1867,3.299911810472622e-08,5.435149041943532e-08
1868,4.8410764397210926e-08,7.162817572403668e-08
1869,5.4207061062072626e-08,3.809144999422642e-08
1870,2.2362789842134134e-08,1.003458547366165e-07
1871,6.054070955663349e-08,1.0196330091361006e-07
1872,3.5679300403046454e-08,1.1187577753091205e-07
1873,5.566984112581608e-08,2.472219842175605e-07
1874,3.166542839050379e-08,7.587753714233259e-08
1875,3.204055232242098e-08,7.552416059208866e-08
1876,3.143927651549916e-08,4.957732002708326e-08
1877,2.4120781705327943e-08,7.23623440057608e-08
1878,3.502671280797287e-08,9.481369456221245e-08
1879,2.627009876299269e-08,4.7041805117942204e-08
1880,5.519347645588368e-08,7.893950848547604e-08
1881,3.2770786140279284e-08,5.229380534155226e-08
1882,4.192892699705908e-08,5.856738893861291e-08
1883,3.854796920554904e-08,6.572112304370492e-08
1884,2.970763635090634e-08,5.8755103893304295e-08
1885,3.351730637479733e-08,6.510092021017044e-08
1886,2.9040586768669385e-08,1.0519146087517584e-07
1887,3.7867761704113434e-08,7.704130983166024e-08
1888,2.5996519825710607e-08,6.911270133969083e-08
1889,2.5060547192978788e-08,5.388017498830777e-08
1890,3.211649518553017e-08,6.161123433656712e-08
1891,3.4420787553557375e-08,9.752556695552528e-08
1892,3.447681917734258e-08,5.265550417909992e-08
1893,1.9706933140906102e-08,7.082179109829667e-08
1894,2.5836310646454308e-08,3.402831372234516e-08
1895,2.708376523052891e-08,7.52326836384043e-08
1896,2.594692793955744e-08,4.422771660017588e-08
1897,2.38895258020122e-08,7.283392022827684e-08
1898,2.150174849280262e-08,5.488604415404552e-08
1899,2.819064981451902e-08,7.904437282491017e-08
1900,2.0764212682600203e-08,7.007921409840634e-08
1901,2.5149324622830704e-08,5.309301842615355e-08
1902,3.191684577741327e-08,4.6647695484125506e-08
1903,2.4300991663395166e-08,6.9122817247802e-08
1904,4.192207558872951e-08,4.6759240923677226e-08
1905,3.818961596957493e-08,3.612531429553201e-08
1906,4.012464094316215e-08,5.4528356385752375e-08
1907,2.108565710923216e-08,5.4514140757078167e-08
1908,2.6521501217402488e-08,5.598983543464442e-08
1909,3.685658955809856e-08,3.4656196135074424e-08
1910,2.93928290595602e-08,9.512588028393054e-08
1911,2.873001958558774e-08,8.033764942183552e-08
1912,2.2400511667797218e-08,5.782457596081869e-08
1913,3.2348237311019545e-08,7.583275563050051e-08
1914,3.147469573860917e-08,6.227971438566016e-08
1915,2.591767644943843e-08,7.775303201285055e-08
1916,2.7468654462126096e-08,8.789969907496697e-08
1917,2.960934575302332e-08,7.347504649146686e-08
1918,2.5270027848023346e-08,1.274987795341076e-07
1919,5.893022841929607e-08,7.458357487166722e-08
1920,3.7861158652674476e-08,8.253732408647352e-08
1921,3.937828690903089e-08,5.6038331308627676e-08
1922,2.9511741217458365e-08,6.935259477813815e-08
1923,4.671017128643484e-08,5.8387715995422695e-08
1924,1.675911143195208e-08,5.801231128810258e-08
1925,3.2994533993857544e-08,6.158979459769398e-08
1926,2.2292277579438746e-08,8.805449702720125e-08
1927,4.236705530846763e-08,6.355057990958812e-08
1928,2.627989537096198e-08,7.312666383541e-08
1929,1.893869105984436e-08,8.021092612331415e-08
