year,rien_PRON ouvrir_VERB,rien_PRON couvrir_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,1.4287095950749062e-08
1802,0.0,2.4616241489638924e-08
1803,1.950339223455444e-09,2.5354410126965377e-08
1804,7.4155526164076946e-09,0.0
1805,0.0,1.7057265822018053e-08
1806,2.881669125542885e-09,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,2.5070767684098882e-09
1812,3.7340914360584065e-08,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,1.1588019432906549e-08,0.0
1817,3.113746815941454e-09,1.8682481339737933e-08
1818,0.0,2.384235475716423e-09
1819,0.0,0.0
1820,2.3732962262101864e-08,1.3053129244156025e-08
1821,0.0,1.577838126820552e-08
1822,0.0,5.012807946513931e-09
1823,0.0,9.882686891060644e-10
1824,1.51580028528997e-08,8.421112696055388e-10
1825,0.0,0.0
1826,1.3211976401805714e-08,8.807984341885344e-10
1827,0.0,0.0
1828,0.0,3.668920500743411e-09
1829,0.0,7.715858174606183e-09
1830,3.1310507520032616e-09,3.1310507520032616e-09
1831,0.0,0.0
1832,0.0,1.3529969367098715e-09
1833,9.266902800675325e-09,0.0
1834,6.534171426153534e-09,1.8669061851994684e-09
1835,4.5378527602224494e-09,5.294161553592858e-09
1836,8.064899859050456e-09,1.3441500135158435e-09
1837,7.653680356156656e-09,1.3915781860163179e-09
1838,4.418513555037862e-09,3.1560809521380406e-09
1839,2.7965900706306e-09,0.0
1840,1.8472096741106725e-08,8.917564464638872e-09
1841,2.5682194149112547e-09,2.5682194149112547e-09
1842,6.708265054555795e-10,4.024959032733477e-09
1843,2.3627644285539873e-09,2.953455480181333e-09
1844,0.0,0.0
1845,4.464182357111213e-09,1.0602432709561072e-08
1846,5.854501328173001e-09,0.0
1847,1.6179670936367074e-09,2.6966118227278457e-09
1848,3.218088684420195e-09,6.43617736884039e-09
1849,1.6758829879393033e-09,0.0
1850,6.1100964288129944e-09,5.431196825611551e-09
1851,4.514607354622058e-09,0.0
1852,6.510545436100301e-10,3.2552727180501506e-09
1853,5.971931837933653e-10,0.0
1854,5.195664343204953e-09,5.195664454227256e-10
