year,un_DET argot_NOUN,un_DET cargo_NOUN
1800,2.5153315874604232e-08,0.0
1801,5.2386017301842e-08,0.0
1802,8.951360541686881e-09,0.0
1803,5.070882025393075e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,0.0,0.0
1806,2.881669125542885e-08,0.0
1807,3.131650672116848e-08,5.693910232196231e-09
1808,2.2660739951163578e-09,0.0
1809,1.8072244145628247e-08,0.0
1810,4.446240886579744e-08,0.0
1811,4.763445815569867e-08,0.0
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,3.506390555685357e-08,0.0
1816,6.257530316133852e-08,0.0
1817,1.5568733857662664e-08,0.0
1818,1.1921176934492905e-08,0.0
1819,1.8631890696951814e-08,0.0
1820,3.0852851828910843e-08,2.3732962262101864e-09
1821,2.2681422962023134e-08,0.0
1822,8.02049271442229e-09,0.0
1823,1.7788837070042973e-08,0.0
1824,5.894778887238772e-09,0.0
1825,2.289415235168235e-08,0.0
1826,1.4092774947016551e-08,0.0
1827,2.7651818612639545e-08,0.0
1828,2.0179061976932644e-08,0.0
1829,7.715858174606183e-09,0.0
1830,1.7742621594152297e-08,0.0
1831,3.274153215215847e-08,0.0
1832,6.629684889958298e-08,0.0
1833,4.054269808762001e-08,0.0
1834,1.1201436933561126e-07,0.0
1835,1.3613558280667348e-08,0.0
1836,4.301280043250699e-08,0.0
1837,3.896418832027848e-08,0.0
1838,2.9035945203759184e-08,0.0
1839,1.6080392128969834e-08,0.0
1840,7.0066574764382494e-09,0.0
1841,4.365973182984817e-08,6.420548537278137e-10
1842,3.3541326160957396e-08,0.0
1843,3.9576303123567413e-08,0.0
1844,2.360081374774836e-08,0.0
1845,3.9619617142605534e-08,5.580227946389016e-10
1846,1.9319854160926297e-08,0.0
1847,1.5101026207275936e-08,0.0
1848,3.539897619475596e-08,0.0
1849,3.1841775438579134e-08,0.0
1850,2.1045888587423178e-08,0.0
1851,4.5791015423901626e-08,6.449438760824933e-10
1852,1.7578472011337e-08,0.0
1853,4.2997910787434535e-08,0.0
1854,5.923057599943604e-08,0.0
1855,3.502578493908004e-08,0.0
1856,1.0509693915139451e-07,0.0
1857,6.199516633387248e-08,0.0
1858,5.529853908115001e-08,9.787352039936081e-10
1859,6.619825398956891e-08,0.0
1860,3.478659946209994e-08,9.154367819341758e-10
1861,3.678451676591976e-08,0.0
1862,6.776979688538631e-08,0.0
1863,4.7948361725502764e-08,4.994620828036034e-10
1864,3.16452037907311e-08,0.0
1865,2.4946274379544775e-08,9.41368871743009e-10
1866,2.8220554781910323e-08,0.0
1867,4.0278337110066786e-08,0.0
1868,4.297690381349639e-08,0.0
1869,2.6859355628516823e-08,0.0
1870,1.0894693147633916e-08,0.0
1871,7.434824311758348e-09,0.0
1872,3.8702971494330995e-08,6.047339295989218e-10
1873,3.71132280463371e-08,0.0
1874,2.2106054209380943e-08,0.0
1875,2.2313955128083762e-08,0.0
1876,3.385768176933368e-08,0.0
1877,3.3398006138440905e-08,0.0
1878,2.113680963589104e-08,0.0
1879,3.665595116331133e-08,0.0
1880,3.2089232604448625e-08,0.0
1881,6.48443219120054e-08,2.091752326904839e-09
1882,3.8601232432711186e-08,1.9966155395678697e-09
1883,3.665216602444232e-08,0.0
1884,5.215340515007938e-08,6.601696966868076e-10
1885,2.9649924293551067e-08,0.0
1886,3.291266548188787e-08,5.162771044009418e-09
1887,3.721487118468758e-08,0.0
