year,en_ADP âges_NOUN,en_ADP ages_NOUN,en_ADP cage_NOUN
1800,1.2576657937302116e-08,3.144164484325529e-09,1.3802881753122165e-06
1801,2.8574191901498125e-08,0.0,6.048203786690465e-07
1802,1.1189200677108602e-08,0.0,9.108009635383496e-07
1803,3.900678446910888e-09,0.0,1.9386372684948583e-06
1804,7.4155526164076946e-09,0.0,6.377375623145554e-07
1805,0.0,2.842877711017877e-09,5.486754162120633e-07
1806,2.305335300434308e-08,0.0,3.8902533550100316e-07
1807,5.693910232196231e-09,0.0,3.957267722398683e-07
1808,3.3991110370834576e-08,0.0,5.551881483434329e-07
1809,0.0,0.0,5.24095071341435e-07
1810,0.0,0.0,4.961068498232635e-07
1811,5.0141535368197765e-09,0.0,4.788516516640584e-07
1812,5.067695596494559e-08,0.0,2.7738965968637785e-07
1813,2.8757416448144113e-09,0.0,2.1280487771946355e-07
1814,0.0,0.0,2.234140765722259e-07
1815,0.0,0.0,2.859056915660574e-07
1816,6.952811659743929e-09,0.0,5.654953270095575e-07
1817,1.8682481339737933e-08,0.0,9.138846621681296e-07
1818,2.384235475716423e-09,0.0,9.727681176130432e-07
1819,1.035105001712111e-09,0.0,2.908645004850996e-07
1820,1.779972080839798e-08,3.5599443393152796e-09,3.6548762150090397e-07
1821,1.8736827200882544e-08,0.0,3.3331829962790493e-07
1822,1.2030739071633434e-08,0.0,6.255984317249386e-07
1823,4.941343334508019e-09,0.0,6.20632750192307e-07
1824,1.0105335235266466e-08,8.421112696055388e-10,4.2526617871629924e-07
1825,2.641632912414593e-09,8.805443041381977e-10,4.7197173635993295e-07
1826,1.6735169694470642e-08,0.0,5.346446330101173e-07
1827,1.6591091167583727e-08,0.0,3.5855192653810875e-07
1828,5.503380862137419e-09,9.172301251858528e-10,5.53089785970684e-07
1829,1.457439946506156e-08,8.57317605795771e-10,2.554806401988685e-07
1830,1.2524203008013046e-08,0.0,4.4252184783211135e-07
1831,1.5591206548037917e-08,0.0,3.398882881811005e-07
1832,1.2176972319366541e-08,0.0,2.54363413887404e-07
1833,1.9692167896323554e-08,0.0,3.1275797063301525e-07
1834,2.5203233278148218e-08,9.334530925997342e-10,4.2472116668079707e-07
1835,1.663879345414898e-08,0.0,4.742056063378186e-07
1836,1.8818100855355624e-08,0.0,4.2071896499962236e-07
1837,1.3219993100221927e-08,0.0,4.5782923141501897e-07
