year,ancien_ADJ an_NOUN,ancien_ADJ camp_NOUN
1800,0.0,2.829747991484055e-08
1801,1.1905912922216544e-08,1.1905913055443307e-07
1802,0.0,8.727576528144709e-08
1803,1.950339223455444e-09,1.1897068930011301e-07
1804,2.4718509461507665e-09,6.426812149129546e-08
1805,0.0,1.4214388954769674e-07
1806,0.0,3.458002950651462e-08
1807,5.693910232196231e-09,2.391442421867396e-07
1808,0.0,4.758755522971114e-08
1809,2.259030518203531e-09,1.3780086760561971e-07
1810,0.0,2.620942041176022e-07
1811,2.5070767684098882e-09,3.509907458010275e-07
1812,2.6672082320544632e-09,1.5469807124190993e-07
1813,2.8757416448144113e-09,8.627225156487839e-08
1814,0.0,5.97868634599763e-08
1815,5.394447111228828e-09,3.776112933451259e-08
1816,2.3176038865813098e-09,3.244645441213834e-08
1817,4.670620334934483e-09,8.56280379935015e-08
1818,0.0,1.192117715653751e-07
1819,1.035105001712111e-09,1.511253344688157e-07
1820,0.0,9.374519915894552e-08
1821,0.0,6.311352462873288e-08
1822,0.0,6.416394171537831e-08
1823,0.0,1.7393529105902417e-07
1824,8.421112696055388e-10,1.2968513818378824e-07
1825,0.0,6.956300069305144e-08
1826,8.807984341885344e-10,1.1186140169705538e-07
1827,0.0,7.097300169789378e-08
1828,0.0,1.5776357997765444e-07
1829,8.57317605795771e-10,1.5431716349212365e-07
1830,3.1310507520032616e-09,1.0436836106464398e-07
1831,0.0,7.171954763407484e-08
1832,0.0,6.900284432731496e-08
1833,2.3167257001688313e-09,5.79181431703546e-08
1834,9.334530925997342e-10,1.4281832094731328e-07
1835,7.563087933704082e-10,1.3462296521993267e-07
1836,0.0,1.0484370205343652e-07
1837,0.0,5.914207434898344e-08
1838,6.312161904276081e-10,9.405120948713375e-08
1839,0.0,1.2444826513746676e-07
1840,3.184844277193122e-09,1.6370099870099963e-07
1841,6.420548537278137e-10,1.412520673760298e-07
1842,2.683306021822318e-09,9.056157779241403e-08
1843,1.1813822142769936e-09,8.033398846141182e-08
1844,2.195424508855126e-09,9.769639319756607e-08
1845,1.1160455892778032e-09,6.584668776898894e-08
1846,1.7563503984519002e-09,6.498496674112175e-08
1847,0.0,1.181116005000149e-07
1848,0.0,1.1746023481640222e-07
1849,8.379414939696517e-10,9.720121596501485e-08
1850,6.788996032014438e-10,1.1948633193981095e-07
