year,ton_DET cadeau_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,6.713520406265161e-09
1803,1.1702035562777269e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,8.00162425207418e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,9.86148829262845e-10
1822,3.0076847679083585e-09
1823,0.0
1824,0.0
1825,6.163809906922779e-09
1826,8.807984341885344e-10
1827,3.6869092223668076e-09
1828,0.0
1829,3.429270423183084e-09
1830,0.0
1831,3.1182412207897414e-09
1832,1.3529969367098715e-09
1833,3.4750886612755494e-09
1834,6.534171426153534e-09
1835,3.781543966852041e-09
1836,6.720750067579218e-10
1837,2.7831563720326358e-09
1838,4.418513555037862e-09
1839,1.3982950353153e-09
1840,4.458782232319436e-09
1841,0.0
1842,1.0733224087289273e-08
1843,7.678984559333912e-09
1844,1.097712254427563e-09
1845,5.580227835366713e-09
1846,0.0
1847,1.0786447290911383e-09
1848,1.6090443422100975e-09
1849,0.0
1850,2.0366988096043315e-09
1851,4.514607354622058e-09
1852,3.2552727180501506e-09
1853,5.3747388761848924e-09
1854,9.352196184142514e-09
1855,1.5920811335945473e-09
1856,5.177189343896771e-09
1857,4.881508974818871e-09
1858,7.829881520926563e-09
1859,7.1290429115578036e-09
1860,6.408057640072684e-09
1861,1.1789909049042535e-08
1862,6.325180823552046e-09
1863,9.989241656072068e-10
1864,6.233146443435089e-09
1865,3.294791106611683e-09
1866,6.811858188626729e-09
1867,1.747012134956094e-08
1868,6.915823469455518e-09
1869,4.883519366671862e-09
1870,6.307453670473251e-09
1871,5.310588635509816e-09
1872,1.5118348128950743e-08
1873,7.1832053083475955e-09
1874,2.9873046258899194e-09
1875,1.716458086775674e-09
1876,5.441413319928756e-09
1877,6.184816214727107e-09
1878,1.2078177347163432e-09
1879,7.331190321480108e-09
1880,3.8507077526617195e-09
1881,8.367008919041297e-09
1882,1.1314154946262533e-08
1883,8.21514056781325e-09
1884,4.621187876807653e-09
1885,3.2228177904158883e-09
1886,8.38950331427668e-09
1887,7.1818169189441505e-09
1888,2.53624587998047e-09
1889,1.0024218510817917e-08
1890,1.9663159989136147e-09
1891,1.2748440081367107e-09
1892,6.268512375839919e-09
1893,1.970693297437265e-08
1894,1.3233232509790582e-08
1895,4.814891596538473e-09
1896,1.7691086373616827e-09
1897,2.9133566670225264e-09
1898,8.487532454637403e-09
1899,9.39688327150634e-09
1900,5.710158568206225e-09
1901,4.470991188387785e-09
1902,4.910283735171106e-09
1903,8.640352211486402e-09
1904,4.299700151477737e-09
1905,7.2250625482439546e-09
1906,8.745113966313056e-09
1907,9.771402076363955e-09
1908,1.964555629285769e-09
1909,1.4302557360679202e-08
1910,1.2291546447329438e-08
1911,6.916486494645824e-09
1912,6.772247373998397e-09
1913,1.8030165804816534e-08
1914,1.3393487430235496e-09
1915,4.712304768617059e-09
1916,1.977743147030253e-08
1917,9.869782324756216e-09
1918,2.5270027848023346e-08
1919,1.8415696745321952e-09
1920,2.4988365154854364e-08
1921,3.7863738810983705e-09
1922,6.6401419362982494e-09
1923,1.1677542932631013e-08
1924,5.156649662829693e-09
1925,8.798542339150117e-09
1926,1.114613823460786e-08
1927,1.5608915049369898e-08
1928,6.8556245125250825e-09
1929,5.570202965543558e-09
1930,9.453243521306831e-09
1931,2.2810713318222042e-09
1932,1.0959536389520963e-08
1933,6.882397318719313e-09
1934,9.585264137967897e-09
1935,1.0771455727365264e-08
1936,1.33371855781661e-08
1937,1.8886676889096066e-08
1938,2.333738657878115e-08
1939,6.117620188206274e-09
1940,2.5357829613881222e-08
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,2.0322646676618206e-08
1944,3.213186161588055e-08
1945,1.742803235060819e-08
1946,1.5313214696277555e-08
1947,2.7418002757073623e-08
1948,1.8482209318548826e-08
1949,2.0615717910565934e-08
1950,7.444752814222966e-09
1951,1.5992102864181845e-08
1952,9.490323193972472e-09
1953,2.801195209123364e-08
1954,1.9545072671434127e-08
1955,9.385607846468247e-09
1956,8.721141364631535e-09
1957,2.120408987282829e-08
1958,8.272243556817216e-09
1959,1.6276571201956358e-08
1960,1.9378333604436193e-08
1961,9.03260710671816e-09
1962,2.219684702708946e-08
1963,2.7804028301936512e-08
1964,1.6426714155581834e-08
1965,1.2038495200705768e-08
1966,1.7725039214155913e-08
1967,2.1200443178770456e-08
1968,1.4821672722487023e-08
1969,1.1808570454796552e-08
1970,1.563566556783691e-08
1971,1.3873673099240591e-08
1972,1.0260293725750103e-08
1973,1.8193573092517568e-08
1974,1.4063928799323833e-08
1975,1.3707552426467373e-08
1976,1.4855170205052559e-08
1977,1.5279632892273298e-08
1978,1.0693064322886414e-08
1979,1.521513048885481e-08
1980,1.7623967618618508e-08
1981,3.415796845374075e-08
1982,1.4277254822836483e-08
1983,1.3893695527400496e-08
1984,1.5657322549600394e-08
1985,2.2257564680217e-08
1986,2.0381250687151464e-08
1987,2.5054348817832306e-08
1988,2.4585871005733395e-08
1989,2.579417435200071e-08
1990,1.6345953146590375e-08
1991,1.992898168712287e-08
1992,1.98357992808873e-08
1993,1.8833305248655563e-08
