year,en_ADP hôte_NOUN,en_ADP côtes_NOUN
1800,0.0,3.144164395507687e-08
1801,0.0,4.0480102825313224e-08
1802,0.0,4.923248297927785e-08
1803,0.0,5.265916058760922e-08
1804,2.4718509461507665e-09,7.415552971679062e-08
1805,0.0,5.970043304159844e-08
1806,0.0,2.305335300434308e-08
1807,1.1387820464392462e-08,1.9928686256776018e-08
1808,2.2660739951163578e-09,2.7192887941396293e-08
1809,0.0,4.2921579401777876e-08
1810,2.3401267590372754e-09,4.914266327205041e-08
1811,1.7549536934780008e-08,6.016984421819416e-08
1812,1.0668832928217853e-08,2.1337665856435706e-08
1813,0.0,1.4378708002027452e-08
1814,9.440030979135372e-09,3.1466772298927026e-08
1815,0.0,5.1247248222807684e-08
1816,1.622322720606917e-08,4.6352077731626196e-08
1817,3.113746815941454e-09,6.227493543065066e-08
1818,3.5763532135746345e-09,2.384235386898581e-08
1819,4.140420006848444e-09,5.2790355198339967e-08
1820,0.0,1.779972080839798e-08
1821,1.0847637454958203e-08,3.0570614484304315e-08
1822,1.9048670196752937e-08,5.413832582235045e-08
1823,4.941343334508019e-09,2.075364236020505e-08
1824,1.431589158329416e-08,5.221090049190025e-08
1825,2.993850500843109e-08,3.522177394188475e-08
1826,1.4092774947016551e-08,4.492072136486058e-08
1827,8.295545583791863e-09,5.8068820862899884e-08
1828,6.420610709767516e-09,5.870272801189458e-08
1829,0.0,3.2578069852906566e-08
1830,7.305785310052215e-09,4.800944353178238e-08
1831,3.1182412207897414e-09,3.118241287403123e-08
1832,5.411987746839486e-09,5.411987658021644e-08
1833,1.1583628278799551e-08,4.401778908036391e-08
1834,1.8669062740173104e-08,4.760610750054184e-08
1835,6.050470346963266e-09,4.235329242874286e-08
1836,1.1425274948351216e-08,4.099657502365517e-08
1837,1.6698937788106605e-08,3.409366655660051e-08
1838,8.2058102535143e-09,9.720729665652073e-08
1839,9.088918062616358e-09,9.019002789045771e-08
1840,1.4650284319017715e-08,6.11490094115652e-08
1841,1.2841097074556274e-09,6.356343362767802e-08
1842,6.708265054555795e-09,4.427455024824667e-08
1843,8.860366662588604e-09,3.36693943836508e-08
1844,1.811225303072206e-08,4.555505839221041e-08
1845,8.37034175305007e-09,4.9664027557128065e-08
1846,2.6345256642912318e-08,6.088681203664237e-08
1847,5.3932236454556914e-09,5.501087940729121e-08
1848,2.252662056889676e-08,2.815827571112095e-08
1849,3.6869426622843093e-08,6.116972728342773e-08
1850,2.4440385715251978e-08,5.906426636670403e-08
1851,1.870337307252612e-08,3.418202609850596e-08
1852,3.906327350478023e-08,3.515694446676321e-08
1853,2.6276499198729653e-08,1.260077624465339e-07
1854,3.3252252507054436e-08,3.27326857285648e-08
1855,2.1227748447927297e-08,5.413075854221461e-08
1856,3.158085348786699e-08,5.901995692170203e-08
1857,1.8549734193129552e-08,6.736482305313984e-08
1858,2.495774698019204e-08,3.9149409047922745e-08
1859,2.0877910733574367e-08,5.855999418713509e-08
1860,1.830873586072812e-08,7.964300249851952e-08
1861,2.971057178058345e-08,4.715963797252698e-08
1862,1.8523744316212287e-08,4.021007882215599e-08
1863,4.2454278315062766e-08,5.094513255698985e-08
1864,1.0068928579798353e-08,1.270602879577254e-07
1865,1.694463946932956e-08,6.30717163496719e-08
1866,1.897589108068587e-08,7.24976345622963e-08
1867,1.261730986357179e-08,4.31900204489466e-08
1868,2.865127013418345e-08,2.3661996806367824e-07
