year,son_DET are_NOUN
1800,1.5720821977538435e-08
1801,4.7623651688866175e-09
1802,3.3567602031325805e-08
1803,2.3404070459420723e-08
1804,9.887403784603066e-09
1805,2.842877711017877e-08
1806,2.881669125542885e-09
1807,2.2775641372874134e-08
1808,1.5862518409903714e-08
1809,2.259030518203531e-09
1810,2.106114127542469e-08
1811,1.2535383842049441e-08
1812,1.600324850414836e-08
1813,1.1502966579257645e-08
1814,9.440030979135372e-09
1815,1.3486117778072071e-08
1816,1.1588019432906549e-08
1817,9.341240336802059e-09
1818,9.536942124910297e-09
1819,7.24573512300708e-09
1820,9.493184904840746e-09
1821,1.2819934447350079e-08
1822,1.303330066093622e-08
1823,8.89441820195458e-09
1824,5.052667617633233e-09
1825,7.044354433105582e-09
1826,3.5231937367541377e-09
1827,1.1060728055678481e-08
1828,6.420610709767516e-09
1829,1.1145128819833872e-08
1830,1.2524203008013046e-08
1831,7.795603274018958e-09
1832,1.2176972541411146e-08
1833,2.432561940768352e-08
1834,1.4001796166951408e-08
1835,9.832014313815307e-09
1836,7.392825185359442e-09
1837,1.600314980532147e-08
1838,6.312161682231476e-09
1839,1.5381244722334486e-08
1840,6.369688498875092e-09
1841,1.3483151484194877e-08
1842,1.475818312002275e-08
1843,1.8311424432315704e-08
1844,5.488561161115513e-09
1845,9.486387508861327e-09
1846,1.2879903366069811e-08
1847,6.47186837454683e-09
1848,1.206783295515379e-08
1849,4.1897072478036534e-09
1850,1.425689166723032e-08
1851,7.094382636907426e-09
1852,1.6276363368206148e-08
1853,8.360704129017904e-09
1854,1.4028293915391288e-08
1855,1.3798036491152743e-08
1856,8.283502495043393e-09
1857,9.274867207587079e-09
1858,7.3405139189297586e-09
1859,8.14747713739905e-09
1860,8.238931314963338e-09
1861,1.0846716413936974e-08
1862,1.1746764505549123e-08
1863,1.0988166210257333e-08
1864,9.58945578499737e-09
1865,1.2708479713019472e-08
1866,7.298419646417642e-09
1867,1.4073153309368536e-08
1868,8.39778580008499e-09
1869,1.0743742562269176e-08
1870,7.454263428741115e-09
1871,7.434824311758348e-09
1872,4.837871325769072e-09
1873,7.183205141814142e-09
1874,5.974608974224083e-09
1875,5.721527251978387e-09
1876,6.04601479992084e-09
1877,4.9478527941460015e-09
1878,1.2078177347163432e-08
1879,6.109325489944695e-09
1880,1.0910338854586143e-08
1881,5.578006112560985e-09
1882,3.9932310791357395e-09
1883,6.319339107552224e-09
1884,8.582206056928499e-09
1885,9.023890135129164e-09
1886,8.38950331427668e-09
1887,1.1752064432712928e-08
1888,8.876860135842435e-09
1889,7.518164202302557e-09
1890,8.520702365899524e-09
1891,5.736797814570593e-09
1892,3.761107425503951e-09
1893,5.542574843531156e-09
1894,4.411077725308132e-09
1895,8.426059849853118e-09
1896,7.66613794667137e-09
1897,2.9133566670225264e-09
1898,6.2241901632731356e-09
1899,7.738609753005221e-09
1900,6.2292638824956725e-09
1901,5.029864968975062e-09
1902,5.4013122863239005e-09
1903,1.1340462346964841e-08
1904,5.912087708281888e-09
1905,2.5803795211665204e-09
1906,5.658602919567102e-09
1907,8.742833457198174e-09
1908,7.858222295098471e-09
1909,2.7504918342913243e-09
1910,1.1757131934686527e-08
1911,5.852411444351446e-09
1912,8.8560158095774e-09
1913,1.484837142129436e-08
1914,8.705767051697677e-09
1915,1.1780761921542648e-09
1916,7.69122365795738e-09
1917,5.483212217605171e-09
1918,1.1486376294556067e-09
1919,1.1970203106503874e-08
1920,6.057785384427916e-09
1921,6.815472852750304e-09
1922,6.640141769764796e-09
1923,5.307974060286824e-09
1924,6.445812328337297e-09
1925,8.798542117105512e-09
1926,3.343841648018042e-09
1927,4.4596899506643695e-09
1928,3.4278122562625413e-09
1929,3.342121912552898e-09
1930,9.453243188239924e-09
1931,3.4216069977333063e-09
1932,3.287861094491973e-09
1933,1.7205992852709073e-08
1934,3.5944740517379614e-09
1935,2.393656828303392e-09
1936,3.6374143697059935e-09
1937,2.5182236296217297e-09
1938,5.186085783037697e-09
1939,0.0
1940,0.0
1941,5.9030051957620344e-09
1942,9.102635312174812e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,0.0
1946,8.352662561605939e-09
1947,3.5762612871081956e-09
1948,3.2615663503321457e-09
1949,1.9634016634739737e-09
1950,4.2541445921528975e-09
1951,0.0
1952,1.0544803918932644e-09
1953,3.232148326759443e-09
1954,1.9545072227344917e-09
1955,7.508486277174597e-09
1956,2.616342476002842e-09
1957,4.417518795207798e-09
1958,3.3088973783179654e-09
1959,2.325224457422337e-09
1960,6.920833350854139e-10
1961,1.3896318540318475e-09
1962,3.170978146727066e-09
1963,1.2932106496776896e-09
1964,3.6503808864551957e-09
1965,4.377634699181954e-09
1966,2.215629901769489e-09
1967,2.4651677366094304e-09
1968,3.143991039733507e-09
1969,4.087581995104728e-09
1970,1.3796175035718505e-09
1971,5.138397485282553e-10
1972,2.0520587451500205e-09
1973,5.513203893414698e-09
1974,1.6876715580593782e-09
1975,2.2845920710778955e-09
1976,5.713526873840635e-10
1977,5.289103655048422e-09
1978,1.7821774056514528e-09
1979,1.1703946700691858e-09
1980,1.1370301367108482e-09
1981,1.897664858585557e-09
1982,1.8622506869903077e-09
1983,1.2630632095778083e-09
1984,1.7397025486864948e-09
1985,3.609334831011779e-09
1986,1.1988970927134801e-09
1987,1.2221633705067347e-09
1988,0.0
1989,1.6464366536794728e-09
1990,1.089730194969718e-09
1991,2.344586080837985e-09
1992,1.1019888335184191e-09
1993,2.2156830259412175e-09
1994,0.0
1995,1.626735190995987e-09
1996,2.135236876199542e-09
1997,0.0
1998,4.768129224785866e-10
1999,1.8280804647829996e-09
2000,3.97622823555821e-09
2001,1.7524847129024579e-09
2002,3.9430991805033955e-09
2003,8.333845835650777e-10
2004,2.2023955992267474e-09
2005,2.251874686720612e-09
2006,2.058944903460258e-09
2007,1.1983438685803094e-09
2008,0.0
2009,2.384096253749135e-09
2010,1.8895172093635892e-09
2011,7.64794394481072e-10
2012,1.0212758139171996e-09
2013,0.0
2014,0.0
2015,1.5516027351836215e-09
2016,2.0713400439298368e-10
2017,5.031222660711876e-10
2018,7.744400121190154e-10
2019,1.53059265262101e-09
