year,bien_ADV couvert_ADJ
1800,1.2891074163690064e-07
1801,2.8336071977719257e-07
1802,2.1707049313590687e-07
1803,2.9840191473340383e-07
1804,2.1505103120489366e-07
1805,2.0184431548386783e-07
1806,1.556101381083863e-07
1807,1.679703558465917e-07
1808,1.11037628869326e-07
1809,1.2424668227595248e-07
1810,1.0764583180389309e-07
1811,2.582289084784861e-07
1812,1.4669645054254943e-07
1813,1.322841143291953e-07
1814,2.0453401816666883e-07
1815,1.4025562222741428e-07
1816,1.4832664874120383e-07
1817,1.401186011662503e-07
1818,7.391130196765516e-08
1819,7.970308502081025e-08
1820,1.2459804565878585e-07
1821,4.339054981983281e-08
1822,5.3135764233047666e-08
1823,6.226093063332883e-08
1824,1.0863235644364977e-07
1825,9.68598712347557e-08
1826,8.279505436803447e-08
1827,7.465990847776993e-08
1828,1.2382606939809193e-07
1829,6.601345603485242e-08
1830,8.55820516676431e-08
1831,1.4032085005055706e-07
1832,1.204167290325131e-07
1833,8.456049016558609e-08
1834,1.2601616106167057e-07
1835,1.0210168710500511e-07
1836,9.341842854837523e-08
1837,7.236206300831327e-08
1838,8.458297173774554e-08
1839,8.94908822601792e-08
1840,6.433385379978063e-08
1841,5.457466301095337e-08
1842,7.71450459069456e-08
1843,7.206431718032036e-08
1844,8.177956090094085e-08
1845,9.263178668561522e-08
1846,1.364098807243863e-07
1847,7.658377398911398e-08
1848,8.68883915927654e-08
1849,1.0558062513155164e-07
1850,6.992665646521345e-08
1851,6.384944128967618e-08
1852,5.1433307390880145e-08
1853,6.031650912063924e-08
1854,6.650450501410887e-08
1855,5.890700194299825e-08
1856,8.490590630572115e-08
1857,9.030792114117503e-08
1858,5.872411179552728e-08
1859,9.420520541425503e-08
1860,5.446849016266242e-08
1861,3.395494019287071e-08
1862,6.596260249125407e-08
1863,6.842630284609186e-08
1864,4.554991406280351e-08
1865,5.7894187222018445e-08
1866,5.887391552050758e-08
1867,7.667442503134225e-08
1868,5.4832600682175325e-08
1869,3.90681549333749e-08
1870,6.995539791887495e-08
1871,6.797553453452565e-08
1872,9.554796065458504e-08
1873,5.3874039451784483e-08
1874,5.496640298474631e-08
1875,5.149374260327022e-08
1876,4.836811839936672e-08
1877,6.061119961486838e-08
1878,6.099479321619583e-08
1879,5.437299321897626e-08
1880,6.225310755780811e-08
1881,5.159655458442103e-08
1882,4.19289278852375e-08
1883,3.981183382961717e-08
1884,6.337629088193353e-08
1885,4.576401479994274e-08
1886,5.8726520535401505e-08
1887,5.288428894800745e-08
1888,6.086990111953128e-08
1889,4.1976417008982025e-08
1890,5.046877760150892e-08
1891,5.2268603667471325e-08
1892,3.2596265242545996e-08
1893,4.6803965148001225e-08
1894,5.356308463433379e-08
1895,3.189865793729041e-08
1896,5.307326134129653e-08
1897,4.661370667236042e-08
1898,3.7910979244770715e-08
1899,5.969784666604028e-08
1900,6.592637191715767e-08
1901,4.359216276839106e-08
1902,4.4192553616539954e-08
1903,4.104167317109386e-08
1904,4.03096898082822e-08
1905,4.799505859409692e-08
1906,3.652370850204534e-08
1907,3.7028470956101955e-08
1908,4.174680867663483e-08
1909,4.620826032919467e-08
1910,3.046165986120286e-08
1911,3.830669470517023e-08
1912,5.1052328586820295e-08
1913,3.3939134169713725e-08
1914,3.4823067096567684e-08
1915,2.0027295377644805e-08
1916,3.84561182897869e-08
1917,4.605898240583883e-08
1918,3.445912710731136e-08
1919,3.591060959706738e-08
1920,3.48322650722821e-08
1921,1.9689142760626055e-08
1922,4.500540740082215e-08
1923,2.653987074552333e-08
1924,3.2229060309418855e-08
1925,2.969508017258704e-08
1926,7.133528612257578e-08
1927,3.6792442870137165e-08
1928,2.9707706517001498e-08
1929,2.6736975300423182e-08
1930,3.361153133596417e-08
1931,3.763767608688795e-08
1932,3.1782654730250215e-08
1933,4.473558234963093e-08
1934,2.7557634396657704e-08
1935,2.393656828303392e-08
1936,4.00115567344983e-08
1937,3.021868266728234e-08
1938,2.5930429359277696e-08
1939,3.6705721129237645e-08
1940,2.7893612752905028e-08
1941,4.132103725851266e-08
1942,4.8547388331598995e-08
1943,2.6129116648121453e-08
1944,5.1410978585408884e-08
1945,2.3963544037997053e-08
1946,3.062643116891195e-08
1947,4.0530959921625254e-08
1948,4.022598432129598e-08
1949,2.9451024730065e-08
1950,2.5524867552917385e-08
1951,2.3455083209000804e-08
1952,2.6362009464264702e-08
1953,2.477980309834038e-08
1954,2.9317607896928166e-08
1955,2.7218263198847126e-08
1956,4.0117249966442614e-08
1957,3.8874166108371355e-08
1958,3.060729980575161e-08
1959,2.7902691712711203e-08
1960,4.429333344546649e-08
1961,3.126671543896009e-08
1962,4.312530421657357e-08
1963,2.651081842941494e-08
1964,3.528701597588224e-08
1965,2.954903344232207e-08
1966,3.4342264143560897e-08
1967,3.9935716955596945e-08
1968,3.638046663922978e-08
1969,3.9967467557744385e-08
1970,2.207388050123882e-08
1971,4.1107178105903586e-08
1972,2.3085661382538092e-08
1973,1.7090931336838366e-08
1974,2.306484425673716e-08
1975,1.2565256390928425e-08
1976,2.6853577139718254e-08
1977,2.7620874476497193e-08
1978,2.257424647211792e-08
1979,2.57486831856113e-08
1980,2.6720208268216084e-08
1981,3.226030287351023e-08
1982,3.600351305976801e-08
1983,3.220811350956865e-08
1984,2.8995042811175153e-08
1985,2.1656008541981464e-08
1986,2.6975184752586756e-08
1987,2.8720839040374813e-08
1988,2.6984492862425213e-08
1989,3.2928731741321826e-08
1990,3.2691904294779306e-08
1991,2.6376593353916178e-08
1992,1.4325855168806356e-08
1993,2.9357799746776436e-08
1994,3.270454485004848e-08
1995,4.0126135303353294e-08
1996,2.882569738460461e-08
1997,2.3974472185273044e-08
1998,2.9085589048349902e-08
1999,3.8846710737061585e-08
2000,2.7391795498488136e-08
2001,3.066848108801423e-08
2002,3.066855214228781e-08
2003,3.2501997537792704e-08
