year,bon_ADJ or_NOUN,bon_ADJ cor_NOUN
1800,3.45858084394024e-08,1.2576657937302116e-08
1801,5.952956638743956e-08,0.0
1802,8.056224487518193e-08,4.475680270843441e-09
1803,3.315576790896557e-08,0.0
1804,5.6852570651244605e-08,0.0
1805,2.55858996212055e-08,2.842877711017877e-09
1806,6.339671898558663e-08,0.0
1807,3.9857372513552036e-08,1.4234775136401367e-08
1808,7.024829073998262e-08,2.7192887941396293e-08
1809,2.4849335034105025e-08,4.518061036407062e-09
1810,1.4040760110134443e-08,2.3401267590372754e-09
1811,6.016984377410495e-08,2.5070767684098882e-09
1812,1.600324850414836e-08,0.0
1813,3.163315875909234e-08,0.0
1814,6.608022173892891e-08,0.0
1815,5.664169577812572e-08,0.0
1816,3.244645441213834e-08,6.257530316133852e-08
1817,4.670620157298799e-08,2.3353100786493997e-08
1818,3.5763530803478716e-08,1.3351719019283337e-07
1819,6.107119787657211e-08,4.864993385922389e-08
1820,7.001224133773576e-08,6.40789963313182e-08
1821,5.127973856655643e-08,3.94459531705138e-09
1822,4.511527151862538e-08,1.0025615893027862e-09
1823,5.138997138942614e-08,0.0
1824,5.642145595174952e-08,1.3473780313688621e-08
1825,9.774041842547376e-08,0.0
1826,9.953022128694755e-08,1.7615968683770689e-09
1827,5.069500080834288e-08,0.0
1828,8.438517085096464e-08,2.7516904310687096e-09
1829,3.772197487705853e-08,0.0
1830,6.366470017837855e-08,0.0
1831,4.989185953263586e-08,1.5591206103948707e-09
1832,8.929779937716376e-08,2.705993829010822e-08
1833,4.865124125785769e-08,9.266902800675325e-09
1834,5.507373401769655e-08,0.0
1835,6.806779140333674e-08,2.2689263801112247e-09
1836,6.183090411893133e-08,4.704525213838906e-09
1837,8.697363540477454e-08,4.174734336004349e-09
1838,1.218247263068406e-07,4.292270006089893e-08
1839,1.0836786401569043e-07,9.788065469251706e-09
1840,9.427139247009109e-08,1.0828470564661075e-08
1841,6.35634278545183e-08,2.3113974734201292e-08
1842,3.3541326160957396e-08,8.049918065466954e-09
1843,1.2109167357721162e-07,2.3627644285539873e-09
1844,8.781698307425145e-08,1.920996517412732e-08
1845,6.02664584903323e-08,7.254296274794569e-09
1846,6.20577138565892e-08,8.196302303531411e-09
1847,6.094342808182773e-08,5.9325460100012606e-09
1848,2.3089786793661915e-07,2.413566457803995e-09
1849,7.373885324568619e-08,1.0893239199560867e-08
1850,1.0522943671986695e-07,5.431196825611551e-09
1851,5.997978069771648e-08,2.579775504329973e-09
1852,6.705861865796692e-08,7.812654523320361e-09
1853,7.882950114890264e-08,1.7915795513800958e-09
1854,6.234797211845944e-08,5.195664454227256e-10
1855,1.3214273053563375e-07,1.5920811335945473e-09
1856,5.7984518520015627e-08,1.5531567143511893e-09
1857,9.030791758846135e-08,9.763018171682347e-10
1858,8.270312434888183e-08,4.893676130990343e-09
1859,6.772590666059841e-08,2.036869339860914e-09
1860,7.323494441435763e-08,0.0
1861,6.838147470489275e-08,2.357981809808507e-09
1862,6.957699127951855e-08,1.9427341513278407e-08
1863,6.942522734476597e-08,5.9935452156878455e-09
1864,7.767459209162553e-08,1.9178911792039344e-09
1865,1.2755548756127055e-07,7.0602665935837194e-09
1866,4.962925004292629e-08,1.9462451650298362e-09
1867,1.2471726051899168e-07,0.0
1868,1.6202786312646822e-07,5.9278488784286765e-09
1869,1.0304225384061283e-07,8.30198221279943e-09
1870,9.690542412954528e-08,2.8670243956696595e-09
1871,1.1577082958957874e-07,3.18635318130589e-09
1872,6.228759541482276e-08,8.4662747923403e-09
1873,1.3229070550124788e-07,1.1373408881354408e-08
1874,7.826737868921185e-08,4.182226565063729e-09
1875,8.124568529055409e-08,1.3159512590732447e-08
1876,6.166934962692494e-08,6.04601479992084e-10
1877,1.199854282596391e-07,8.040260901509555e-09
1878,8.394333572692148e-08,6.6429977074733415e-09
