year,en_ADP heures_NOUN,en_ADP choeur_NOUN
1800,1.9808235851570544e-07,1.320549074534938e-07
1801,1.476333271188679e-07,7.857902772911984e-08
1802,2.103569727296417e-07,1.0741632650024258e-07
1803,2.0868629979631237e-07,1.326230716358623e-07
1804,2.175228814849106e-07,2.2246657849223084e-08
1805,1.9331568523739406e-07,9.665784261869703e-08
1806,1.8442682403474464e-07,7.492339904047185e-08
1807,1.1387820553210304e-07,6.832692589497924e-08
1808,1.155697759713803e-07,7.478044494746428e-08
1809,5.873479480555943e-08,7.228897569433457e-08
1810,2.0827128199840672e-07,1.2870697219113936e-07
1811,2.2312983105621242e-07,7.019815040365529e-08
1812,1.5469807124190993e-07,2.400487364440096e-08
1813,1.4378707646756084e-07,5.7514832008109806e-08
1814,4.1536137018738373e-07,8.181360300341112e-08
1815,8.361393355471591e-08,5.3944472000466703e-08
1816,1.9236112791531923e-07,6.25753067140522e-08
1817,5.231094523105995e-07,6.227493631882908e-08
1818,1.0371424252753059e-07,2.384235386898581e-08
1819,4.326738860527257e-07,3.001804549374043e-08
1820,7.238553223487543e-08,5.3399164201550775e-08
1821,1.3214393845828454e-07,4.2404400435458456e-08
1822,1.0927921323400369e-07,4.511527151862538e-08
1823,7.3131884548161e-08,4.249555196622623e-08
1824,8.168479315173727e-08,4.378978690766644e-08
1825,9.68598712347557e-08,3.4341228083434316e-08
1826,1.5502052974625258e-07,4.4039922819649746e-08
1827,1.7051955286673248e-07,2.6730092805848926e-08
1828,1.1832268853595451e-07,5.6868266540277546e-08
1829,8.315980437600956e-08,4.9724419248775575e-08
1830,7.305784777145163e-08,6.470838087579978e-08
1831,1.3096612860863388e-07,6.080570180699851e-08
1832,1.2582871633526338e-07,9.20037885876468e-08
1833,5.79181431703546e-08,7.645194699534841e-08
1834,2.202949307417157e-07,8.961149866593132e-08
1835,1.0815215745196838e-07,5.899208588289184e-08
1836,1.1492482449027008e-07,4.637317507771854e-08
1837,9.253994626146067e-08,5.775049316536496e-08
1838,8.710783561127755e-08,3.724175390296125e-08
1839,9.997809213846409e-08,3.6355670585130895e-08
1840,9.363442643461894e-08,3.184844299397582e-08
1841,7.126809142832258e-08,5.264849667341309e-08
1842,1.0934472127743788e-07,6.574099664646837e-08
1843,1.1991029680302745e-07,2.5990409380227675e-08
1844,1.1745520822614708e-07,3.183365593351084e-08
1845,9.542189938205325e-08,3.4597412601478084e-08
1846,8.898842196458645e-08,5.210506293096273e-08
1847,8.521293093366467e-08,5.770749389455432e-08
1848,9.654265958891628e-08,3.861706282526356e-08
1849,8.044238342108656e-08,3.5193542080591556e-08
1850,1.289909228319175e-07,2.987158254086353e-08
1851,1.096404611544699e-07,2.257303677311029e-08
