year,mon_DET as_NOUN,mon_DET casse_NOUN
1800,1.8864986905953174e-08,0.0
1801,1.1905913144261149e-08,0.0
1802,0.0,0.0
1803,9.751696339321825e-09,0.0
1804,0.0,1.2359254730753833e-08
1805,2.842877711017877e-09,0.0
1806,2.305335300434308e-08,0.0
1807,8.540865792383556e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,4.518061036407062e-09,0.0
1810,1.1700633795186377e-08,2.8081521108447305e-08
1811,5.0141535368197765e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,9.270415546325239e-09,0.0
1817,9.341240669868967e-09,0.0
1818,1.4305412632253933e-08,0.0
1819,1.8631890696951814e-08,0.0
1820,1.1866481131050932e-08,0.0
1821,1.1833786284221048e-08,4.930744257336528e-09
1822,6.015369535816717e-09,0.0
1823,8.894418535021487e-09,2.9648061783404955e-09
1824,1.0105335235266466e-08,7.57900142644985e-09
1825,1.0566531427613768e-08,0.0
1826,1.1450379644450948e-08,8.807984341885344e-10
1827,3.6869092223668076e-09,0.0
1828,5.5033806956039655e-09,3.668920500743411e-09
1829,2.5719527840806222e-08,0.0
1830,4.174734336004349e-09,0.0
1831,4.677361609140007e-09,0.0
1832,1.6235963684607668e-08,1.3529969367098715e-09
1833,0.0,0.0
1834,6.534171870242744e-09,7.467624740797874e-09
1835,8.31939672707449e-09,0.0
1836,6.72075017860152e-09,0.0
1837,6.957891041103892e-09,0.0
1838,5.680945491803868e-09,0.0
1839,1.11863602825224e-08,2.0974426639952526e-09
1840,7.643626509512558e-09,0.0
1841,5.1364388298225094e-09,0.0
1842,1.1404051036834062e-08,4.695785538189057e-09
1843,4.134837805480629e-09,5.906911071384968e-10
1844,7.683985947526395e-09,0.0
1845,3.9061596734946136e-09,1.6740683839167048e-09
1846,3.5127007969038004e-09,8.196302303531411e-09
1847,2.1572894581822766e-09,0.0
1848,3.218088684420195e-09,1.6090443422100975e-09
1849,1.6758829879393033e-09,0.0
1850,2.0366988096043315e-09,1.3577992064028876e-09
1851,1.1608989325395669e-08,5.8044946626978344e-09
1852,6.510545436100301e-09,0.0
1853,8.360704129017904e-09,0.0
1854,3.117398617025202e-09,0.0
1855,4.776243400783642e-09,5.306937111981824e-10
1856,6.73034605824796e-09,0.0
1857,6.345962033638131e-09,0.0
1858,7.34051397444091e-09,0.0
1859,1.476730293603623e-08,2.036869339860914e-09
1860,8.238931037407582e-09,9.15436818016424e-09
1861,8.488734604128467e-09,2.8295783494058924e-09
1862,8.132375661773494e-09,0.0
1863,4.994620828036034e-10,1.3485475847119233e-08
1864,4.315255153208852e-09,3.835782358407869e-09
1865,6.589582213223366e-09,1.882737743486018e-09
1866,4.865612912574591e-09,9.731225825149181e-10
1867,3.396968040192405e-09,5.82337378318698e-09
1868,2.9639244392143382e-09,2.4699371437009177e-09
1869,2.930111597798657e-09,2.9301114867763545e-09
1870,9.747882501187632e-09,5.160643912205387e-09
1871,8.496941816815706e-09,1.274541272522356e-08
1872,9.07100861091692e-09,1.1489944551357212e-08
1873,7.1832053083475955e-09,2.3944017879529156e-09
1874,1.0156835539287812e-08,2.3898436007918633e-09
1875,1.0298749131276708e-08,0.0
1876,6.650616057868319e-09,1.209202959984168e-09
1877,1.8554447978047506e-09,1.2369631985365004e-09
1878,1.2078177569208037e-08,1.2078177347163432e-09
1879,1.466238042091561e-08,3.665595160740054e-09
1880,5.776061628992579e-09,0.0
1881,6.275256869692214e-09,4.183504653809678e-09
1882,5.324308105514319e-09,6.655385131892899e-10
1883,3.1596694705093853e-09,3.159669414998234e-09
1884,7.2618666635548834e-09,6.601696966868076e-10
1885,2.578254332252783e-09,3.2228177904158883e-09
1886,9.680196200179125e-09,6.453463874400711e-10
1887,5.223139698529167e-09,1.3057849246322917e-09
1888,6.340614699951175e-09,0.0
1889,3.759081934617825e-09,2.5060546970934183e-09
1890,8.520702421410675e-09,1.9663159989136147e-09
1891,3.187110020341777e-09,2.5496880162734215e-09
1892,6.268512375839919e-10,1.2537024751679837e-09
1893,4.310891643655168e-09,0.0
1894,5.671385361338821e-09,2.520615716150587e-09
1895,2.4074457982692365e-09,0.0
1896,7.076434882513638e-09,5.89702897624278e-10
1897,2.913356778044829e-09,0.0
1898,7.921697076085366e-09,0.0
1899,1.6582735185011188e-09,1.6582735185011188e-09
1900,5.191053142894475e-10,1.5573159428683425e-09
1901,1.676621730339889e-09,3.353243460679778e-09
1902,4.910283846193408e-10,4.910283846193408e-10
1903,3.7801541896698154e-09,0.0
1904,4.837162670412454e-09,0.0
1905,5.160759042333041e-09,5.160759042333041e-10
1906,3.0865107691901983e-09,5.144184522798412e-10
1907,4.114274698707732e-09,1.5428529565042481e-09
1908,1.964555629285769e-09,0.0
1909,4.4007870125817306e-09,0.0
1910,5.878565856320961e-09,0.0
1911,4.25629931299909e-09,1.5961122423746588e-09
1912,3.6465947483854677e-09,0.0
1913,2.6514948014977335e-09,0.0
1914,0.0,6.696743715117748e-10
1915,0.0,0.0
1916,4.394984820521586e-09,0.0
1917,8.773139548168274e-09,1.0966424435210342e-09
1918,8.040463406189247e-09,3.44591288836682e-09
1919,2.762354567309444e-09,2.762354567309444e-09
1920,4.543339038320937e-09,0.0
1921,1.5145494858259667e-09,2.2718242842501013e-09
1922,2.21338064543275e-09,0.0
1923,4.246379248229459e-09,2.1231896241147297e-09
1924,1.289162443462999e-09,9.02413699321869e-09
1925,8.798542339150117e-09,1.0998177923937646e-09
1926,0.0,2.229227691330493e-09
1927,1.1149224876660924e-09,0.0
1928,9.14083297942625e-09,3.4278122562625413e-09
1929,6.684243603061191e-09,3.342121912552898e-09
