year,en_ADP art_NOUN
1800,3.5529058095562505e-07
1801,2.3335590038087162e-07
1802,2.528759353026544e-07
1803,2.96451567294298e-07
1804,3.5347467886026607e-07
1805,4.3780317948716174e-07
1806,1.2679343619481642e-07
1807,4.0711458382247656e-07
1808,1.994145080175258e-07
1809,3.478907117937524e-07
1810,3.1591712490453006e-07
1811,3.133846036007526e-07
1812,2.347143261971496e-07
1813,3.163315744902917e-07
1814,2.1082736223476672e-07
1815,3.425474046636623e-07
1816,1.9931394135142e-07
1817,1.7125607354451233e-07
1818,2.0027577329884139e-07
1819,2.856889746993829e-07
1820,2.9191542783024715e-07
1821,3.4416593208685953e-07
1822,3.448811725093037e-07
1823,2.5793813007712885e-07
1824,2.080014889216386e-07
1825,2.3246369362794894e-07
1826,1.98179641364149e-07
1827,2.1199727545662128e-07
1828,1.6601865127086057e-07
1829,1.3974277424111392e-07
1830,1.6281463843803579e-07
1831,2.2451337100548585e-07
1832,2.0565553371376666e-07
1833,2.3283092964732077e-07
1834,2.1936147609480372e-07
1835,2.102538445569735e-07
1836,2.5337227693711384e-07
1837,2.5048406193661776e-07
1838,1.956770185884693e-07
1839,1.8527408773838516e-07
1840,2.465069468549075e-07
1841,2.3499206980304166e-07
1842,1.6837745286935046e-07
1843,2.72308605886451e-07
1844,1.816713766089606e-07
1845,2.310214348710815e-07
1846,2.3418005912212436e-07
1847,2.448523579445805e-07
1848,2.0273959022709676e-07
1849,1.458018203948086e-07
1850,2.0570657888185906e-07
1851,2.2121575149469663e-07
1852,2.500049509635005e-07
1853,1.9587936606058065e-07
1854,2.51989728639046e-07
1855,3.5874894521725764e-07
1856,2.4746964832900176e-07
1857,1.9965372066721443e-07
1858,2.1630048152587733e-07
1859,2.3373075563881685e-07
1860,2.0093836816670319e-07
1861,1.876953561463779e-07
1862,2.218331287551223e-07
1863,2.497310411797571e-07
1864,3.1213678575170434e-07
1865,2.4051974989447444e-07
1866,2.4182096414193666e-07
1867,3.2174139263929646e-07
1868,3.606107963349814e-07
1869,2.6224497418070314e-07
1870,3.314280263566616e-07
1871,2.570324895145859e-07
1872,2.9087701491903317e-07
1873,2.9690581726526943e-07
1874,2.8976854693496534e-07
1875,3.684663383296538e-07
1876,4.867041951683859e-07
1877,2.9996358463790784e-07
1878,3.9314468480711184e-07
1879,4.1726692145971356e-07
1880,3.651754560962672e-07
1881,4.288092299020718e-07
1882,5.623800376497456e-07
1883,5.579976374292528e-07
1884,7.189247916983277e-07
1885,5.343431936921661e-07
1886,5.97590766204803e-07
1887,5.490825607523675e-07
1888,6.73373254045373e-07
1889,6.641044763000536e-07
1890,6.757572421633995e-07
1891,7.272985200756921e-07
1892,8.07384399337252e-07
1893,8.917387077644889e-07
1894,8.86626551732661e-07
1895,8.925605605725195e-07
1896,1.0325697559210312e-06
1897,1.0447297391635857e-06
1898,1.0603756770422024e-06
1899,9.557183062725016e-07
1900,1.077143508609879e-06
1901,9.802648186507668e-07
1902,1.0051350756157262e-06
1903,1.1864283351314953e-06
1904,1.1963915405033276e-06
1905,1.253032266390619e-06
1906,1.1188601689582356e-06
1907,1.1509683268684512e-06
1908,1.2754877047882474e-06
1909,1.3389394126761545e-06
1910,1.2344987538881469e-06
1911,1.2891266258918677e-06
1912,1.4065436957366728e-06
1913,1.456200919847106e-06
1914,1.4284154019605921e-06
1915,8.281875860660648e-07
1916,1.1295111193021512e-06
1917,1.1646342876758808e-06
1918,1.202623650442547e-06
1919,1.480621982352659e-06
1920,1.7787172410521634e-06
1921,1.535753170855969e-06
1922,1.690285010624848e-06
1923,1.5531132007140513e-06
1924,1.5805131141632955e-06
1925,1.452859351047664e-06
1926,1.4512271810929178e-06
1927,1.5765004022227913e-06
1928,1.5619398716637534e-06
1929,1.3279364559082296e-06
1930,1.3287059026367842e-06
1931,1.2374812570215e-06
1932,1.0203328280056212e-06
1933,1.2457138822696834e-06
1934,1.0028582657639618e-06
1935,1.18845058949546e-06
1936,1.0851619407503676e-06
1937,1.1344597474760576e-06
1938,1.1318632360257652e-06
1939,9.925838426738665e-07
1940,9.357038877055857e-07
1941,1.4167212469828883e-06
1942,1.225821534944771e-06
1943,1.1903264542922898e-06
1944,1.1374679331765947e-06
1945,1.4225631375097691e-06
1946,1.3238969991391514e-06
1947,1.391165618258583e-06
1948,1.3133240273077718e-06
1949,1.2585404540743639e-06
1950,1.1039505167786956e-06
1951,1.1610266525963198e-06
1952,1.1198581582050338e-06
1953,1.0515255262077972e-06
1954,1.300724580488577e-06
1955,1.2773812763100523e-06
1956,1.3317183018557444e-06
1957,1.03369938386777e-06
1958,1.0174859284006743e-06
1959,1.1137824067475321e-06
1960,1.0035208433123444e-06
1961,1.0102623697605395e-06
1962,1.0527647802405227e-06
1963,1.2725192561902077e-06
1964,1.0665196583659053e-06
1965,1.329159285745618e-06
1966,1.118893070639615e-06
1967,1.0669246464090065e-06
1968,1.8221673983020992e-06
1969,1.1640525485745457e-06
1970,1.3313308500073617e-06
1971,1.4998982180713938e-06
1972,1.1804468265097512e-06
1973,1.2057376821417165e-06
1974,9.659106261494799e-07
1975,1.1057425517435604e-06
1976,1.086712789089006e-06
1977,1.1935744268498638e-06
1978,1.2011875334394517e-06
1979,1.1095341534428371e-06
1980,1.4355005859556513e-06
1981,1.0557342129402514e-06
1982,1.0844506803664444e-06
1983,1.2851667960944724e-06
1984,1.1731394771175019e-06
1985,1.1537839981201614e-06
1986,1.330775774022186e-06
1987,1.3517126618012298e-06
1988,1.2676715250847792e-06
1989,1.3648960042189628e-06
1990,1.3212978799970188e-06
1991,1.3698244174520369e-06
1992,1.3493852826229613e-06
1993,1.5487623485910262e-06
1994,1.4384725339766646e-06
1995,1.3306693880110743e-06
1996,1.4834557653387037e-06
1997,1.4499760467856504e-06
1998,1.420425721931906e-06
1999,1.4492107993646641e-06
2000,1.4049340499866503e-06
2001,1.5636544645758477e-06
2002,1.7196294628263331e-06
2003,1.5580125136693823e-06
2004,1.553569848766756e-06
2005,1.5398320449833136e-06
2006,1.6945116705358032e-06
2007,1.7495819939483681e-06
2008,1.8762536164729227e-06
2009,1.4280737055116788e-06
2010,1.3184106713026722e-06
2011,1.4022505183675094e-06
2012,1.1901267917835412e-06
2013,1.1544188609491357e-06
2014,1.065832080371365e-06
2015,1.3982158009184786e-06
2016,1.0690185696660137e-06
2017,1.122214264626109e-06
2018,1.205803044967979e-06
2019,1.2114640455251902e-06
