year,un_DET art_NOUN
1800,1.1168072575173937e-05
1801,7.662645380435151e-06
1802,7.964473468291544e-06
1803,8.7375199058215e-06
1804,9.917066250864082e-06
1805,9.119951471348031e-06
1806,1.022704354625148e-05
1807,8.512396107107634e-06
1808,9.005377933135605e-06
1809,6.908115224746325e-06
1810,9.894055466475038e-06
1811,8.571695602199725e-06
1812,7.65488776011125e-06
1813,1.0131237729638087e-05
1814,6.513621855219753e-06
1815,6.527280870471941e-06
1816,6.739592166127295e-06
1817,8.013227336789441e-06
1818,7.951425367025422e-06
1819,7.476563290254035e-06
1820,7.450963330768445e-06
1821,7.815229349006358e-06
1822,7.141246328501438e-06
1823,6.724180103390154e-06
1824,6.650152876375159e-06
1825,7.5770836218680415e-06
1826,6.366410921998522e-06
1827,6.3562316690024545e-06
1828,6.462803479934109e-06
1829,7.83331104514673e-06
1830,6.491711690870261e-06
1831,5.743800198132476e-06
1832,7.032878123425235e-06
1833,6.752097103657206e-06
1834,6.67512324170616e-06
1835,6.156353670405679e-06
1836,5.654167104296448e-06
1837,5.981698816270864e-06
1838,5.291485216218916e-06
1839,5.60506542868211e-06
1840,6.562690131772797e-06
1841,5.781062075271848e-06
1842,6.143428995741829e-06
1843,6.781133954802954e-06
1844,6.17408274194986e-06
1845,6.4596719866472085e-06
1846,6.343351984128276e-06
1847,6.225937603687726e-06
1848,5.6598133788554605e-06
1849,5.643535970989433e-06
1850,5.885380794268258e-06
1851,5.546517435561782e-06
1852,6.8842505598354364e-06
1853,6.757838090010182e-06
1854,6.481591505291817e-06
1855,7.038590624119934e-06
1856,6.83285424329938e-06
1857,7.0039892534623505e-06
1858,6.85310406112194e-06
1859,7.935642678091881e-06
1860,7.1083663968352084e-06
1861,7.852079310310955e-06
1862,7.5603982736538455e-06
1863,8.289572635433728e-06
1864,8.288645942045036e-06
1865,7.466937692157671e-06
1866,7.100875549781449e-06
1867,7.793614898332635e-06
1868,7.773385497955587e-06
1869,7.6246385170009034e-06
1870,6.912396038671886e-06
1871,5.039748625534912e-06
1872,7.0294273974980115e-06
1873,6.679183893965046e-06
1874,6.2494411317004506e-06
1875,8.08165676602357e-06
1876,8.238299557206119e-06
1877,7.516406924423791e-06
1878,7.8333017654586e-06
1879,6.890097115075378e-06
1880,7.050646072315203e-06
1881,7.180288136510171e-06
1882,8.049688602795868e-06
1883,7.63755318899939e-06
1884,7.465858949728954e-06
1885,7.142409039317954e-06
1886,7.1943216610748095e-06
1887,6.997048593859745e-06
1888,7.101488641581e-06
1889,8.031278930786812e-06
1890,7.159356407271389e-06
1891,7.288282994011297e-06
1892,7.113507944467301e-06
1893,7.298955111423311e-06
1894,8.112601548759812e-06
1895,7.5918802338037494e-06
1896,7.587707173684066e-06
1897,7.34923391121356e-06
1898,8.097671347684354e-06
1899,7.98348141728411e-06
1900,8.474912910116927e-06
1901,7.828146571853267e-06
1902,6.832168899961744e-06
1903,7.733115403141255e-06
1904,8.474171977468359e-06
1905,8.49254552548473e-06
1906,7.982230862069173e-06
1907,8.111292416401739e-06
1908,8.415174256981572e-06
1909,8.778469819503698e-06
1910,8.612098561400217e-06
1911,8.73924638256085e-06
1912,8.946659853847905e-06
1913,9.786667455102815e-06
1914,8.86380991715896e-06
1915,5.1906037725757415e-06
1916,6.625439695540081e-06
1917,7.173138129701329e-06
1918,7.832560150689005e-06
1919,8.605655082760677e-06
1920,1.0781343306121016e-05
1921,1.0497342714188562e-05
1922,1.1065427905521119e-05
1923,1.0293222842960859e-05
1924,1.0095431349554929e-05
1925,1.0925590103738614e-05
1926,1.0488516423379224e-05
1927,1.0802484148086933e-05
1928,1.0258299795395942e-05
1929,9.840320664977753e-06
1930,1.0834467317977214e-05
1931,9.405997921874132e-06
1932,9.19505090024586e-06
1933,9.15358801023558e-06
1934,8.17143792630759e-06
1935,9.916920632235815e-06
1936,8.903177786123706e-06
1937,8.593438366233386e-06
1938,9.5138746161183e-06
1939,9.352311550969716e-06
1940,7.571847717713354e-06
1941,8.990277237330702e-06
1942,1.036486735017661e-05
1943,1.128487546964152e-05
1944,1.0616366864724114e-05
1945,1.0435034148770228e-05
1946,1.1479342958864436e-05
1947,1.1393968762263285e-05
1948,1.0808830552377913e-05
1949,9.97309909678279e-06
1950,9.638827997093813e-06
1951,1.0027048617189394e-05
1952,8.826001177908438e-06
1953,9.958248675445702e-06
1954,1.0155619889928857e-05
1955,1.0169306236207376e-05
1956,1.022292221364296e-05
1957,1.0124953632839606e-05
1958,9.349289385340853e-06
1959,9.679133810891472e-06
1960,1.0014445692263507e-05
1961,1.0281191698879866e-05
1962,9.445709537203584e-06
1963,1.0498930947733243e-05
1964,9.463613011462257e-06
1965,1.0740526633412628e-05
1966,9.136703866374773e-06
1967,9.731989237593552e-06
1968,1.267836856300164e-05
1969,8.701553596779377e-06
1970,9.001084904980416e-06
1971,1.0431460566451278e-05
1972,9.407663185356796e-06
1973,8.632574804323667e-06
1974,7.68003064166578e-06
1975,8.199400625130693e-06
1976,7.75668409858099e-06
1977,8.221029759170051e-06
1978,8.805144304346868e-06
1979,8.85813219042575e-06
1980,9.459522132715392e-06
1981,8.54455267784715e-06
1982,8.62966986403535e-06
1983,9.102896541435257e-06
1984,8.823191151918763e-06
1985,9.02333671604083e-06
1986,9.28006281242233e-06
1987,9.362993878880843e-06
1988,9.172328361728432e-06
1989,9.715622425687798e-06
1990,1.0556761537827697e-05
1991,9.534845162306738e-06
1992,1.0523993040578716e-05
1993,1.044749916445653e-05
1994,9.677908018090875e-06
1995,1.0629088421865163e-05
1996,1.1026897205113073e-05
1997,1.0505134156346685e-05
1998,1.0831282082790494e-05
1999,1.0764194982471054e-05
2000,1.0716818650280402e-05
2001,1.0991145984462491e-05
2002,1.1030600958861214e-05
2003,1.070857537399661e-05
2004,1.041292688341855e-05
2005,1.095221837488225e-05
2006,1.1067652820884177e-05
2007,1.1154583475558866e-05
2008,1.037240070900225e-05
2009,9.929760764748607e-06
2010,8.722955911366626e-06
2011,7.825376272307949e-06
2012,6.844250115989325e-06
2013,6.392395565768538e-06
2014,7.225657689957643e-06
2015,7.595095553369902e-06
2016,7.149023232955187e-06
2017,6.130293225936612e-06
2018,6.241212222590775e-06
2019,6.612160056818084e-06
