year,en_ADP anneaux_NOUN,en_ADP canots_NOUN
1800,3.710113958277361e-07,3.804439074883703e-07
1801,3.6193975461173977e-07,1.0000967165524344e-07
1802,3.177732992298843e-07,1.7902721083373763e-08
1803,7.937880468489311e-07,9.946730017418304e-08
1804,4.004398590495839e-07,9.88740396223875e-08
1805,1.8194417350514414e-07,1.7057265822018053e-08
1806,2.305335300434308e-07,2.0171682990621775e-08
1807,1.4519470425966574e-07,5.693910232196231e-09
1808,1.450287356874469e-07,2.4926814390369145e-08
1809,2.0557178004310117e-07,0.0
1810,1.2870697219113936e-07,2.574139479349924e-08
1811,1.504246114336638e-07,1.8050953087822563e-07
1812,1.226915742336132e-07,5.3344164641089264e-09
1813,5.7514832008109806e-08,2.5881675469463516e-08
1814,1.0698702368472368e-07,1.2586708564299443e-08
1815,1.6992508733437717e-07,3.776112933451259e-08
1816,4.357095235718589e-07,1.1819779643928996e-07
1817,5.464625587592309e-07,1.71256075987003e-08
1818,3.2067967481452797e-07,5.96058882251782e-08
1819,2.2875821059642476e-07,4.140420006848444e-09
1820,1.7206397728841694e-07,4.865257352548724e-08
1821,1.0255947557880063e-07,6.01550809165019e-08
1822,1.6341753905635414e-07,6.817418807258946e-08
1823,1.4725203811849497e-07,2.569498569471307e-08
1824,1.364220310051678e-07,1.2631669044083083e-08
1825,1.7522832251870568e-07,5.459374818883589e-08
1826,1.6647089751131716e-07,3.8755132436563144e-08
1827,2.101538285614879e-07,5.899054755786892e-08
1828,2.3389368664084031e-07,3.66892045633449e-08
1829,2.1861599464045867e-07,2.5719527840806222e-08
1830,2.9327509309950983e-07,6.679574937606958e-08
1831,2.354272083948672e-07,3.741889287312006e-08
1832,2.2459748549863434e-07,8.523880978827947e-08
1833,2.6989854973180627e-07,9.266902623039641e-08
1834,2.2869600968533632e-07,1.2881652367013885e-07
1835,2.2235478525090002e-07,2.8739734148075513e-08
1836,2.4799567199806916e-07,2.9571300075303952e-08
1837,1.8507989807403646e-07,4.1051556820548285e-08
1838,1.7863418122487928e-07,2.840472923537618e-08
1839,2.1603658240110235e-07,1.1885507689157748e-08
1840,1.490507202106528e-07,3.567025785855549e-08
1841,1.6821837789393612e-07,1.8619591202195807e-08
1842,1.885022413716797e-07,4.427455024824667e-08
1843,1.624400596256237e-07,2.008349753168659e-08
1844,1.4654457913820806e-07,2.7991662321369404e-08
1845,1.4062175068829674e-07,5.022205318283568e-09
1846,1.6158423932211008e-07,2.985795788390533e-08
1847,2.1734690847097227e-07,2.2651539310913904e-08
1848,2.0515315668490075e-07,9.65426583121598e-09
1849,2.1535096550451271e-07,1.4245005175439474e-08
1850,1.4732121655924857e-07,2.1724787302446202e-08
1851,1.8122922540442232e-07,4.6435957301582675e-08
1852,2.9753192620773916e-07,3.906327350478023e-08
1853,1.6363092925075762e-07,3.941475057445132e-08
1854,2.1458093613091478e-07,2.4419623656513068e-08
1855,1.645150575768639e-07,1.6451505047143655e-08
1856,1.418549828713367e-07,3.4169449492083004e-08
1857,1.332652033170234e-07,1.8549734193129552e-08
1858,2.1140679962172726e-07,6.8511463169329545e-09
1859,1.5632971894774528e-07,2.4442432078330967e-08
1860,2.1833167807017162e-07,2.334363813361051e-08
1861,1.6175755490621668e-07,4.1500481273715195e-08
1862,1.346359965737065e-07,3.298130124562704e-08
1863,1.0588595955596247e-07,2.597202808374277e-08
1864,1.5966443811521458e-07,2.5412058235474433e-08
1865,1.6144475978308037e-07,1.6003271596787272e-08
1866,1.6591739893101476e-07,4.2330832172865485e-08
1867,1.4946658666303847e-07,1.8925964795357686e-08
