year,on_PRON ouvrait_VERB,on_PRON couvrait_VERB
1800,1.4463156361443907e-07,9.746910123453745e-08
1801,9.524730515408919e-08,7.381666233818862e-08
1802,6.937304419807333e-08,9.175144555229053e-08
1803,1.0141763828741546e-07,7.021220937986072e-08
1804,2.0269178246934416e-07,1.9774808057704263e-07
1805,1.307723724863763e-07,7.391481915419718e-08
1806,1.3543844357144508e-07,1.2679343797117326e-07
1807,1.1387820464392462e-07,7.971474236256881e-08
1808,1.042394055517093e-07,9.9707258449655e-08
1809,1.219876493152583e-07,1.9653565797028705e-07
1810,6.55235488089545e-08,1.4508785284306214e-07
1811,8.273353557797236e-08,5.515568801683912e-08
1812,1.5203087144755045e-07,1.86704575355634e-07
1813,1.7542024011163448e-07,1.17905404550811e-07
1814,1.8880062313542112e-07,1.1642705599612668e-07
1815,3.290612760054046e-07,2.0768621311617608e-07
1816,1.8540830915014794e-07,1.1124498477954603e-07
1817,1.883816800329896e-07,1.1053801518556838e-07
1818,1.7524130413448802e-07,1.0371423897481691e-07
1819,1.7182742739763057e-07,9.93700819407195e-08
1820,2.658091737828272e-07,1.5307761103144912e-07
1821,2.0216051055399475e-07,1.0847637188504677e-07
1822,2.0753024898567674e-07,1.2532019866284827e-07
1823,2.9351581076753064e-07,1.6998220919717255e-07
1824,1.7852758826819581e-07,7.326368312021714e-08
1825,1.9283920593693438e-07,1.8403376422782003e-07
1826,1.7968288013037181e-07,8.719904265319656e-08
1827,2.0093654917729964e-07,1.2627664380815418e-07
1828,2.1554907903009735e-07,1.3666729126171617e-07
1829,2.1518671466935757e-07,1.766074300135756e-07
1830,2.1708618191951246e-07,1.2941676175159955e-07
1831,1.980083226271745e-07,9.042899407063487e-08
1832,2.719523806149482e-07,1.4612367138511217e-07
1833,2.455729148920227e-07,1.274199128431519e-07
1834,2.3616363620249103e-07,1.8855751893198658e-07
1835,3.925242779700966e-07,1.3537927401330307e-07
1836,2.9571299720032584e-07,1.0685992712922143e-07
1837,3.1380089282606605e-07,1.649020209271157e-07
1838,2.3670607163239765e-07,1.59066477323222e-07
1839,2.733666804033419e-07,1.1046530978831015e-07
1840,3.5160681122192727e-07,1.146543944230416e-07
1841,3.04976069287477e-07,1.8105946253399452e-07
1842,2.951636659531687e-07,1.1739463978699405e-07
1843,2.62266842909753e-07,1.3526826059262476e-07
1844,3.2656939552566655e-07,1.9539278284241846e-07
1845,3.5880865567605724e-07,1.355995422613887e-07
1846,2.5525625346745073e-07,1.5221703719703328e-07
1847,3.1064967487282047e-07,1.7851570621729707e-07
1848,3.210043466594925e-07,1.5929539376458024e-07
1849,4.2986398796074354e-07,1.7931948548266519e-07
1850,3.3809200772338954e-07,1.7990838863113368e-07
1851,2.92804521961898e-07,1.6768540689326983e-07
1852,2.75396075721801e-07,1.4583621776864675e-07
1853,2.974022059731851e-07,1.3675723664619e-07
1854,2.3120706416079884e-07,1.1430461910322265e-07
1855,3.216003960915259e-07,1.2736649068756378e-07
1856,2.158887966174916e-07,1.0820325435645373e-07
1857,2.5481477727851143e-07,1.2838369034540165e-07
1858,3.381530149226819e-07,1.585550979399386e-07
1859,2.7548657044462743e-07,1.9146571617056907e-07
1860,2.92024328274465e-07,1.327383314375652e-07
1861,3.650155804280075e-07,1.0045002518666024e-07
1862,3.4381875124722683e-07,1.1340145622540376e-07
1863,2.53726733845383e-07,1.4434453543543668e-07
1864,3.0110891380275007e-07,1.2034767404855984e-07
1865,3.572494815529126e-07,1.3885190597306973e-07
1866,2.75880250200089e-07,8.417510111158322e-08
1867,3.571669182633741e-07,8.686532204649211e-08
1868,3.6653865365110505e-07,1.101591902141763e-07
1869,3.384278883800107e-07,8.888004643381464e-08
1870,3.0161097441805396e-07,1.3302992840635852e-07
1871,3.260701326723847e-07,1.3276471477752239e-07
1872,3.174853251408649e-07,8.284854757789617e-08
1873,2.412359751957638e-07,1.1074108563491336e-07
1874,2.6288280885466975e-07,8.244960447711946e-08
1875,3.650334363669572e-07,1.0642040670916231e-07
1876,2.7146606029759823e-07,9.008562074086512e-08
1877,2.4182631008784483e-07,5.99927167943548e-08
1878,3.569101281186704e-07,9.904105624514159e-08
1879,3.2379422520989465e-07,1.087459899906662e-07
1880,2.246246246784267e-07,1.0525267857275367e-07
1881,2.80992050960549e-07,1.1434912661201224e-07
1882,3.6671173475610885e-07,1.0914831971575722e-07
1883,2.692038414409126e-07,1.074287618862968e-07
1884,2.944356722878183e-07,7.2618664859192e-08
1885,3.2872742039558034e-07,1.0570842245982703e-07
1886,3.226731912775449e-07,9.744730267158275e-08
1887,2.781321875033882e-07,6.398346030778157e-08
1888,2.7581672767951204e-07,7.291706927148311e-08
1889,3.026061126121249e-07,6.265136676120164e-08
