year,on_PRON offre_VERB,on_PRON coffre_VERB
1800,9.023752340908686e-07,0.0
1801,9.334235926417023e-07,0.0
1802,8.503792798819632e-07,2.2378401354217203e-09
1803,1.016126716990584e-06,0.0
1804,7.440271474479232e-07,0.0
1805,7.164051680774719e-07,8.52863308864471e-08
1806,7.175356131483568e-07,0.0
1807,7.202796581395887e-07,1.7081731584767113e-08
1808,1.157963822606689e-06,0.0
1809,7.138536375350668e-07,0.0
1810,6.154533309654653e-07,0.0
1811,6.167408912460814e-07,2.0056614147279106e-08
1812,6.534660172974327e-07,0.0
1813,7.476928232108548e-07,2.8757416448144113e-09
1814,8.842162628752703e-07,0.0
1815,7.741031566865786e-07,0.0
1816,7.068691729728016e-07,2.3176038865813098e-09
1817,8.469391445942165e-07,0.0
1818,4.6373381223929755e-07,1.1921177378582115e-09
1819,4.502706758557906e-07,0.0
1820,5.684044595000159e-07,0.0
1821,7.198886606829547e-07,2.9584463767662328e-09
1822,8.271132827530892e-07,0.0
1823,6.739992244320092e-07,0.0
1824,6.096885698525512e-07,0.0
1825,8.153840411750934e-07,0.0
1826,6.579564271191884e-07,0.0
1827,6.055748400513039e-07,9.217273055917019e-10
1828,6.356404469443078e-07,4.586150570418113e-09
1829,5.966930700651574e-07,8.57317605795771e-10
1830,5.928122845944017e-07,3.1310507520032616e-09
1831,5.285418893663518e-07,4.677361609140007e-09
1832,6.764984448182076e-07,1.3529969367098715e-09
1833,6.81117384715435e-07,3.4750886612755494e-09
1834,5.666060403086703e-07,8.401078055442213e-09
1835,5.294161624647131e-07,7.563087933704082e-10
1836,5.739520645420271e-07,2.688300027031687e-09
1837,4.91922875767159e-07,2.7831563720326358e-09
1838,4.267021580517394e-07,0.0
1839,4.2717912407397307e-07,5.5931801412612e-09
1840,5.433344583138933e-07,3.1848443882154243e-09
1841,6.317819796208823e-07,3.2102742686390684e-09
1842,5.480652589540114e-07,0.0
1843,6.538950643175667e-07,0.0
1844,5.982531874337838e-07,0.0
1845,5.513265222134578e-07,2.2320911785556063e-09
1846,6.065263136179055e-07,0.0
1847,6.412543100964285e-07,1.0786447290911383e-09
1848,6.766031503957493e-07,1.6090443422100975e-09
1849,5.237134246272035e-07,0.0
1850,6.374867069780521e-07,6.788996032014438e-10
1851,1.0493236999309374e-06,3.2247193804124663e-09
1852,5.892043475341779e-07,1.9531636308300904e-09
1853,5.315019464546822e-07,1.1943863675867306e-09
1854,5.985405664432619e-07,0.0
1855,5.418382897914853e-07,1.5920811335945473e-09
1856,5.503352227265168e-07,5.177189232874468e-10
1857,5.076769582501583e-07,1.4644527812635033e-09
1858,4.771334047859455e-07,0.0
1859,5.158371720881405e-07,0.0
1860,4.5954926974900445e-07,2.288591982591015e-09
1861,5.630860613337063e-07,8.488734604128467e-09
1862,5.652000893974218e-07,1.0843167363994155e-08
1863,5.798754685315544e-07,2.9967726078439227e-09
1864,5.278995587332247e-07,9.589455896019672e-10
1865,5.01278925923998e-07,4.706844469737348e-09
1866,4.865613050242246e-07,2.4328065117984465e-09
1867,3.9598941725671466e-07,4.85281148598915e-10
1868,4.0358771613568933e-07,4.939874287401835e-09
1869,4.1705253295276634e-07,1.953407657850903e-09
1870,4.461089915253069e-07,1.7202146374017957e-09
