year,son_DET ouvert_ADJ,son_DET couvert_NOUN
1800,1.2576657937302116e-08,8.174827925699901e-08
1801,1.1905912700171939e-08,8.810375362600098e-08
1802,1.1189200677108602e-08,9.84649659585557e-08
1803,9.751696339321825e-09,8.191424427650418e-08
1804,4.943701892301533e-09,9.88740396223875e-08
1805,3.695740957709859e-08,1.02343598484822e-07
1806,5.76333825108577e-09,1.0374009207225754e-07
1807,2.562259560079383e-08,1.3380689267705748e-07
1808,6.798221985349073e-09,1.0877154954513912e-07
1809,9.036122072814123e-09,6.325285739627873e-08
1810,3.042164919975221e-08,8.424456154898508e-08
1811,0.0,3.760615285841595e-08
1812,2.400487453257938e-08,6.934741492159446e-08
1813,0.0,6.039057609541487e-08
1814,4.405347908686963e-08,6.293354459785405e-08
1815,1.3486118000116676e-08,1.4565007688815967e-07
1816,9.270415546325239e-09,8.806894413737609e-08
1817,3.113746815941454e-09,1.0431051511439193e-07
1818,5.960588467246453e-09,7.033494830999132e-08
1819,8.280840013696888e-09,4.864993385922389e-08
1820,1.1866481131050932e-09,7.238553134669701e-08
1821,1.676452932031225e-08,8.283650032581136e-08
1822,5.81485721795616e-08,1.0627152846609533e-07
1823,9.882686669016039e-09,9.685032953399286e-08
1824,1.6842225392110777e-08,1.0779023984497371e-07
1825,4.4027217427355936e-09,1.3736491544236173e-07
1826,1.2331177856594877e-08,1.4268935055739007e-07
1827,1.1060727445055818e-08,6.359918103271411e-08
1828,1.8344602503717056e-09,6.053718709653211e-08
1829,2.571952872898464e-09,1.354561760535944e-07
1830,1.0436835395921662e-08,1.0958677321148969e-07
1831,4.989185953263586e-08,5.456921980950824e-08
1832,1.0823975493678972e-08,1.2312271735481772e-07
1833,6.950177322551099e-09,6.718504208524934e-08
1834,1.6802156110884425e-08,1.1948199585276598e-07
1835,7.563087933704082e-09,1.5958115540115614e-07
1836,7.392825018825988e-09,1.1223652762737402e-07
1837,2.0873671680021744e-09,1.3289571043628712e-07
1838,5.049729523420865e-09,1.1361891383288025e-07
1839,1.0487212875887053e-08,1.0067724454110305e-07
1840,1.6561189752906103e-08,1.1210651817972206e-07
1841,8.346713542550788e-09,1.1621192719246665e-07
1842,8.049918065466954e-09,1.2343207655973742e-07
1843,4.134837805480629e-09,7.029224002863543e-08
1844,3.841992946007622e-09,8.177956278831999e-08
1845,1.6182660544927785e-08,9.7653992447988e-08
1846,7.610851504580296e-09,7.786486522221026e-08
1847,6.47186837454683e-09,9.492073616002017e-08
1848,1.126331028444838e-08,9.895622810063287e-08
1849,3.016589289472904e-08,8.714591359648693e-08
1850,3.394497838371535e-08,8.418355079697903e-08
1851,1.4188765717904062e-08,6.642921679400615e-08
