year,en_ADP art_NOUN,en_ADP quart_NOUN
1800,3.5529058095562505e-07,2.04370692813427e-07
1801,2.3335590038087162e-07,2.571677271134831e-07
1802,2.528759353026544e-07,1.6336232988578558e-07
1803,2.96451567294298e-07,2.1258696847326064e-07
1804,3.5347467886026607e-07,1.8538882784469024e-07
1805,4.3780317948716174e-07,2.1890159018767008e-07
1806,1.2679343619481642e-07,1.2967511509032192e-07
1807,4.0711458382247656e-07,2.135216305987342e-07
1808,1.994145080175258e-07,2.1754310353117035e-07
1809,3.478907117937524e-07,1.6265019553429738e-07
1810,3.1591712490453006e-07,1.4976811257838563e-07
1811,3.133846036007526e-07,3.158916683787538e-07
1812,2.347143261971496e-07,2.1070944455914287e-07
1813,3.163315744902917e-07,1.552900528167811e-07
1814,2.1082736223476672e-07,2.8949429520253034e-07
1815,3.425474046636623e-07,2.535390137836657e-07
1816,1.9931394135142e-07,1.5527946573001827e-07
1817,1.7125607354451233e-07,2.7089598120255687e-07
1818,2.0027577329884139e-07,3.039900207113533e-07
1819,2.856889746993829e-07,1.2214239575314423e-07
1820,2.9191542783024715e-07,2.5038275452970993e-07
1821,3.4416593208685953e-07,1.272131981977509e-07
1822,3.448811725093037e-07,1.87479017199621e-07
1823,2.5793813007712885e-07,2.1346603773508832e-07
1824,2.080014889216386e-07,2.0968570879631443e-07
1825,2.3246369362794894e-07,2.4831348355291993e-07
1826,1.98179641364149e-07,2.30769188647173e-07
1827,2.1199727545662128e-07,2.4610119453427615e-07
1828,1.6601865127086057e-07,2.4214875793404644e-07
1829,1.3974277424111392e-07,2.803428458264534e-07
1830,1.6281463843803579e-07,2.640519483065873e-07
1831,2.2451337100548585e-07,3.3365179774591525e-07
1832,2.0565553371376666e-07,4.4378299435265944e-07
1833,2.3283092964732077e-07,3.173914251419774e-07
1834,2.1936147609480372e-07,2.772355571778462e-07
1835,2.102538445569735e-07,3.237001635625347e-07
1836,2.5337227693711384e-07,2.7622283482742205e-07
1837,2.5048406193661776e-07,2.8388194550643675e-07
1838,1.956770185884693e-07,2.8783458105863247e-07
1839,1.8527408773838516e-07,2.6357861315773334e-07
1840,2.465069468549075e-07,2.4141121457432746e-07
1841,2.3499206980304166e-07,2.747994756191474e-07
1842,1.6837745286935046e-07,3.19313414820499e-07
1843,2.72308605886451e-07,2.6994584345629846e-07
1844,1.816713766089606e-07,2.3600813392476994e-07
1845,2.310214348710815e-07,2.488781660758832e-07
1846,2.3418005912212436e-07,1.7212234126873227e-07
1847,2.448523579445805e-07,2.1950420148186822e-07
1848,2.0273959022709676e-07,2.8801892426599807e-07
1849,1.458018203948086e-07,4.85168129671365e-07
1850,2.0570657888185906e-07,3.6660577507063863e-07
1851,2.2121575149469663e-07,3.4826967976187007e-07
