year,en_ADP heure_NOUN,en_ADP choeur_NOUN
1800,7.231578251776227e-07,1.320549074534938e-07
1801,6.714934670526418e-07,7.857902772911984e-08
1802,6.870169499961776e-07,1.0741632650024258e-07
1803,1.2111606793041574e-06,1.326230716358623e-07
1804,5.166168648429448e-07,2.2246657849223084e-08
1805,6.623905051128531e-07,9.665784261869703e-08
1806,6.656655955339374e-07,7.492339904047185e-08
1807,5.608501396636711e-07,6.832692589497924e-08
1808,6.254364279811853e-07,7.478044494746428e-08
1809,8.697267617208126e-07,7.228897569433457e-08
1810,9.734927743920707e-07,1.2870697219113936e-07
1811,7.245452025017585e-07,7.019815040365529e-08
1812,7.814920195414743e-07,2.400487364440096e-08
1813,7.476928090000001e-07,5.7514832008109806e-08
1814,1.7023522786985268e-06,8.181360300341112e-08
1815,1.1058616564696422e-06,5.3944472000466703e-08
1816,7.138219757507613e-07,6.25753067140522e-08
1817,6.881380727463693e-07,6.227493631882908e-08
1818,7.534184192081739e-07,2.384235386898581e-08
1819,7.12152257165144e-07,3.001804549374043e-08
1820,6.502831411125953e-07,5.3399164201550775e-08
1821,7.218609425763134e-07,4.2404400435458456e-08
1822,7.408930287056137e-07,4.511527151862538e-08
1823,1.0969782806569128e-06,4.249555196622623e-08
1824,1.0231651685899124e-06,4.378978690766644e-08
1825,6.877050964249065e-07,3.4341228083434316e-08
1826,9.776862270882702e-07,4.4039922819649746e-08
1827,9.254142128156673e-07,2.6730092805848926e-08
1828,7.741422223261907e-07,5.6868266540277546e-08
1829,8.616041782261163e-07,4.9724419248775575e-08
1830,1.0593388424240402e-06,6.470838087579978e-08
1831,9.83805080068123e-07,6.080570180699851e-08
1832,1.2555811963466113e-06,9.20037885876468e-08
1833,1.107394837163156e-06,7.645194699534841e-08
1834,9.92260652310506e-07,8.961149866593132e-08
1835,1.206312504109519e-06,5.899208588289184e-08
1836,1.0739759090938605e-06,4.637317507771854e-08
1837,1.2558992921185563e-06,5.775049316536496e-08
1838,1.0036337698693387e-06,3.724175390296125e-08
1839,9.137858114627306e-07,3.6355670585130895e-08
1840,1.3166146572984871e-06,3.184844299397582e-08
1841,9.695028211353929e-07,5.264849667341309e-08
1842,1.2906701840620372e-06,6.574099664646837e-08
1843,1.3444129081108258e-06,2.5990409380227675e-08
1844,1.0000159136325237e-06,3.183365593351084e-08
1845,1.124974005506374e-06,3.4597412601478084e-08
1846,1.1041589687010855e-06,5.210506293096273e-08
1847,1.4863724118185928e-06,5.770749389455432e-08
1848,1.4827343193246634e-06,3.861706282526356e-08
1849,1.7747601077644504e-06,3.5193542080591556e-08
1850,1.4806799981670338e-06,2.987158254086353e-08
1851,1.289887791244837e-06,2.257303677311029e-08
1852,1.1373922461643815e-06,1.1718982007025147e-08
1853,1.371752773593471e-06,1.6124215740376258e-08
1854,1.2729377658615704e-06,2.286092382064453e-08
1855,1.2678273151323083e-06,2.7596072982305486e-08
1856,1.252362039849686e-06,3.209857357688861e-08
1857,1.2101261290808907e-06,3.9540223539802355e-08
1858,1.2870367527284543e-06,2.300027768242785e-08
1859,1.3448429854179267e-06,2.1387127624450386e-08
1860,1.6262733879557345e-06,3.020941363729435e-08
1861,1.4449713034991873e-06,2.5937800796071997e-08
1862,1.2939512998855207e-06,3.207770249424868e-08
1863,1.196211655951629e-06,3.44628843240713e-08
1864,1.0754574759630486e-06,2.876836746601441e-08
1865,1.3113268551023793e-06,1.9298061371131325e-08
1866,1.2056989362463355e-06,3.113992264047738e-08
1867,1.2801716593457968e-06,3.2513836956127307e-08
1868,1.0823264346981887e-06,1.926550929898241e-08
1869,1.321968625234149e-06,2.0999131766785695e-08
1870,1.2884407851743163e-06,3.4404292303946704e-08
1871,1.8204698335466674e-06,2.761506112669565e-08
1872,1.5892408100626199e-06,2.4794091668667306e-08
1873,1.4647753232566174e-06,2.2148216205497562e-08
1874,1.4828980283709825e-06,2.5093358058114745e-08
1875,1.3571462886829977e-06,2.3458261277919945e-08
1876,1.0320546834918787e-06,3.808989257336748e-08
1877,1.2784014415956335e-06,5.071549225021954e-08
1878,1.082808580576966e-06,4.348143756160994e-08
1879,1.071575638889044e-06,2.5048234264524183e-08
1880,1.0550938895903528e-06,2.6954953602498222e-08
1881,1.0758578810055042e-06,2.6495528548942104e-08
1882,1.0795034768307232e-06,2.6621539861437782e-08
1883,1.0900860161200399e-06,3.728409897485463e-08
1884,1.2067902162016253e-06,2.3766109968903493e-08
1885,1.0693310059650685e-06,3.931837699866492e-08
1886,9.660835758040776e-07,3.5494051919826575e-08
1887,9.780328582564835e-07,2.350412864338125e-08
1888,9.827953135754797e-07,4.375024298397534e-08
1889,9.228546673512028e-07,2.5687060034584874e-08
1890,8.854976272232307e-07,4.588070479094597e-08
1891,1.043459860738949e-06,2.3584614594618358e-08
1892,9.208444566866092e-07,3.0715710419570996e-08
1893,8.788060199549363e-07,2.586534908477489e-08
1894,9.004899652609311e-07,2.7726772433567248e-08
1895,9.635801916374476e-07,2.4074457538603156e-08
1896,8.804263984529825e-07,3.302336115673654e-08
1897,8.862431286615902e-07,3.6125624824911995e-08
1898,9.132584750659589e-07,4.243766105194169e-08
1899,9.336079642707773e-07,3.979856444402685e-08
1900,9.349086553811503e-07,4.256663521662318e-08
