year,en_ADP ado_NOUN,en_ADP cadeaux_NOUN
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,1.904946067554647e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,2.7304748684287006e-08,3.900678446910888e-09
1804,3.707776485839531e-08,4.943701892301533e-09
1805,1.421438877713399e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,2.7192887941396293e-08,9.064295980465431e-09
1809,4.51806094758922e-08,2.0331274441787173e-08
1810,1.6380886869171718e-08,1.6380887757350138e-08
1811,7.521229861140455e-09,5.0141535368197765e-09
1812,1.3336041604361526e-08,0.0
1813,0.0,2.8757416004054903e-08
1814,6.293354282149721e-09,1.2586708564299443e-08
1815,8.091670666843243e-09,1.6183340889597275e-08
1816,9.270415546325239e-09,1.8540831092650478e-08
1817,4.670620334934483e-09,1.401186100480345e-08
1818,8.344824387052086e-09,5.0068944545955674e-08
1819,6.210630232317271e-09,2.3807414706311647e-08
1820,4.746592452420373e-09,2.1359666035891678e-08
1821,2.3667571014129862e-08,3.155676253641104e-08
1822,5.012807946513931e-09,2.3058916553964082e-08
1823,3.9530747564242574e-09,1.1859224713361982e-08
1824,5.894778887238772e-09,1.51580028528997e-08
1825,4.4027217427355936e-09,1.3208164340028361e-08
1826,5.2847906051312066e-09,9.688783109140786e-09
1827,2.7651819167751057e-09,6.452091305675367e-09
1828,1.8344602503717056e-09,9.172301251858528e-10
1829,7.715858174606183e-09,3.8579290873030914e-08
1830,6.262101504006523e-09,3.861629238599562e-08
1831,3.1182412207897414e-09,3.897801548191637e-08
1832,1.8941957335982806e-08,1.488296597074168e-08
1833,1.1583628500844156e-09,9.846084481068829e-08
1834,1.0267983796552471e-08,4.573920264761e-08
1835,5.294161553592858e-09,3.6302822081779595e-08
1836,1.008112526790228e-08,1.2769425516978572e-08
1837,5.5663127440652715e-09,2.99189295560609e-08
1838,2.5248647617104325e-09,4.5447563934430946e-08
1839,4.194885327990505e-09,3.0063343814390464e-08
1840,3.821813254756279e-09,8.216898095270153e-08
1841,1.0914932513372833e-08,3.659712533021775e-08
1842,6.037438549100216e-09,4.293289634915709e-08
1843,7.678984614845064e-09,4.902736350231862e-08
1844,9.879410289848067e-09,6.147188713612195e-08
1845,1.0044410470033682e-08,7.812319324784767e-08
1846,7.025401815852206e-09,6.439951505399222e-08
1847,5.3932236454556914e-09,5.501087940729121e-08
1848,4.02261068899179e-09,3.781254065415851e-08
1849,7.54147366777147e-09,2.3462362719328667e-08
1850,2.0366988096043315e-09,2.7834882843080777e-08
