year,en_ADP an_NOUN,en_ADP camp_NOUN
1910,1.9345826018923873e-07,9.512588028393054e-08
1911,2.745313101293334e-07,8.033764942183552e-08
1912,2.3181924374560126e-07,5.782457596081869e-08
1913,2.2484676126532932e-07,7.583275563050051e-08
1914,2.276892898667171e-07,6.227971438566016e-08
1915,2.0969756231448144e-07,7.775303201285055e-08
1916,2.64797828997132e-07,8.789969907496697e-08
1917,2.0836206238161736e-07,7.347504649146686e-08
1918,2.2857889092620098e-07,1.274987795341076e-07
1919,2.1822600482224175e-07,7.458357487166722e-08
1920,2.4761197181533134e-07,8.253732408647352e-08
1921,2.1203692424087706e-07,5.6038331308627676e-08
1922,2.0363102271048206e-07,6.935259477813815e-08
1923,2.2081171513477216e-07,5.8387715995422695e-08
1924,1.8950688063235077e-07,5.801231128810258e-08
1925,2.2106337516092367e-07,6.158979459769398e-08
1926,2.5859040508890985e-07,8.805449702720125e-08
1927,1.4493992472885964e-07,6.355057990958812e-08
1928,2.1252436988028478e-07,7.312666383541e-08
1929,2.5511530887811773e-07,8.021092612331415e-08
1930,2.951512604321138e-07,3.9913694793725085e-08
1931,1.8704785009759917e-07,7.071321395102359e-08
1932,1.5233756045507363e-07,6.24693612394367e-08
1933,1.5944220788099983e-07,3.785318369864399e-08
1934,2.0009239420915037e-07,5.511526879331541e-08
1935,1.4242258306040867e-07,4.547948151412129e-08
1936,1.624711774006471e-07,4.607391579369846e-08
1937,2.5434058437134865e-07,5.288269733227935e-08
1938,1.8540257140653438e-07,9.07565009811151e-08
1939,1.8199920415185034e-07,1.0247013904063351e-07
1940,2.3329202702981888e-07,4.564409294971483e-08
1941,2.6858673107810205e-07,8.854507882460894e-08
1942,5.006449512734434e-07,6.978687139280737e-08
1943,3.251623377220625e-07,8.129058692851743e-08
1944,1.670856821789357e-07,1.8957798886276578e-07
1945,1.7645882843808636e-07,1.742803275028848e-07
1946,1.767980171152317e-07,1.9350335467294144e-07
1947,1.2874540833429649e-07,1.9431020348292805e-07
1948,1.7829895648802108e-07,1.2176514330164423e-07
1949,1.7277934827308883e-07,1.3449300773071826e-07
1950,2.0845308923433947e-07,1.4676799109381022e-07
1951,1.7697927001680824e-07,1.204738424576135e-07
1952,1.7609822067221614e-07,1.2126524229216784e-07
1953,1.8100030263479283e-07,1.3036331836246973e-07
1954,1.3192924086524727e-07,9.186184013465493e-08
1955,1.9052783706285936e-07,1.3609131599423563e-07
1956,1.7965551646348388e-07,1.0290946761415398e-07
