year,en_ADP arrière_NOUN,en_ADP carrières_NOUN
1800,2.1330012515363705e-05,6.288328791015374e-08
1801,2.477858538441069e-05,2.3811825844433088e-09
1802,2.9423122668958968e-05,4.4756802708434407e-08
1803,2.9196577287393666e-05,8.191424427650418e-08
1804,2.0214797473272483e-05,4.449331569844617e-08
1805,6.263428338115773e-05,2.55858996212055e-08
1806,1.8313007785764057e-05,2.5935023018064385e-08
1807,1.657497266194241e-05,4.27043254092041e-08
1808,1.4999143886029742e-05,4.985362878073829e-08
1809,1.8941971717367778e-05,6.777091243748146e-08
1810,1.803769616515183e-05,2.8081521108447305e-08
1811,1.642887400521431e-05,2.0056614147279106e-08
1812,2.374348741795984e-05,2.9339290108509886e-08
1813,2.0883636111079795e-05,1.0352670187785407e-07
1814,2.412242650962071e-05,2.8320094713762956e-08
1815,2.5995840815085103e-05,8.091670444798638e-09
1816,3.0381468718587712e-05,6.952811659743929e-09
1817,3.575048363302358e-05,3.269434145636296e-08
1818,3.074113941181622e-05,2.741870730460505e-08
1819,2.5547426304228793e-05,2.898294049202832e-08
1820,2.6482426619622856e-05,8.306536791735653e-09
1821,2.5183282389207307e-05,1.0058717947458717e-07
1822,2.7264662264769868e-05,3.5089655625597516e-08
1823,3.287574594423859e-05,1.581229902569703e-08
1824,2.9997687420291186e-05,1.431589158329416e-08
1825,4.0724295274685574e-05,2.7296874094417944e-08
1826,2.875102217103631e-05,7.0463874735082754e-09
1827,2.9820642794220475e-05,5.069500019772022e-08
1828,3.89639349123172e-05,6.695779575238703e-08
1829,3.793373059579608e-05,4.029392641768936e-08
1830,3.335195219733578e-05,1.982998831806526e-08
1831,3.761690203418766e-05,9.354723218280014e-09
1832,4.0170479053358576e-05,9.470978667991403e-09
1833,3.830242656022165e-05,2.3167256557599103e-08
1834,4.4937365714758926e-05,1.5868701908061666e-08
1835,4.5692394053276075e-05,2.571449897459388e-08
1836,3.6353882251205505e-05,2.4866775305554256e-08
1837,4.9215946432923374e-05,3.2006298056330706e-08
1838,4.37388626437496e-05,1.8936486156917454e-08
1839,4.0095412600749114e-05,3.635567225046543e-08
1840,3.6820621232891426e-05,2.1019973317493168e-08
1841,3.7407401521249994e-05,4.6227949468402585e-08
1842,3.152683342477758e-05,2.0795621225033756e-08
1843,3.5012624152841454e-05,2.4809025944705354e-08
1844,3.4826568423795834e-05,1.866110821424627e-08
1845,4.170327656538575e-05,3.236532108985557e-08
1846,3.5035678934036696e-05,2.751615646445771e-08
1847,2.8570601671162876e-05,1.5101026207275936e-08
1848,3.2644291138694825e-05,1.528592186161859e-08
1849,3.179066226266514e-05,8.379414495607307e-09
1850,3.662324002107198e-05,3.733947906425783e-08
1851,3.722551696228038e-05,2.644269869733762e-08
1852,3.4917358732400317e-05,1.6276363368206148e-08
1853,3.929591031237578e-05,3.1054046445433414e-08
1854,3.333642280267668e-05,2.4939190268469247e-08
1855,3.885155422267417e-05,4.139410947345823e-08
1856,3.3403741952042765e-05,1.1389816201301528e-08
1857,3.877919596106949e-05,2.39193944651106e-08
1858,3.4619823395587446e-05,2.6425849952715907e-08
1859,4.141362757081879e-05,2.1387128512628806e-08
1860,4.012176481182905e-05,2.6089947979812678e-08
1861,3.409641885809833e-05,8.960331143725853e-09
1862,3.341773646070578e-05,3.5240294238292336e-08
1863,3.42266391726298e-05,1.9978482868054925e-08
1864,3.5342899025181396e-05,2.3014694150447212e-08
1865,3.3232676059924415e-05,3.012380389577629e-08
1866,4.056802134755344e-05,2.578774882522339e-08
1867,4.171767875504884e-05,4.076361648230886e-08
1868,4.5632088358615874e-05,3.408512938563035e-08
1869,4.5011884367340826e-05,2.0510780629479086e-08
1870,4.661036410880115e-05,2.408300403544672e-08
1871,5.58567702455548e-05,1.911811864374613e-08
1872,4.765545099871815e-05,1.4513614310374123e-08
1873,4.7986207277972426e-05,2.0352414864532875e-08
1874,6.383630932305095e-05,1.1351757756017378e-08
1875,4.6754603999943356e-05,1.4875970677508121e-08
1876,4.638562859327067e-05,3.3857681103199866e-08
1877,5.028193731959618e-05,2.72131899237138e-08
1878,4.3730851643886126e-05,4.166971123709118e-08
1879,3.859994069443928e-05,1.710611030603104e-08
1880,4.1153797837978345e-05,3.658172431642015e-08
