year,un_DET anal_ADJ,un_DET canal_NOUN
1800,0.0,1.091339447611972e-05
1801,2.3811825844433088e-09,8.00553578983454e-06
1802,4.475680270843441e-09,1.010384804089881e-05
1803,3.900678446910888e-09,1.0728815652782941e-05
1804,4.943701892301533e-09,1.0799516900306116e-05
1805,2.842877711017877e-09,1.230113164751856e-05
1806,0.0,5.751811649190586e-06
1807,0.0,7.829126374758744e-06
1808,2.2660739951163578e-09,6.854873788597615e-06
1809,2.259030518203531e-09,8.249979089214321e-06
1810,2.3401267590372754e-09,5.47121620542157e-06
1811,0.0,9.474242972373759e-06
1812,0.0,8.959152609122611e-06
1813,0.0,6.041933033884561e-06
1814,0.0,6.985623059563295e-06
1815,2.697223555614414e-09,6.009414263985491e-06
1816,0.0,8.250669651488352e-06
1817,0.0,6.787968260368871e-06
1818,1.1921177378582115e-09,6.712814908382825e-06
1819,3.1053151161586356e-09,7.67840884918769e-06
1820,3.5599443393152796e-09,7.0356365711177205e-06
1821,3.94459531705138e-09,6.219640809490556e-06
1822,0.0,7.365819911342442e-06
1823,9.882686891060644e-10,6.942587589264804e-06
1824,0.0,7.475421909930446e-06
1825,8.805443041381977e-10,8.44177810677138e-06
1826,8.807984341885344e-10,8.512036117735988e-06
1827,0.0,8.890981831655154e-06
1828,4.586150570418113e-09,7.800125160883908e-06
1829,8.57317605795771e-10,9.692832776408977e-06
1830,2.0873671680021744e-09,8.741893935848566e-06
1831,1.5591206103948707e-09,8.894783434243436e-06
1832,0.0,7.709376689035707e-06
1833,1.1583628500844156e-09,9.716348017718701e-06
1834,0.0,9.345732252086236e-06
1835,2.2689263801112247e-09,9.254950526838002e-06
1836,1.3441500135158435e-09,6.781236763231391e-06
1837,6.957890930081589e-10,9.911516087868222e-06
1838,6.312161904276081e-10,8.394544437351215e-06
1839,6.9914751765765e-10,7.940917868154429e-06
1840,6.369688665408546e-10,8.392701857928841e-06
1841,0.0,7.5043369065497245e-06
1842,0.0,7.067157199003304e-06
1843,5.31621990873532e-09,9.098415375774493e-06
1844,5.488561272137815e-10,7.991894221959228e-06
1845,0.0,8.315097289823825e-06
1846,1.1709002656346001e-09,7.532401212984041e-06
1847,3.775256551818984e-09,5.832771279301596e-06
1848,0.0,6.6751206162507515e-06
1849,6.703531951757213e-09,7.460193145902849e-06
1850,3.394498016007219e-09,6.368078345531103e-06
1851,6.449438760824933e-10,6.744177994733036e-06
