year,son_DET otage_NOUN,son_DET cottage_NOUN
1800,0.0,9.432493897065797e-09
1801,6.905429472681135e-08,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,1.755305234496518e-08,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,4.518061036407062e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,1.4378708002027452e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,2.9580593974287694e-08,0.0
1818,1.1921176934492905e-08,0.0
1819,2.2772310259711048e-08,2.070210003424222e-09
1820,1.1866481131050932e-08,5.933240565525466e-09
1821,2.070912508145284e-08,0.0
1822,3.308453244699194e-08,0.0
1823,4.941343334508019e-09,0.0
1824,5.3053010873327366e-08,0.0
1825,3.434122675116669e-08,0.0
1826,1.9377566218281572e-08,0.0
1827,8.295545583791863e-09,0.0
1828,1.3758452155343548e-08,0.0
1829,1.5431716349212365e-08,0.0
1830,1.5655253093882493e-08,1.461157062010443e-08
1831,3.1182412207897414e-09,0.0
1832,6.764984572527055e-09,0.0
1833,0.0,0.0
1834,1.8669061851994684e-09,5.600718555598405e-09
1835,3.025235173481633e-09,6.806779140333674e-09
1836,1.008112526790228e-08,6.720750067579218e-10
1837,2.1569462660409044e-08,2.7831563720326358e-09
1838,9.468243078458727e-09,0.0
1839,1.7478688718597368e-08,1.7478688718597368e-08
1840,1.0191501864653674e-08,1.9109065441114126e-09
1841,8.346713542550788e-09,2.5682194149112547e-09
1842,1.475818312002275e-08,1.542900918138912e-08
1843,4.7255288571079745e-09,1.476727762295127e-08
1844,1.0428266250528395e-08,7.1351298203126134e-09
1845,3.9061593959388574e-09,2.7901139176833567e-09
1846,9.367202125076801e-09,1.6978054517835517e-08
1847,3.235934187273415e-09,1.1325769655456952e-08
1848,8.045221711050488e-10,1.126331028444838e-08
1849,1.256912263158938e-08,1.6758828991214614e-08
1850,4.073397619208663e-09,3.4623880651452055e-08
1851,7.739326512989919e-09,3.1602251482354404e-08
1852,2.148479971708639e-08,7.161600201754936e-09
1853,1.791579506971175e-08,2.9262466227919504e-08
1854,1.7145692865483397e-08,1.1950028522278444e-08
1855,1.751289246954002e-08,1.5920811335945473e-08
1856,2.3815070804289462e-08,1.3978411317339123e-08
1857,2.39193944651106e-08,1.5620828242024487e-08
1858,5.872411001917044e-09,2.055343872875426e-08
1859,6.110608019582742e-09,2.647930186228109e-08
