year,son_DET an_NOUN,son_DET camp_NOUN
1800,1.1947824818392405e-07,4.033963250549277e-06
1801,1.5715804924099075e-07,5.814848009322304e-06
1802,1.1860552717735118e-07,5.001572844776092e-06
1803,1.4042442475492578e-07,6.04410115556675e-06
1804,9.887403673580764e-08,3.356773504492594e-06
1805,1.7910129024301114e-07,6.018372005200945e-06
1806,1.0950343032334331e-07,4.9824056986835785e-06
1807,2.021338083579849e-07,6.704579391225707e-06
1808,1.4049658636494655e-07,6.530825430672849e-06
1809,9.713831272684104e-08,9.8335594884702e-06
1810,9.828532210320873e-08,5.0359526539978106e-06
1811,1.3036799018095735e-07,9.063082870852668e-06
1812,1.0668832839400011e-07,5.846520252816845e-06
1813,8.914798788062228e-08,5.524299922399223e-06
1814,1.2272040805783035e-07,5.585352027992485e-06
1815,1.7262230644909948e-07,4.6419218051596545e-06
1816,1.3442102897442965e-07,4.1740045162441675e-06
1817,1.1053801518556838e-07,5.173490535526071e-06
1818,1.7762553694566918e-07,9.705030606710352e-06
1819,1.7079232339511918e-07,7.7746735769324e-06
1820,1.0798497562802822e-07,7.51978905100259e-06
1821,1.400331290923873e-07,7.519384780607652e-06
1822,1.1128433641260926e-07,6.892611054354347e-06
1823,1.462637607696493e-07,9.966689503926318e-06
1824,1.3221146666353434e-07,8.064899702731054e-06
1825,1.5673689013340208e-07,6.353126991598401e-06
1826,1.1538459276927426e-07,7.738694876024965e-06
1827,1.4747636600809244e-07,4.563471975416178e-06
1828,1.2199160820403065e-07,5.8666037148213945e-06
1829,8.74463982336593e-08,4.780402832693653e-06
1830,6.053364831615227e-08,5.0535159061837476e-06
1831,7.639690879912564e-08,3.638987436715979e-06
1832,7.71208219507713e-08,3.7572724522760836e-06
1833,1.1583628245492861e-07,4.0195191104430705e-06
1834,1.0641365477681575e-07,3.967175416619284e-06
1835,1.550433026409337e-07,5.09222718392266e-06
1836,8.468145001883087e-08,8.349187737621833e-06
1837,9.393152344827627e-08,5.179454092285596e-06
1838,1.1677499323070606e-07,8.175512448360678e-06
1839,1.1326189996996305e-07,7.0816649895277806e-06
