year,ton_DET ouvert_ADJ,ton_DET couvert_NOUN
1800,0.0,6.288328968651058e-09
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,0.0,4.475680270843441e-09
1803,0.0,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,2.8469551160981155e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,9.360507036149102e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.0898113522728181e-08,0.0
1818,1.1921177378582115e-09,3.5763532135746345e-09
1819,6.210630232317271e-09,3.1053151161586356e-09
1820,2.3732962262101864e-09,7.119888678630559e-09
1821,9.86148829262845e-10,0.0
1822,2.0051231786055723e-09,1.303330066093622e-08
1823,9.882686891060644e-10,9.882686891060644e-10
1824,5.052667617633233e-09,5.894778887238772e-09
1825,6.163809906922779e-09,3.522177216552791e-09
1826,2.642395191543301e-09,0.0
1827,3.6869092223668076e-09,5.530363889061363e-09
1828,9.172301251858528e-10,9.172301251858528e-10
1829,0.0,0.0
1830,1.0436835840010872e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,0.0,1.3529969367098715e-09
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,9.334530925997342e-10,1.8669061851994684e-09
1835,2.2689263801112247e-09,2.2689263801112247e-09
1836,1.3441500135158435e-09,1.3441500135158435e-09
1837,6.957890930081589e-10,1.7394727436226276e-08
1838,0.0,1.8936485712828244e-09
1839,4.894032734625853e-09,1.0487212875887053e-08
1840,6.369688665408546e-10,0.0
1841,6.420548537278137e-10,1.2841097074556274e-09
1842,0.0,1.341653010911159e-09
1843,0.0,4.134837805480629e-09
1844,3.2931368743049916e-09,1.097712254427563e-09
1845,0.0,2.2320911785556063e-09
1846,1.7563503984519002e-09,1.7563503984519002e-09
1847,0.0,5.393223645455691e-10
1848,0.0,7.24069959545659e-09
1849,0.0,5.865590679832167e-09
1850,0.0,4.073397619208663e-09
1851,6.449438760824933e-10,1.9348316282474798e-09
1852,3.2552727180501506e-09,0.0
1853,1.1943863675867306e-09,1.2541057081705276e-08
1854,0.0,1.558699391779328e-09
1855,1.0613874223963649e-09,4.776243400783642e-09
1856,0.0,1.5531567143511893e-09
1857,1.4644527812635033e-09,6.345961978126979e-09
1858,0.0,9.297984604472731e-09
1859,5.092173349652285e-10,5.092173349652285e-10
1860,0.0,4.577183909670879e-10
1861,0.0,9.431927461278633e-10
1862,0.0,1.8071945051545413e-09
1863,0.0,4.994620828036034e-10
1864,4.794727948009836e-10,2.8768367688059016e-09
1865,1.4120533631256649e-09,3.294791106611683e-09
1866,0.0,2.432806400776144e-09
1867,0.0,2.426405742994575e-09
1868,9.87974813071446e-10,2.469937032678615e-09
1869,0.0,1.31855019125382e-08
1870,0.0,5.160643912205387e-09
1871,0.0,8.496942038860311e-09
1872,0.0,7.2568073772316666e-09
1873,1.1972008939764578e-09,2.9930022904522957e-09
1874,0.0,4.779687479139483e-09
1875,0.0,5.149374426860476e-09
1876,6.04601479992084e-10,3.627608879952504e-09
1877,0.0,4.329371194877751e-09
1878,0.0,1.2078177347163432e-09
1879,0.0,6.109325489944695e-09
1880,0.0,5.134277003548959e-09
1881,0.0,2.0917522713936876e-09
1882,1.3310770263785798e-09,9.317538962605454e-09
1883,0.0,3.791603475633565e-09
1884,0.0,1.3203393933736152e-09
1885,0.0,5.156508553483263e-09
1886,0.0,1.0325542199041138e-08
1887,0.0,9.140494583448344e-09
1888,0.0,3.804368819970705e-09
1889,0.0,2.5060546970934183e-09
1890,0.0,2.621754646714436e-09
1891,0.0,4.461953917456185e-09
1892,0.0,2.5074049503359674e-09
1893,0.0,3.0792083327568776e-09
