year,non_ADV ouvert_ADJ,non_ADV couvert_ADJ
1800,9.432493897065797e-09,2.2009151834367913e-08
1801,1.1905912700171939e-08,1.904946067554647e-08
1802,4.475680270843441e-09,1.1189200677108602e-08
1803,3.510610468993036e-08,2.9255089017965474e-08
1804,3.460591457837836e-08,0.0
1805,1.051864728651708e-07,3.4114531644036106e-08
1806,1.7578182109900808e-07,9.221341201737232e-08
1807,8.54086508184082e-08,3.9857372513552036e-08
1808,1.1330369886763947e-07,6.798221985349073e-09
1809,6.325285539787728e-08,9.036122072814123e-09
1810,7.254392642153107e-08,4.680253340438867e-08
1811,4.763445815569867e-08,5.766276700569506e-08
1812,9.868670503010435e-08,1.4936365744233626e-07
1813,6.326631307729258e-08,2.8757416448144113e-09
1814,2.2026739543434815e-08,2.2026739543434815e-08
1815,2.697223555614414e-09,1.3486118000116676e-08
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,2.3353100786493997e-08,9.341240669868967e-09
1818,5.960588467246453e-09,1.5497530370112145e-08
1819,4.243930362690662e-08,0.0
1820,7.119888678630559e-09,1.6613073583471305e-08
1821,1.577838126820552e-08,2.070912508145284e-08
1822,3.107940926838637e-08,6.015369535816717e-09
1823,2.668325471688604e-08,3.4589405117912975e-08
1824,1.1789557774477544e-08,2.5263338088166165e-08
1825,1.7610886970942374e-08,1.7610886970942374e-08
1826,6.517908701653141e-08,4.4039921931471326e-08
1827,1.0231173064312316e-07,1.1060727445055818e-08
1828,3.118582370120748e-08,2.384798314380987e-08
1829,3.086343269842473e-08,9.430493719264632e-09
1830,1.0436835840010872e-09,1.0436835395921662e-08
1831,7.795603274018958e-09,1.5591206548037917e-08
1832,1.2176972319366541e-08,6.629684889958298e-08
1833,4.054269808762001e-08,3.1275796175123105e-08
1834,2.8003592333902816e-08,3.267085801894609e-08
1835,2.0420337421001022e-08,1.5126175867408165e-08
1836,3.091545153210973e-08,9.409050427677812e-09
1837,5.5663127440652715e-09,5.0096815584765864e-08
1838,1.5149188570262595e-08,2.651107955387033e-08
1839,9.088918062616358e-09,5.8029243632518046e-08
1840,2.0383003729307347e-08,1.9109066329292546e-08
1841,2.0545755319290038e-08,1.733548060656176e-08
1842,3.6224630406422875e-08,2.884553929050071e-08
1843,1.7130041385371442e-08,2.3627643841450663e-08
1844,8.232841963717874e-09,2.305195678786731e-08
1845,1.4508592549589139e-08,3.961961780873935e-08
1846,1.7563504428608212e-08,3.3956109035671034e-08
1847,9.168480197274675e-09,2.1572894581822766e-08
1848,8.04522137798358e-09,1.850401076808339e-08
1849,1.1731181359664333e-08,3.100383594301093e-08
1850,8.146795238417326e-09,2.1045888587423178e-08
1851,8.384270167027807e-09,9.029214709244116e-09
1852,1.1718981340891332e-08,2.408901877970493e-08
1853,2.448492075757258e-08,2.20961471342207e-08
1854,6.754363734984281e-09,1.7145692865483397e-08
1855,1.2205955357558196e-08,1.5920811335945473e-08
1856,1.2942972915652717e-08,2.847454005916461e-08
1857,1.757343248698362e-08,2.5871997877402464e-08
1858,6.8511463169329545e-09,1.2234189661342043e-08
1859,9.675129142294736e-09,3.055303920973529e-08
1860,1.0527522853465143e-08,3.7990627532735743e-08
1861,9.431927239234028e-09,2.4994607272788016e-08
1862,8.584174260306554e-09,1.8523744316212287e-08
1863,6.99246927027275e-09,2.8968800691586694e-08
1864,1.1507347075223606e-08,2.685047562067666e-08
1865,4.000817810378976e-08,4.424433797112215e-08
1866,1.4596838404656864e-08,3.454585240092456e-08
1867,1.2132028714972876e-08,1.94112459439566e-08
1868,1.1361710683388537e-08,3.309715523869272e-08
1869,3.90681549333749e-08,3.955650385023546e-08
1870,1.6628741050794815e-08,3.55511033944822e-08
1871,1.1683295220166201e-08,4.142259157902117e-08
1872,1.9351485747165498e-08,2.7213026498884574e-08
1873,2.3944018323618366e-08,5.028243776905583e-08
1874,1.0754296120296658e-08,4.122480135038131e-08
1875,4.577221712764867e-09,2.7463329388410784e-08
1876,1.0278225381910033e-08,2.7811667635546655e-08
1877,9.895705588292003e-09,3.216104360603822e-08
1878,1.0870359723469392e-08,3.2611080058586595e-08
1879,9.163987790827832e-09,2.6881030734671185e-08
1880,8.343199908722454e-09,3.658172431642015e-08
1881,9.761510710859511e-09,5.368830713337047e-08
1882,1.3976308999019693e-08,5.1912003584675404e-08
1883,2.464542170343975e-08,3.5388296737437486e-08
1884,1.9805090900604227e-09,5.0172896948197376e-08
1885,1.6758653131887513e-08,3.3517306263775026e-08
1886,1.0325542199041138e-08,4.130216879616455e-08
1887,4.961982824625011e-08,3.590908548289917e-08
1888,2.282621380800265e-08,3.9945874164004636e-08
1889,2.0674951528576457e-08,3.195219733242993e-08
1890,2.0318598359381213e-08,1.9007721618891082e-08
1891,5.8005401371019616e-08,2.677172439291553e-08
1892,4.826754462783356e-08,2.005923960268774e-08
1893,4.865148994781521e-08,4.6803965148001225e-08
1894,2.079507943619774e-08,3.276800342177921e-08
1895,2.9491211250842753e-08,4.69451926221609e-08
1896,4.1868904787634165e-08,3.125425251937486e-08
1897,2.6220211779559577e-08,3.96216535136773e-08
1898,3.281845906144554e-08,5.997856078465702e-08
1899,1.1607914629507832e-08,5.5275783950037294e-08
1900,2.076421168339948e-08,9.499627395825883e-08
1901,3.129693837422565e-08,4.806315345717849e-08
1902,4.7629754362787935e-08,8.003762985708818e-08
1903,2.970121215639665e-08,9.396383404691733e-08
1904,2.364835083312755e-08,5.213386344848914e-08
1905,3.148063143498803e-08,5.212366716023098e-08
1906,3.137952475640304e-08,8.127811668146023e-08
1907,2.1599941391059474e-08,6.37712602724605e-08
1908,1.7680999775393502e-08,4.714933510285846e-08
1909,2.1453836041018803e-08,2.9155213354670195e-08
1910,2.9927242906069296e-08,5.02350161468712e-08
1911,1.9153347352585115e-08,4.149891807969652e-08
1912,1.9795800554334164e-08,5.3136098188133474e-08
1913,1.9090762748419365e-08,3.234823608977422e-08
1914,1.6741859454327823e-08,4.955590426902745e-08
1915,1.8849219074468238e-08,5.654765544704787e-08
1916,3.076489463182952e-08,4.504859418830165e-08
1917,1.7546279096336548e-08,2.52227767560953e-08
1918,1.9526840588923733e-08,3.101321510712296e-08
1919,1.749491218561161e-08,2.5781975665495338e-08
1920,8.329454459499175e-09,3.9375606775138294e-08
1921,2.0446417892117097e-08,2.9533714140939082e-08
1922,2.0658220023506146e-08,4.869437475463201e-08
1923,1.9108707505210987e-08,5.307974149104666e-08
1924,2.3204924204378585e-08,4.1253198190815965e-08
1925,1.7597084678300234e-08,3.519416935660047e-08
1926,2.3406890647947876e-08,2.7865345586519652e-08
1927,2.4528294062520217e-08,3.2332753363562006e-08
1928,1.0283437212876834e-08,6.741364444451392e-08
1929,1.6710609784809094e-08,7.01845621620123e-08
1930,1.470504518152893e-08,7.352522146675255e-08
1931,1.9389105432310316e-08,5.360517718600022e-08
1932,1.753525857850491e-08,4.055028668403793e-08
1933,2.7529589274877253e-08,5.5059178549754506e-08
1934,2.036868629318178e-08,7.188948103475923e-08
1935,1.6755597798123745e-08,4.188899538348778e-08
1936,1.091224355320719e-08,4.243650053581405e-08
1937,1.510934133364117e-08,5.414180748175568e-08
1938,2.5930429359277696e-08,1.0242519721259669e-07
1939,7.647025235257843e-09,3.976452944698394e-08
1940,7.607348528892999e-09,9.382397081481031e-08
1941,8.854508237732261e-09,6.493305448884712e-08
1942,1.2136847082899749e-08,3.6410540360520827e-08
1943,8.709705845433291e-09,4.645176332473966e-08
1944,6.4263723231761105e-09,5.1410978585408884e-08
1945,1.089252066321933e-08,1.9606536838523425e-08
1946,1.2528993842408909e-08,5.4292307538617024e-08
1947,1.4305045148432782e-08,4.2915136333476767e-08
1948,9.784699273041042e-09,6.088257009650988e-08
1949,3.9268033269479474e-09,7.362756093698408e-08
1950,7.444753258312176e-09,6.062155932795577e-08
1951,5.330700769690111e-09,3.731490494374157e-08
1952,1.8980646387944944e-08,4.8506098693223976e-08
1953,1.723812381726475e-08,6.679773179030235e-08
1954,1.5636057781875934e-08,5.765796373680132e-08
1955,1.1262729415761896e-08,3.754243138587299e-08
1956,6.976913269340912e-09,3.8373023869553435e-08
1957,1.4136060322300636e-08,4.1524678806581505e-08
1958,7.445019267748876e-09,5.707848060865217e-08
1959,1.0851047171911432e-08,3.952881399982289e-08
1960,6.920833239831836e-09,4.567749911643659e-08
1961,1.389631876236308e-08,5.697490479406042e-08
1962,4.43936931660005e-09,5.200404373795209e-08
1963,5.1728425987107585e-09,5.108181966306802e-08
1964,7.300761772910391e-09,4.1979379972190145e-08
1965,5.47204326295514e-09,5.4720434405908236e-08
1966,1.273987226824147e-08,6.092982118843793e-08
1967,3.451234853457663e-09,5.324762497593838e-08
1968,3.5931326802796093e-09,4.1321026600371624e-08
1969,9.083515273289322e-09,4.995933622353732e-08
1970,2.0694262303777577e-08,4.736686776141141e-08
1971,6.166076982339064e-09,4.007949883089168e-08
1972,1.0773308467548759e-08,5.0275438923108595e-08
1973,4.410563025913916e-09,3.6387145740945925e-08
1974,1.406392957647995e-08,5.0630145409513716e-08
1975,6.282628195464213e-09,6.396857799018107e-08
1976,9.141642998145016e-09,4.1137393935741784e-08
1977,8.815172591880582e-09,4.760193306196925e-08
1978,1.128712323605896e-08,4.039602075067705e-08
1979,1.2289143924704149e-08,5.208256226296726e-08
1980,1.4212877097463661e-08,3.809050852510154e-08
1981,5.69299452024552e-09,4.364629191400127e-08
1982,1.2415004135846175e-08,4.4694015599588965e-08
1983,1.5788289786655696e-08,3.599730291625747e-08
1984,8.118611560803402e-09,6.030968791037594e-08
1985,6.617113967877231e-09,4.331201708396293e-08
1986,1.3787316177626963e-08,6.29420995323926e-08
1987,6.721898593298192e-09,5.255302326645506e-08
1988,7.795519785247507e-09,5.936588109989316e-08
1989,8.232182935330457e-09,3.128229764115531e-08
