year,en_ADP arts_NOUN,en_ADP quarts_NOUN
1800,5.345079756580162e-08,6.60274537267469e-08
1801,6.42919282256571e-08,1.0239084957675004e-07
1802,9.398928568771225e-08,8.727576528144709e-08
1803,7.80135707145746e-08,9.55666195068261e-08
1804,6.921182560404304e-08,3.460591457837836e-08
1805,2.558589917711629e-08,7.675770063997334e-08
1806,4.8988375134229045e-08,2.1324350996110297e-07
1807,4.27043254092041e-08,3.131650672116848e-08
1808,4.5321479902327155e-09,1.5862518409903714e-08
1809,1.581321384946932e-08,7.00299480627109e-08
1810,5.616304221689461e-08,5.616304221689461e-08
1811,3.7606150637969904e-08,5.766276700569506e-08
1812,5.06769564090348e-08,1.3869482984318893e-07
1813,4.3136123117903935e-08,2.300593315851529e-08
1814,9.440030979135372e-09,5.664018942752591e-08
1815,2.6972236000233352e-08,1.3486118000116676e-08
1816,8.57513455798653e-08,1.8540831092650478e-08
1817,2.1796228488746294e-08,6.07180652423267e-08
1818,4.4108355412575406e-08,1.0729059418679299e-08
1819,9.212434237682032e-08,3.8298885840504227e-08
1820,3.44127952800477e-08,2.8479554714522237e-08
1821,7.001656854299654e-08,7.100271659510327e-08
1822,3.308453244699194e-08,9.825103575167304e-08
1823,6.32491954366543e-08,6.423746157224741e-08
1824,3.1158117863583357e-08,3.705289586264371e-08
1825,4.3146671568905504e-08,8.101007864524945e-08
1826,8.807984186454121e-08,4.7563116112314674e-08
1827,3.686909327837995e-08,4.608636672287503e-08
1828,3.3937512911030865e-08,1.0089530988466322e-08
1829,3.686465693819585e-08,1.2859763920403111e-08
1830,3.131050774207722e-08,4.174734158368665e-08
1831,3.741889442743229e-08,5.76874619184764e-08
1832,5.276688019861808e-08,3.92369123858316e-08
1833,4.51761508202253e-08,5.444305273272221e-08
1834,2.4269779741459274e-08,4.85395617033646e-08
1835,3.932805725526123e-08,1.739510224751939e-08
1836,6.922372786100084e-08,4.5701099793404865e-08
1837,3.89641890974346e-08,4.453050195252217e-08
1838,4.102905393210676e-08,3.092959488526503e-08
1839,2.8665047335785232e-08,9.927894950578775e-08
1840,5.8601136720959346e-08,5.032054062326097e-08
1841,3.2102741354123054e-08,5.778493772368165e-08
1842,4.9641161403712886e-08,2.683306021822318e-08
1843,4.075768533784441e-08,1.033709438047481e-07
1844,5.1592476069117765e-08,4.116420981858937e-08
1845,1.3392547348889394e-08,5.1896119401817487e-08
1846,3.981060747726417e-08,3.1614305839866574e-08
