year,aucun_DET canal_NOUN
1800,5.973912209356058e-08
1801,3.5717739876872656e-08
1802,2.2378401354217203e-08
1803,5.851017803593095e-08
1804,1.0876144140858912e-07
1805,1.0802935435094696e-07
1806,8.06867319624871e-08
1807,1.7081731584767113e-08
1808,7.478044494746428e-08
1809,7.00299480627109e-08
1810,3.510190182964834e-08
1811,7.521230216411823e-08
1812,4.267533171287141e-08
1813,3.4508900625951355e-08
1814,2.2026740431613234e-08
1815,4.8550024445148665e-08
1816,3.9399266071882266e-08
1817,4.203558034987509e-08
1818,6.914282835168706e-08
1819,2.1737205146976635e-08
1820,6.051905643289501e-08
1821,1.577838082411631e-08
1822,5.514088741165324e-08
1823,4.644862983127496e-08
1824,3.621078548121659e-08
1825,4.2266127264767306e-08
1826,3.435113882233054e-08
1827,4.147772791895932e-08
1828,3.577197321691372e-08
1829,6.515613970581313e-08
1830,4.905312778191728e-08
1831,5.76874619184764e-08
1832,1.2176972319366541e-08
1833,5.907650602043901e-08
1834,4.853956214745381e-08
1835,4.840376277570613e-08
1836,4.771732625696856e-08
1837,5.844628248041772e-08
1838,6.75401337080217e-08
1839,4.6842882017728016e-08
1840,3.248541347034006e-08
1841,4.494384064912538e-08
1842,5.836190553054621e-08
1843,7.147362168780091e-08
1844,4.0066497009050295e-08
1845,4.1851711263252156e-08
1846,2.2247105713191218e-08
1847,1.7258315665458213e-08
1848,1.769948809737798e-08
1849,2.681412802907346e-08
1850,3.733947728790099e-08
1851,5.3530342825069965e-08
1852,3.1250618093281446e-08
1853,1.911018188138769e-08
1854,2.1302223818242538e-08
1855,3.874064091746732e-08
1856,1.8120163147727908e-08
1857,2.7336451546844387e-08
1858,1.5659763152875428e-08
1859,2.393321385518732e-08
1860,3.4786598490654796e-08
1861,2.169343282787395e-08
1862,2.9818709307294355e-08
1863,9.489779628779615e-09
1864,1.1986819981046892e-08
1865,1.7886008729650626e-08
1866,2.5301186923343266e-08
1867,2.7661025470138156e-08
1868,4.149494292615685e-08
1869,1.7580669364747337e-08
1870,1.7202145929928747e-08
1871,9.55905954391767e-09
1872,4.475031190054324e-08
1873,2.573981916498269e-08
1874,2.2106053876314036e-08
1875,1.830888685105947e-08
1876,1.6928840551599933e-08
