year,ton_DET or_NOUN,ton_DET corps_NOUN
1800,8.489243885634323e-08,9.180960489629797e-07
1801,5.000483582762172e-08,7.286418473029244e-07
1802,8.727576528144709e-08,6.444979590014555e-07
1803,1.677291692203653e-07,3.0035223863578153e-07
1804,1.038177401824214e-07,5.19088700912107e-07
1805,1.5635827521620627e-07,4.2643164732680816e-07
1806,5.187004248341509e-08,5.158187939002801e-07
1807,1.2526602510831708e-07,4.270432700792526e-07
1808,4.5321478125970316e-08,3.874986500562727e-07
1809,5.1957703028904234e-08,3.3659554432574623e-07
1810,2.574139346123161e-08,4.516444587210344e-07
1811,1.0279014617253779e-07,2.8580674671374595e-07
1812,5.3344165529267684e-08,3.093961478128904e-07
1813,8.339650747757332e-08,3.077043544408298e-07
1814,6.293354370967563e-08,3.776012453826638e-07
1815,4.8550024445148665e-08,4.261613248957019e-07
1816,4.4034472068688046e-08,2.8043006494726797e-07
1817,3.580808893843823e-08,4.1257144012263325e-07
1818,7.629553699928238e-08,3.242560131511141e-07
1819,6.003609098748086e-08,5.268684297732307e-07
1820,6.76389415588119e-08,5.885774641001262e-07
1821,1.4003314019461754e-07,5.788693862029959e-07
1822,7.21844344298006e-08,4.491475920076482e-07
1823,6.917880635004536e-08,4.081549569434628e-07
1824,7.242156652154108e-08,6.442151416763409e-07
1825,7.220463604795668e-08,5.133573264259894e-07
1826,5.196710661792281e-08,4.3247203862506467e-07
1827,4.7929820112813104e-08,3.0509172788129035e-07
1828,1.0915038473058303e-07,4.063329530623605e-07
1829,5.572564276690173e-08,4.1494173075307117e-07
1830,4.696576283436116e-08,5.020118116760841e-07
1831,1.1225668572478753e-07,4.6149968735420543e-07
1832,7.441482807735156e-08,4.559599808828807e-07
1833,1.1699465041203894e-07,5.282134551976014e-07
1834,1.0267983929779234e-07,7.028901514161134e-07
1835,6.958040899007756e-08,4.931133332775062e-07
1836,1.1694105372939134e-07,6.162927999042722e-07
1837,7.862416850912268e-08,8.286848043326245e-07
1838,4.1660269900489766e-08,5.952368766770633e-07
1839,9.50840624014404e-08,5.872839174969613e-07
1840,5.6690229399691816e-08,5.471562403158714e-07
1841,7.255219980351058e-08,5.508830511757878e-07
1842,9.056157512787877e-08,9.404987899586104e-07
1843,1.1636614738463891e-07,6.01323543847343e-07
1844,4.8299337418455934e-08,5.323904339604724e-07
1845,7.644912036752771e-08,5.228673458645972e-07
