year,aucun_DET an_NOUN,aucun_DET camp_NOUN
1800,3.144164484325529e-09,0.0
1801,1.4287095950749062e-08,2.8574191901498125e-08
1802,0.0,1.7902721083373763e-08
1803,1.950339223455444e-09,3.900678446910888e-09
1804,0.0,7.4155526164076946e-09
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,2.8469551160981155e-09
1808,9.064295980465431e-09,0.0
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,0.0,1.7549536934780008e-08
1812,0.0,0.0
1813,0.0,1.1502966579257645e-08
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,1.8540831092650478e-08
1817,3.113746815941454e-09,1.556873407970727e-09
1818,2.384235475716423e-09,1.668964877410417e-08
1819,2.070210003424222e-09,8.280840013696888e-09
1820,0.0,0.0
1821,1.97229765852569e-09,6.903041693817613e-09
1822,3.0076847679083585e-09,0.0
1823,8.894418535021487e-09,0.0
1824,0.0,1.0105335235266466e-08
1825,7.044354211060977e-09,1.4088708866211164e-08
1826,6.1655889282974385e-09,2.642395191543301e-09
1827,0.0,4.608636583469661e-09
1828,9.172301251858528e-10,9.172301251858528e-10
1829,1.714635211591542e-09,1.0287811491593857e-08
1830,1.0436835840010872e-09,1.0436835395921662e-08
1831,3.1182412207897414e-09,7.795603274018958e-09
1832,5.411987746839486e-09,0.0
1833,1.1583628500844156e-09,8.108539617524002e-09
1834,0.0,1.4001796166951408e-08
1835,9.832014313815307e-09,1.739510224751939e-08
1836,1.3441500135158435e-09,2.016224964762614e-09
1837,0.0,1.3915781860163179e-09
1838,1.8936485712828244e-09,3.787297142565649e-09
1839,6.9914751765765e-10,6.292327547896548e-09
1840,7.0066574764382494e-09,9.554533164646273e-09
1841,0.0,7.0626033910059505e-09
1842,6.708265054555795e-10,4.024959032733477e-09
1843,1.7720733769266417e-09,7.678984559333912e-09
1844,2.1954245643662773e-09,1.4819115712327857e-08
1845,1.674068439427856e-09,1.1160455892778032e-09
1846,4.0981511517657054e-09,1.3465353276842507e-08
1847,2.1572894581822766e-09,1.6179670936367074e-09
1848,1.6090443422100975e-09,8.84974404868899e-09
1849,8.379414939696517e-10,5.02764896381791e-09
1850,8.82569484161877e-09,8.146795238417326e-09
1851,6.449438760824933e-10,5.8044946626978344e-09
1852,3.906327261660181e-09,0.0
1853,5.971931837933653e-10,1.4332636411040767e-08
1854,5.7152309551611324e-09,2.5978321716024766e-09
1855,5.306937111981824e-10,3.1841622671890946e-09
1856,2.0708756931497874e-09,1.0354378687793542e-08
1857,1.9526036343364694e-09,5.857811125054013e-09
1858,4.893676019968041e-10,5.8724113904951025e-09
1859,1.018434669930457e-09,0.0
1860,9.154367819341758e-10,5.950338888283113e-09
1861,9.431927461278633e-10,8.017138064531082e-09
1862,3.162590411776023e-09,1.0391368654438793e-08
1863,9.989241656072068e-10,1.3485475847119233e-08
1864,1.9178911792039344e-09,1.0548401263577034e-08
1865,3.294791106611683e-09,1.2237795665726026e-08
1866,1.9462451650298362e-09,0.0
1867,4.85281148598915e-10,1.455843445796745e-08
1868,4.93987406535723e-10,9.87974813071446e-10
1869,1.4650557433881772e-09,9.767038289254515e-10
1870,2.2936195165357276e-09,1.2614907340946502e-08
1871,4.248470908407853e-09,1.5931766128574054e-08
1872,3.0236697590169115e-09,1.4513614199351821e-08
1873,4.190203295451056e-09,5.387403856360606e-09
1874,5.974609140757536e-10,7.169530913397892e-09
1875,1.1443054281912168e-09,9.7265964171811e-09
1876,1.209202959984168e-09,6.04601479992084e-09
1877,3.0924081073635534e-09,5.566334504436554e-09
1878,1.8117265465633636e-09,1.268208649207736e-08
1879,6.10932526790009e-10,4.887460214320072e-09
1880,1.9253538763308597e-09,1.2193908105473383e-08
1881,6.972507571312292e-10,7.669758161910067e-09
1882,3.9932310791357395e-09,1.2645231528551903e-08
1883,0.0,5.0554711528150165e-09
1884,6.601696966868076e-10,1.5183903911974994e-08
1885,6.445635691854079e-10,1.160214413431504e-08
1886,1.2906927748801422e-09,2.5813855497602844e-09
1887,1.3057849246322917e-09,5.8760321608453125e-09
1888,1.268122939990235e-09,4.438430289965822e-09
1889,6.265136742733546e-10,5.6386229019267375e-09
