year,en_ADP or_NOUN,en_ADP cor_NOUN
1800,6.980045327509288e-06,8.489244462950296e-08
1801,6.350614057737403e-06,1.1191557991452328e-07
1802,7.655650733795483e-06,6.265952379180817e-08
1803,5.9017265812144615e-06,4.290746136170753e-08
1804,7.0299442995747086e-06,1.0381774218082285e-07
1805,6.606847819057293e-06,7.960057835099121e-08
1806,6.8151475716149434e-06,8.356840730527892e-08
1807,6.0241568462515716e-06,8.825560815495237e-08
1808,6.4809714785951655e-06,9.517510513035177e-08
1809,7.76654724177206e-06,8.584315680515431e-08
1810,5.911160315008601e-06,7.722418615685456e-08
1811,9.31880458665546e-06,8.022645658911642e-08
1812,6.8013810050615575e-06,6.934741492159446e-08
1813,6.634335932176327e-06,1.6104153610640992e-07
1814,5.903166311327368e-06,5.978686656860077e-08
1815,1.0122679668711498e-05,7.012781111370714e-08
1816,5.3258536354405805e-06,9.733936501277185e-08
1817,5.930131010245532e-06,1.7904043980720985e-07
1818,5.1046481530647725e-06,1.0252212656602921e-07
1819,7.2146817728935275e-06,8.798392436837332e-08
1820,6.727108029735973e-06,1.3765117756747713e-07
1821,6.427718290069606e-06,5.719663043191048e-08
1822,8.022498150239699e-06,8.822541985864518e-08
1823,6.740980552422116e-06,9.190898964117622e-08
1824,6.967628451093333e-06,9.263224143296611e-08
1825,7.2732959779386874e-06,8.012952990021915e-08
1826,8.379035534744617e-06,8.455664612938563e-08
1827,7.899203410488553e-06,5.253845480890362e-08
1828,6.4774790189403575e-06,4.7695967453353916e-08
1829,6.618492079724092e-06,9.516225418781943e-08
1830,8.751287168706767e-06,6.992679901784982e-08
1831,6.476586804637918e-06,1.0602020061867279e-07
1832,7.179001840995625e-06,6.088486070865429e-08
1833,7.363712484220741e-06,8.108540028306521e-08
1834,6.873015081509948e-06,5.13399209811638e-08
1835,7.255270247696899e-06,6.126101226300307e-08
1836,6.864574061182793e-06,4.77173258683905e-08
1837,7.021207693469478e-06,4.661786867643514e-08
1838,7.056365575408563e-06,6.059675317082736e-08
1839,7.455709237547126e-06,4.05505558020991e-08
1840,7.969754733494483e-06,3.503328693810204e-08
1841,7.788125003571622e-06,5.072233211222965e-08
1842,7.114786058082245e-06,4.226206984370151e-08
1843,7.359420578723075e-06,3.189732067365725e-08
1844,6.799778475397034e-06,4.445734669289436e-08
1845,7.008766260696575e-06,4.5757867994655754e-08
1846,7.009009095781948e-06,4.0396060052572125e-08
1847,8.276440894405823e-06,4.7460368080010085e-08
1848,6.6855791374109685e-06,2.976732016435335e-08
1849,5.945194970990997e-06,4.776266360195791e-08
1850,7.818886842869688e-06,3.326607966869233e-08
1851,7.19241415936267e-06,5.482022924496732e-08
1852,8.220215022447519e-06,3.645905555238471e-08
1853,8.5852489064564e-06,2.6873693936835252e-08
1854,7.341993295995053e-06,3.6889218457680784e-08
1855,7.917419679870363e-06,4.2986190607052777e-08
1856,8.091428753687069e-06,4.089979388499643e-08
1857,8.515304216416553e-06,4.3933582771771285e-08
1858,8.358888408110943e-06,4.3553717632427436e-08
1859,7.205934707599226e-06,2.6479301196147276e-08
1860,8.530039849574678e-06,4.165237527109511e-08
