year,mon_DET or_NOUN,mon_DET corps_NOUN
1800,1.1633408414368773e-07,3.5780592924083976e-06
1801,1.0715321963061797e-07,3.2407894394737013e-06
1802,1.0070280609397742e-07,2.8957650215488684e-06
1803,9.361628405812894e-08,2.49448386568929e-06
1804,1.3842365897964726e-07,3.4185698751798554e-06
1805,1.0518647619583987e-07,3.1868658822986617e-06
1806,1.210301006082659e-07,2.870142452593427e-06
1807,1.1387820464392462e-07,3.2170593442515383e-06
1808,4.305540501903238e-08,3.0977232370332786e-06
1809,1.0165637687187257e-07,2.9299624770828814e-06
1810,6.318342293809565e-08,3.6693186729053195e-06
1811,9.777599174753959e-08,2.4544281416183367e-06
1812,8.001624962616916e-08,2.832575134448234e-06
1813,3.7384642270765767e-08,3.261091109152403e-06
1814,7.866693074731756e-08,2.7439024989917016e-06
1815,1.4295284955778698e-07,3.821965776751313e-06
1816,5.0987283728431976e-08,4.412717899526797e-06
1817,7.161617898709949e-08,4.541399576396543e-06
1818,8.225612324608278e-08,3.0744716497110858e-06
1819,9.212434293193184e-08,3.920977775351275e-06
1820,2.088500679064964e-07,3.726075092913561e-06
1821,1.8145138369618508e-07,4.575730613964879e-06
1822,8.120748873352568e-08,4.397235102260311e-06
1823,1.413224272051039e-07,4.241649293135197e-06
1824,1.381062544325573e-07,4.597927329541562e-06
1825,6.427973353595462e-08,4.3648580856370245e-06
1826,7.134467594482885e-08,4.907808801135616e-06
1827,5.806882030778837e-08,3.0085178295280457e-06
1828,1.1190207510614059e-07,3.5469289230150025e-06
1829,9.77342076158294e-08,3.6933243023895557e-06
1830,1.0436835840010872e-07,3.636193653733244e-06
1831,8.263339257297275e-08,3.872855700137734e-06
1832,1.637126312292736e-07,3.6111488128653946e-06
1833,2.2356402618051163e-07,3.611775369449788e-06
1834,1.3255034403414356e-07,3.6712710880237864e-06
1835,1.0890846624533879e-07,4.785922016026234e-06
1836,1.2298972573709932e-07,5.835627320038839e-06
1837,1.6072728514782142e-07,3.9701725711438485e-06
1838,9.278878199125984e-08,4.022740654363588e-06
1839,1.0836786323853431e-07,3.985140949680499e-06
1840,1.0127805277759805e-07,3.2587326472821587e-06
1841,1.1107548747446572e-07,7.341255141568581e-06
1842,1.422152213770289e-07,4.499904235899521e-06
1843,8.919435912080331e-08,5.084669169264089e-06
1844,7.46444339672081e-08,4.34858708331376e-06
1845,1.2778722091599803e-07,3.979260569053622e-06
1846,8.606117085641074e-08,4.221680754312729e-06
1847,1.2512278502185836e-07,3.366989417941113e-06
1848,9.010648333029891e-08,3.839984287878906e-06
1849,5.530413860199701e-08,2.9436885284894743e-06
1850,1.1405512978512888e-07,3.7685716591795426e-06
1851,6.578427780290497e-08,2.891283500616737e-06
1852,9.375185161530908e-08,3.909582488859087e-06
1853,7.70379240400132e-08,3.560465785312772e-06
1854,8.313062949127925e-08,4.3487713128342875e-06
1855,1.475328552658084e-07,4.121898044218142e-06
1856,1.0250834381331231e-07,4.633584367752519e-06
1857,9.323682181872073e-08,5.20368885759126e-06
1858,7.634134790990288e-08,4.113134835392884e-06
1859,1.5989423940432346e-07,4.023325956836743e-06
1860,9.200139317044886e-08,3.83934190040236e-06
1861,9.007490908707894e-08,3.978387098868552e-06
1862,1.084316711974509e-07,4.2193473888119115e-06
1863,1.2536498195103718e-07,4.850775965792309e-06
1864,1.1027873991764636e-07,4.07503915766938e-06
1865,7.53095128480652e-08,3.7151122427303562e-06
1866,1.196940804248925e-07,3.7951781735046097e-06
1867,1.0142376005717324e-07,3.4353053308677772e-06
1868,5.829051508143834e-08,3.1047108990378547e-06
1869,1.4455216934550208e-07,3.5727825178355488e-06
1870,8.429052034131246e-08,3.5356145104969983e-06
1871,8.072094637157079e-08,3.095011109621737e-06
1872,6.10781268894911e-08,2.9033276689460763e-06
1873,7.183205408267668e-08,3.1749767828159747e-06
1874,8.42419886071255e-08,3.3762516693514044e-06
1875,1.1900776364370813e-07,3.379133957537306e-06
1876,9.61316373171428e-08,2.83316263960387e-06
1877,6.617753400828263e-08,2.6180326102576146e-06
1878,4.5897075418022126e-08,2.520111777926104e-06
1879,9.713827386903517e-08,2.8994858496389497e-06
1880,6.417846365458502e-08,2.8739114696918477e-06
1881,8.227558789819511e-08,2.3267256636927414e-06
1882,8.119569905318258e-08,2.769305808669742e-06
1883,7.835980098125361e-08,2.369752095887634e-06
1884,7.790002776175697e-08,2.4347059408569294e-06
1885,5.47879024370701e-08,2.417113293518014e-06
1886,7.227879655902214e-08,2.2309625222760587e-06
1887,7.051238926081282e-08,2.2890410775744385e-06
1888,4.818867194167353e-08,2.538782112537774e-06
1889,7.392861539612383e-08,2.3563178785934724e-06
1890,6.554386544621593e-08,2.072496918970046e-06
1891,4.84440720871504e-08,2.0524989636783175e-06
1892,6.080456849133498e-08,2.145084877724912e-06
1893,5.419406545748018e-08,1.864768485404511e-06
1894,5.6713854723611234e-08,1.8929823468738505e-06
1895,6.680662156810513e-08,2.1257747135905447e-06
1896,5.66114787270422e-08,2.470855207548084e-06
1897,6.059781965106481e-08,1.9257288528251593e-06
1898,4.470100434250668e-08,2.0924595531823798e-06
1899,6.356714976618605e-08,2.069525265824268e-06
1900,6.281174180777782e-08,2.0499468575962965e-06
1901,3.409130805431815e-08,1.7185372200856364e-06
1902,2.700656170917526e-08,2.009779201728179e-06
1903,3.6181477369723325e-08,1.9478594595057075e-06
1904,2.6335664315979557e-08,1.8848810441340902e-06
1905,3.6641388589941926e-08,1.891934211073476e-06
1906,3.755254707193956e-08,2.0653901486866744e-06
1907,3.291419647943883e-08,2.269022473910809e-06
1908,4.7149335324903063e-08,2.43801352439732e-06
1909,5.500983568662576e-08,2.2130457608682264e-06
1910,7.214603336969105e-08,2.6966585267018672e-06
1911,2.7133907565257687e-08,2.8118177937130895e-06
1912,5.730363239475622e-08,2.250990974062006e-06
1913,3.234823792164221e-08,2.552328936644699e-06
1914,3.482306887292452e-08,2.3860497577743445e-06
1915,3.416420912838447e-08,1.863716583727637e-06
1916,3.955486338469427e-08,1.841498672661146e-06
1917,3.289927352767563e-08,2.6209754935280216e-06
