year,on_PRON osera_VERB,on_PRON causera_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,4.286128785224719e-08,1.4287095950749062e-08
1802,3.1329761895904085e-08,0.0
1803,4.4857802805609026e-08,0.0
1804,2.471850879537385e-08,0.0
1805,4.8328921309348516e-08,0.0
1806,8.356840552892209e-08,0.0
1807,3.701041606518629e-08,2.2775640928784924e-08
1808,3.6257184365950934e-08,0.0
1809,4.969867184456689e-08,0.0
1810,9.360507036149102e-09,0.0
1811,1.2535384286138651e-08,0.0
1812,4.267533171287141e-08,2.400487453257938e-08
1813,4.888760907206802e-08,0.0
1814,2.8320094269673746e-08,0.0
1815,5.3944470224109864e-08,5.394447111228828e-09
1816,4.1716871734820415e-08,2.3176038865813098e-09
1817,5.604744135467854e-08,0.0
1818,4.4108355412575406e-08,1.7881765401739358e-08
1819,3.62286756150354e-08,0.0
1820,5.577246131593938e-08,7.119888678630559e-09
1821,8.678109786330879e-08,2.5639868894700157e-08
1822,6.215881853677274e-08,0.0
1823,2.9648060007048116e-08,1.581229902569703e-08
1824,4.12634522106714e-08,4.210556348027694e-09
1825,2.2013607603454943e-08,2.0252519217223153e-08
1826,5.2847904719044436e-08,2.642395191543301e-09
1827,7.373818533551457e-08,2.7651818612639545e-09
1828,8.071625146044425e-08,1.8344602503717056e-09
1829,7.544394797776022e-08,0.0
1830,5.114049628218709e-08,1.0436835840010872e-09
1831,4.989185953263586e-08,0.0
1832,8.929779493627166e-08,9.470978667991403e-09
1833,4.40177885252524e-08,1.7375443306377747e-08
1834,6.347480763224667e-08,4.667265685043276e-09
1835,5.8235777089521434e-08,9.832014313815307e-09
1836,3.6292051308617346e-08,2.0162250202737653e-09
1837,4.800944797267448e-08,4.87052354003481e-09
1838,2.6511079775914936e-08,1.199310784016916e-08
1839,4.474544290644644e-08,1.2584655095793096e-08
1840,5.987507234461731e-08,1.46502836528839e-08
1841,4.6227951244759424e-08,2.8892468861840825e-08
1842,4.360372285461267e-08,1.8783141708667017e-08
