year,en_ADP hôtes_NOUN,en_ADP côtes_NOUN
1800,0.0,3.144164395507687e-08
1801,2.3811825844433088e-09,4.0480102825313224e-08
1802,0.0,4.923248297927785e-08
1803,2.3404069793286908e-08,5.265916058760922e-08
1804,0.0,7.415552971679062e-08
1805,0.0,5.970043304159844e-08
1806,8.645007376628655e-09,2.305335300434308e-08
1807,2.8469551160981155e-09,1.9928686256776018e-08
1808,0.0,2.7192887941396293e-08
1809,1.129515236897305e-08,4.2921579401777876e-08
1810,9.360507036149102e-09,4.914266327205041e-08
1811,0.0,6.016984421819416e-08
1812,0.0,2.1337665856435706e-08
1813,5.751483289628823e-09,1.4378708002027452e-08
1814,1.5733386149463513e-08,3.1466772298927026e-08
1815,8.091670666843243e-09,5.1247248222807684e-08
1816,1.1588019432906549e-08,4.6352077731626196e-08
1817,1.8682481339737933e-08,6.227493543065066e-08
1818,2.98029441125891e-08,2.384235386898581e-08
1819,4.140420006848444e-09,5.2790355198339967e-08
1820,2.3732962262101864e-09,1.779972080839798e-08
1821,6.903041693817613e-09,3.0570614484304315e-08
1822,2.0051231786055723e-09,5.413832582235045e-08
1823,3.9530747564242574e-09,2.075364236020505e-08
1824,8.421112696055388e-09,5.221090049190025e-08
1825,5.283265824829186e-09,3.522177394188475e-08
1826,8.807984341885344e-10,4.492072136486058e-08
1827,0.0,5.8068820862899884e-08
1828,0.0,5.870272801189458e-08
1829,2.571952872898464e-09,3.2578069852906566e-08
1830,1.878630406793036e-08,4.800944353178238e-08
1831,1.5591206103948707e-09,3.118241287403123e-08
1832,2.705993873419743e-09,5.411987658021644e-08
1833,1.0425265983826648e-08,4.401778908036391e-08
1834,1.120143711119681e-08,4.760610750054184e-08
1835,1.285724948729694e-08,4.235329242874286e-08
1836,1.4785650037651976e-08,4.099657502365517e-08
1837,1.3219993100221927e-08,3.409366655660051e-08
1838,8.2058102535143e-09,9.720729665652073e-08
1839,1.3283802502428443e-08,9.019002789045771e-08
1840,3.1848443882154243e-09,6.11490094115652e-08
1841,6.420548537278137e-09,6.356343362767802e-08
1842,8.720745015011744e-09,4.427455024824667e-08
1843,2.953455480181333e-09,3.36693943836508e-08
1844,1.1525978393933656e-08,4.555505839221041e-08
1845,5.022205318283568e-09,4.9664027557128065e-08
1846,1.4050803187615202e-08,6.088681203664237e-08
1847,1.0786447290911383e-08,5.501087940729121e-08
1848,9.65426583121598e-09,2.815827571112095e-08
1849,6.535943697372204e-08,6.116972728342773e-08
1850,4.073397619208663e-09,5.906426636670403e-08
1851,8.384270167027807e-09,3.418202609850596e-08
1852,1.5625309046640723e-08,3.515694446676321e-08
1853,1.0749477752369785e-08,1.260077624465339e-07
1854,8.313063126763609e-09,3.27326857285648e-08
1855,2.175844215912548e-08,5.413075854221461e-08
1856,7.765783571755946e-09,5.901995692170203e-08
1857,2.4407544874094356e-09,6.736482305313984e-08
1858,9.787352261980686e-09,3.9149409047922745e-08
1859,2.2914779407301467e-08,5.855999418713509e-08
1860,8.696649622663699e-09,7.964300249851952e-08
1861,2.3579818320129675e-08,4.715963797252698e-08
1862,3.388489855371546e-08,4.021007882215599e-08
1863,2.6970951694238465e-08,5.094513255698985e-08
1864,1.965838514195184e-08,1.270602879577254e-07
1865,1.3179164426446732e-08,6.30717163496719e-08
1866,1.751620715140234e-08,7.24976345622963e-08
1867,1.844068364675877e-08,4.31900204489466e-08
1868,1.778354707937524e-08,2.3661996806367824e-07
1869,1.3673853160867111e-08,7.374113708547014e-08
1870,7.454262984651905e-09,4.587239033071455e-08
1871,4.036047429600842e-08,8.284518315804235e-08
1872,1.8142017887967654e-09,1.451361413273844e-07
1873,8.380406590902112e-09,8.739566226267925e-08
1874,2.3898437007119355e-08,9.021659508334778e-08
1875,1.2587359599081083e-08,7.8957071991681e-08
1876,1.934724735974669e-08,1.2757091383264196e-07
1877,2.5976227391311113e-08,7.978412952525105e-08
1878,1.268208649207736e-08,1.2984040154151444e-07
1879,8.55305515301552e-09,1.4295821415544196e-07
1880,1.0910338410496934e-08,1.1359587626103007e-07
1881,1.324776466304911e-08,1.1644087294371275e-07
1882,1.6638463051776853e-08,4.9249848643739824e-08
1883,1.7062214752172622e-08,7.709593319304986e-08
1884,1.386356363042296e-08,8.648223115415021e-08
1885,2.2559724977000428e-08,1.0828667740270248e-07
1886,2.8395241713496944e-08,5.485444276587259e-08
1887,5.223139698529167e-09,9.271072798355817e-08
1888,2.0924028731883482e-08,7.481925479169149e-08
1889,1.4409814674820609e-08,9.460356409363158e-08
1890,3.080561788992853e-08,9.962667490981403e-08
1891,1.211101796627645e-08,7.075384189647593e-08
1892,2.0686091062316336e-08,8.274436424926535e-08
1893,9.23762488724833e-09,7.451684069792464e-08
1894,2.2685540557176864e-08,8.759139547009909e-08
