year,son_DET épi_NOUN,son_DET epi_NOUN,son_DET képi_NOUN
1800,1.5720822510445487e-07,0.0,0.0
1801,1.0000967165524344e-07,0.0,7.143547975374531e-09
1802,2.0364345232337655e-07,2.2378401354217203e-09,0.0
1803,3.3740867877440905e-07,0.0,0.0
1804,1.5572660316820475e-07,2.4718509461507665e-09,0.0
1805,6.908192800025859e-07,8.528632911009026e-09,0.0
1806,8.93317455563647e-08,2.881669125542885e-09,0.0
1807,7.686778502602465e-08,2.8469551160981155e-09,0.0
1808,1.2916622083025686e-07,2.2660739951163578e-09,0.0
1809,3.1174620751528437e-07,6.7770917766551975e-09,0.0
1810,5.616304044053777e-08,2.3401267590372754e-09,0.0
1811,4.512738271955641e-08,0.0,0.0
1812,1.5203086789483677e-07,5.3344164641089264e-09,0.0
1813,5.176335093892703e-08,2.8757416004054903e-08,0.0
1814,2.8320094713762956e-08,9.440030979135372e-09,0.0
1815,4.989863668924954e-07,0.0,8.091670444798638e-09
1816,1.738202950463119e-07,0.0,0.0
1817,1.8682480629195197e-07,9.341240669868967e-09,0.0
1818,2.193496628777325e-07,4.768470951432846e-09,3.5763532135746345e-09
1819,1.4698491312969963e-07,0.0,0.0
1820,1.4714436957774524e-07,8.306536791735653e-09,1.1866481131050932e-09
1821,7.198886620152223e-08,0.0,0.0
1822,7.418955760840618e-08,0.0,0.0
1823,1.0376821180102525e-07,3.9530747564242574e-09,0.0
1824,7.410578906075216e-08,0.0,0.0
1825,2.218971584255769e-07,8.805443041381977e-10,0.0
1826,2.0346444173924283e-07,0.0,0.0
1827,1.981713775300875e-07,2.7651818612639545e-09,0.0
1828,5.595103580446903e-08,4.586150570418113e-09,0.0
1829,9.087566416043913e-08,8.57317605795771e-10,0.0
1830,7.72325876585711e-08,1.0436835840010872e-09,0.0
1831,1.5903029648711708e-07,3.1182412207897414e-09,0.0
1832,5.4119875803060324e-08,0.0,0.0
1833,9.961920222067988e-08,0.0,0.0
1834,7.280934077869006e-08,1.8669061851994684e-09,0.0
1835,5.52105419160398e-08,1.5126175867408165e-09,7.563087933704082e-10
1836,1.0618785140081854e-07,6.720750067579218e-10,2.016224964762614e-09
1837,5.914207434898344e-08,6.957890930081589e-10,0.0
1838,8.837026332919606e-08,1.8936485712828244e-09,1.2624323808552163e-09
1839,5.7330096336905e-08,0.0,0.0
1840,9.044957760551142e-08,1.2739377330817092e-09,0.0
1841,1.194222050138194e-07,4.494383976094696e-09,0.0
1842,1.0934471816881342e-07,6.708265054555795e-10,2.0124795163667386e-09
1843,5.493427157610142e-08,2.3627644285539873e-09,7.088293507706567e-09
1844,4.3359635215622916e-08,5.488561272137815e-10,5.488561272137815e-10
1845,7.756517028667531e-08,1.674068439427856e-09,2.7901139176833567e-09
1846,1.0596647559424355e-07,1.1709002656346001e-09,5.854501328173001e-10
1847,1.0301057518091739e-07,2.6966118227278457e-09,3.235934187273415e-09
1848,7.079795438791336e-08,8.045221711050488e-10,3.781254065415851e-08
1849,8.798385442432277e-08,0.0,4.4410899846525353e-08
1850,5.363306865291406e-08,0.0,6.1100964288129944e-09
1851,1.6123596680017727e-07,2.579775504329973e-09,1.483370937194195e-08
1852,7.552232794694191e-08,0.0,2.539112742283578e-08
1853,1.0510600034763229e-07,1.1943863675867306e-09,2.7470885566316383e-08
1854,5.039794626071625e-08,3.6369650624479277e-09,1.6626126253527218e-08
1855,9.870903028286193e-08,5.306937111981824e-10,3.449509122788186e-08
1856,6.937433827403083e-08,1.0354378465748937e-09,3.882891874695815e-08
1857,9.811832946127197e-08,4.881509085841174e-10,3.0753508184488965e-08
1858,5.725600793482499e-08,1.468102750479261e-09,3.52344677878591e-08
1859,6.110608063991663e-08,3.5645213447565993e-09,4.735721348403388e-08
1860,4.2567809721560934e-08,1.8308735638683515e-09,4.3025528917439715e-08
