year,ancien_ADJ or_NOUN,ancien_ADJ corps_NOUN
1886,2.5813855497602844e-09,1.4972036854743465e-07
1887,6.528924623161458e-10,1.2404957072664757e-07
1888,0.0,1.4583414453817056e-07
1889,6.265136742733546e-10,1.860745673099018e-07
1890,6.554386478008212e-10,1.468182573849397e-07
1891,4.461953917456185e-09,1.650922927254328e-07
1892,2.5074049503359674e-09,1.5169799971737064e-07
1893,3.695050043717174e-09,1.1639407038188665e-07
1894,0.0,1.411544767737638e-07
1895,2.4074457982692365e-09,1.6370630695483612e-07
1896,4.1279202278587945e-09,1.5921978441246765e-07
1897,6.992056267307589e-09,1.5673859721232475e-07
1898,5.6583548957434e-10,1.3919552921404232e-07
1899,0.0,2.0009833967549184e-07
1900,2.07642125715779e-09,1.318527469429398e-07
1901,5.588738916095792e-10,1.598379348877188e-07
1902,4.910283846193408e-10,1.4632645728429594e-07
1903,5.400220270956879e-10,1.830674665193044e-07
1904,5.374625189347171e-10,1.203916024650198e-07
1905,5.160759042333041e-10,1.2230999113516106e-07
1906,1.0288369045596824e-09,1.4095065470343116e-07
1907,0.0,9.154261348953696e-08
1908,0.0,1.831948179820131e-07
1909,0.0,9.07662307536583e-08
1910,0.0,1.7475373137454397e-07
1911,2.6601871816467337e-09,1.4790640412432055e-07
1912,0.0,1.0887690193861488e-07
1913,5.30298971401777e-10,1.166657767059931e-07
1914,2.678697486047099e-09,1.1585366865851654e-07
1915,1.1780761921542648e-09,1.1545146660907335e-07
1916,0.0,1.351457843412618e-07
1917,0.0,1.1185753057141312e-07
1918,0.0,1.2749878131046444e-07
1919,9.207848372660976e-10,8.931612693885427e-08
1920,0.0,1.196412640069866e-07
1921,1.5145494858259667e-09,8.254294758813785e-08
1922,7.377935484775833e-10,1.003399257015758e-07
1923,0.0,8.280439889318814e-08
1924,0.0,1.1473545991069756e-07
1925,1.0998177923937646e-09,8.358614977943546e-08
1926,0.0,6.018914877614634e-08
1927,3.344767462998277e-09,1.1483701634062982e-07
1928,0.0,1.10832600874744e-07
1929,0.0,6.907051997018243e-08
1930,0.0,6.617270220665716e-08
1931,0.0,6.158892418284267e-08
1932,0.0,6.246936046228058e-08
1933,1.1470662197865522e-09,8.373583204601687e-08
1934,2.3963160344919743e-09,1.0903237601667115e-07
1935,1.196828414151696e-09,8.258116057646703e-08
1936,2.424942913137329e-09,9.69977138609579e-08
1937,1.2591118148108649e-09,7.932404599841902e-08
1938,0.0,8.038432985912891e-08
1939,6.117620188206274e-09,7.95290642230384e-08
1940,0.0,1.4961118655065775e-07
1941,0.0,5.6078551580185376e-08
1942,0.0,9.102635623037258e-08
1943,0.0,7.548411495861274e-08
1944,0.0,1.3816700672464322e-07
1945,0.0,6.535511953842388e-08
1946,0.0,6.542919273044845e-08
1947,1.1920870957027319e-09,6.198852897654206e-08
1948,1.0871887834440486e-09,6.631851245941789e-08
1949,0.0,7.166416160497846e-08
1950,2.1270722960764488e-09,1.5740334369240827e-07
1951,1.0661401761424827e-09,7.782823052693288e-08
1952,0.0,1.233742088491141e-07
1953,1.0773827385790469e-09,1.0450612597523445e-07
1954,9.772536113672459e-10,7.133951296367513e-08
1955,0.0,9.385607935286089e-08
1956,8.72114158667614e-10,9.680467449868502e-08
1957,0.0,7.951534264361015e-08
1958,0.0,1.0671194267120043e-07
1959,1.5501495642666896e-09,5.2705084740978236e-08
1960,6.920833350854139e-10,7.26687519603253e-08
1961,1.3896318540318475e-09,7.851420197324543e-08
1962,6.341956404476434e-10,1.1922877996006775e-07
1963,2.5864211883330768e-09,5.431484573215073e-08
1964,1.825190498738749e-09,1.3141371313363237e-07
1965,1.6416130121932326e-09,8.755269570448476e-08
1966,1.1078149508847446e-09,9.194863925809926e-08
1967,1.4791006197611978e-09,8.923907346414239e-08
1968,4.4914158503495116e-10,9.252316376939795e-08
1969,1.8167030935156703e-09,1.0128119853902717e-07
1970,9.197450023812337e-10,8.553628738638963e-08
1971,1.0276794970565106e-09,7.758980513639102e-08
1972,5.130146862875051e-10,9.182962612541701e-08
1973,1.6539611902288698e-09,7.994145834189226e-08
1974,0.0,7.425754611212199e-08
1975,0.0,9.024138458713082e-08
1976,1.142705374768127e-09,1.0512889531133496e-07
1977,1.1753563677885381e-09,6.699531351905819e-08
1978,0.0,5.465344021793328e-08
1979,1.7555920051037788e-09,4.974177458816342e-08
1980,1.1370301367108482e-09,5.116635587443241e-08
1981,6.325549528618524e-10,6.515315920108122e-08
1982,3.7245013739806154e-09,5.152226723037501e-08
1983,6.315316047889041e-10,5.873243935639039e-08
1984,0.0,4.813177023610393e-08
1985,0.0,4.631979566571687e-08
1986,5.994485463567401e-10,5.33509199041049e-08
1987,6.110816852533674e-10,5.805275826720191e-08
1988,0.0,5.3369330232921897e-08
1989,1.0976244357863152e-09,5.7625283211848455e-08
1990,5.44865097484859e-10,6.320435153028825e-08
1991,0.0,6.388996875994479e-08
1992,1.1019888335184191e-09,6.832330440298406e-08
1993,1.661762283333701e-09,4.929894592553552e-08
1994,1.0549853213248639e-09,4.694684752060141e-08
1995,5.422450821690461e-10,4.446409707092869e-08
1996,0.0,6.725995849166111e-08
1997,9.58978896292706e-10,6.760801218863577e-08
1998,0.0,5.2926235616368444e-08
1999,1.8280804925385752e-09,5.758453403004182e-08
2000,1.3254094488601709e-09,5.169096883861357e-08
2001,4.3812117822561447e-10,5.3450785131303746e-08
2002,0.0,6.089898008099226e-08
2003,0.0,5.958699889063723e-08
2004,4.404791253964646e-10,6.563139087756298e-08
2005,0.0,6.440361843829123e-08
2006,4.1178899179428186e-10,7.165128707020685e-08
2007,3.994479469415779e-10,6.710725852787647e-08
2008,1.2772318758180745e-09,9.919834614846579e-08
2009,2.384096253749135e-09,9.011883506104823e-08
2010,0.0,9.636538039758946e-08
2011,0.0,1.7628510340372827e-07
2012,3.404252713057332e-10,1.9812751461678602e-07
2013,0.0,1.2690518580438237e-07
2014,2.1654451842767486e-10,1.338245170234842e-07
2015,4.433150790905671e-10,1.2922634110013043e-07
2016,1.035670049720494e-09,1.3629417705551816e-07
2017,0.0,1.0364318586697507e-07
2018,0.0,1.0867974536976632e-07
2019,7.65296326310505e-10,1.3367175771827888e-07
