year,en_ADP or_NOUN,en_ADP corps_NOUN
1800,6.980045327509288e-06,3.1881827453617007e-06
1801,6.350614057737403e-06,5.038582457927987e-06
1802,7.655650733795483e-06,4.140004421060439e-06
1803,5.9017265812144615e-06,4.444822934601689e-06
1804,7.0299442995747086e-06,4.619889296009205e-06
1805,6.606847819057293e-06,4.346759851614479e-06
1806,6.8151475716149434e-06,4.700002136814874e-06
1807,6.0241568462515716e-06,4.38431106886128e-06
1808,6.4809714785951655e-06,4.128786713408772e-06
1809,7.76654724177206e-06,4.450289907254046e-06
1810,5.911160315008601e-06,3.681019279611064e-06
1811,9.31880458665546e-06,4.257016371411737e-06
1812,6.8013810050615575e-06,3.085959860982257e-06
1813,6.634335932176327e-06,3.89375418308191e-06
1814,5.903166311327368e-06,5.632552074530395e-06
1815,1.0122679668711498e-05,5.650683306157589e-06
1816,5.3258536354405805e-06,4.855380211665761e-06
1817,5.930131010245532e-06,4.9524142013979144e-06
1818,5.1046481530647725e-06,4.893643108516699e-06
1819,7.2146817728935275e-06,5.350457740860293e-06
1820,6.727108029735973e-06,5.700657311535906e-06
1821,6.427718290069606e-06,4.946522494719829e-06
1822,8.022498150239699e-06,5.061933279648656e-06
1823,6.740980552422116e-06,5.9039170992036816e-06
1824,6.967628451093333e-06,5.434986178443069e-06
1825,7.2732959779386874e-06,4.948658897774294e-06
1826,8.379035534744617e-06,5.13681652591913e-06
1827,7.899203410488553e-06,5.405008778325282e-06
1828,6.4774790189403575e-06,4.621922471415019e-06
1829,6.618492079724092e-06,5.514266831596615e-06
1830,8.751287168706767e-06,4.409563189256005e-06
1831,6.476586804637918e-06,4.0459181036567315e-06
1832,7.179001840995625e-06,4.514950887823943e-06
1833,7.363712484220741e-06,4.247716788086109e-06
1834,6.873015081509948e-06,4.521646587818395e-06
1835,7.255270247696899e-06,4.599113708536606e-06
1836,6.864574061182793e-06,5.1850588533852715e-06
1837,7.021207693469478e-06,4.406432253745152e-06
1838,7.056365575408563e-06,4.934217031404842e-06
