year,en_ADP as_NOUN,en_ADP casse_NOUN
1800,3.4585810571030606e-07,5.0306631749208464e-08
1801,4.2861285987072506e-07,7.143547975374531e-09
1802,3.3343818017783633e-07,0.0
1803,3.003522337508002e-07,1.3652374342143503e-08
1804,2.4718509372689823e-07,4.2021465418429216e-08
1805,2.7860201168294907e-07,2.55858996212055e-08
1806,2.651135728726217e-07,5.76333825108577e-09
1807,2.5622595423158145e-07,2.2775640928784924e-08
1808,2.8099317894714204e-07,1.1330369531492579e-08
1809,2.1460790433636134e-07,1.8072244145628247e-08
1810,2.808152181899004e-07,1.6380887757350138e-08
1811,2.557218179433107e-07,1.7549536934780008e-08
1812,1.9737341272474396e-07,1.0668832928217853e-08
1813,2.50189524653166e-07,4.026038280535715e-08
1814,4.0277466961669006e-07,1.2586708564299443e-08
1815,2.022917642285904e-07,2.697223555614414e-09
1816,2.757948678322464e-07,1.622322720606917e-08
1817,3.720927379546879e-07,1.2454987263765815e-08
1818,1.4305412698867315e-07,2.5034472272977837e-08
1819,2.918996142575736e-07,1.6561680027393777e-08
1820,4.378731439658168e-07,4.746592452420373e-09
1821,4.339054879842763e-07,1.3806083387635226e-08
1822,3.8297854132451903e-07,8.02049271442229e-09
1823,3.281052071146817e-07,4.348382276475604e-08
1824,3.680026168240147e-07,1.1789557774477544e-08
1825,2.8969908849596493e-07,1.2327620479979373e-08
1826,2.8449789102324985e-07,5.284790716153509e-09
1827,2.6084881338261923e-07,4.608636472447358e-09
1828,2.2563861046265288e-07,9.172301251858528e-10
1829,2.777708928980438e-07,3.0006116702452346e-08
1830,3.214545323260154e-07,1.2524203008013046e-08
1831,2.2451337056139664e-07,1.4032085493553836e-08
1832,3.2877825006938366e-07,1.2176972319366541e-08
1833,2.9422415903646026e-07,1.3900354645102198e-08
1834,3.407103701391634e-07,2.800359300003663e-08
1835,4.3790279136146637e-07,1.8907719834260206e-08
1836,3.3536543780909867e-07,9.4090498725663e-09
1837,3.7920506068545023e-07,1.3915781416073969e-08
1838,2.7521026901844436e-07,1.9567702125300457e-08
1839,2.5868458308764275e-07,6.9914749545318955e-09
1840,3.4014138294846674e-07,1.2102408797343145e-08
1841,3.820226459616549e-07,1.7977535904378783e-08
1842,4.3268309024568907e-07,1.7441490030023488e-08
1843,3.3964738710423603e-07,1.2995204135002325e-08
