year,bien_ADV ouvrir_VERB,bien_ADV couvrir_VERB
1800,7.545995117652637e-08,1.0690159513160324e-07
1801,5.000483582762172e-08,1.7144515140898875e-07
1802,2.0140561218795483e-08,1.2308120744819462e-07
1803,3.90067853572873e-08,1.9503391968100914e-07
1804,5.438072037122765e-08,2.026917798048089e-07
1805,2.2743021688143017e-08,1.3930100806192058e-07
1806,4.3225035994964855e-08,1.0950342499427279e-07
1807,2.2775640928784924e-08,1.4519470425966574e-07
1808,1.8128591960930862e-08,7.931259204951857e-08
1809,2.0331274441787173e-08,1.807224379035688e-07
1810,1.4040760554223652e-08,9.594519667643908e-08
1811,1.0028307073639553e-08,2.8329966994533606e-07
1812,2.6672082320544632e-09,1.2535878113340004e-07
1813,1.00650957790549e-07,1.2940837734731758e-07
1814,3.4613449884091096e-08,1.6992056828257773e-07
1815,1.0788894222457657e-08,1.1058616422587875e-07
1816,6.025770460382773e-08,1.5296186006708012e-07
1817,3.42512151974006e-08,1.6035795624702587e-07
1818,2.741870730460505e-08,1.0252212234718172e-07
1819,3.3123360054787554e-08,7.556266723440785e-08
1820,4.034603762193001e-08,1.4121113167675503e-07
1821,7.001656854299654e-08,1.1143481515318854e-07
1822,8.120748873352568e-08,9.724847416237026e-08
1823,6.621399961659336e-08,1.383576204716519e-07
1824,7.157945702829238e-08,1.4147468618830317e-07
1825,3.434122675116669e-08,1.215151144151605e-07
1826,2.3781558056157337e-08,8.367585024871005e-08
1827,4.2399456390285195e-08,1.2904182256079366e-07
1828,4.494427585655103e-08,9.722639049414283e-08
1829,2.5719527840806222e-08,1.1145128553380346e-07
1830,4.4878394334091354e-08,1.1271782796029584e-07
1831,4.053713453799901e-08,1.7462150481151184e-07
1832,4.8707889277466165e-08,7.712082350508354e-08
1833,4.9809603552830595e-08,1.042526562855528e-07
1834,6.254136053485126e-08,8.58776871837108e-08
1835,4.235329242874286e-08,1.0588323107185715e-07
1836,6.04867480547e-08,9.879502727017098e-08
1837,7.792837664055696e-08,1.0645572956491378e-07
1838,7.132742751991827e-08,9.657608046609312e-08
1839,6.222413162504381e-08,6.362242288560083e-08
1840,7.197748175258312e-08,1.1975014047038712e-07
1841,6.548959419205858e-08,8.539329598988843e-08
1842,3.6224630406422875e-08,7.71450459069456e-08
1843,5.2571508035725856e-08,5.316219997553162e-08
1844,5.1043620885593555e-08,6.53138769735051e-08
1845,6.41726245476093e-08,7.365900955846882e-08
1846,7.669396495657566e-08,9.952652391120864e-08
1847,7.712309724183797e-08,6.148275133455172e-08
1848,5.63165514222419e-08,6.355725190587691e-08
1849,8.128032646936845e-08,8.211826951765033e-08
1850,7.332116069846961e-08,8.282574981421931e-08
1851,7.67483214758613e-08,7.932809609201286e-08
1852,6.380334838240742e-08,7.161600024119252e-08
1853,7.524634071387482e-08,5.6733352238325097e-08
1854,6.28675422831293e-08,7.118060096900081e-08
1855,6.474463276617826e-08,7.16436545644683e-08
1856,5.2807330064297275e-08,5.332504926514048e-08
1857,7.712784366731285e-08,5.8089959509288747e-08
1858,7.53626139271546e-08,7.683071601150004e-08
1859,6.772590666059841e-08,1.0999094257613251e-07
1860,6.31651388971477e-08,7.46080957014783e-08
1861,6.932466334319543e-08,4.7631232291678316e-08
1862,8.8100733819374e-08,5.873382136201144e-08
1863,6.243276118311769e-08,6.293222298836554e-08
1864,1.1747083306090644e-07,5.801620872603053e-08
1865,9.649031085245952e-08,6.118897744045171e-08
1866,8.70944703024179e-08,5.011581194480641e-08
1867,7.376273458703508e-08,3.688136729351754e-08
1868,7.558007553143398e-08,4.3964877960434023e-08
1869,8.888004998652832e-08,6.25090450512289e-08
1870,6.364793847524197e-08,6.651496420317926e-08
1871,1.1152236112366154e-07,5.416800519242315e-08
1872,7.861540751719076e-08,7.075387031818536e-08
1873,6.105724281724179e-08,7.003625057677709e-08
1874,8.48394492436455e-08,8.902167536462002e-08
1875,1.1271408340007838e-07,6.980263123068653e-08
1876,9.55270351710169e-08,5.74371412653818e-08
1877,9.895705943563371e-08,1.1318213211097827e-07
1878,7.911206267863236e-08,3.4422804162659304e-08
1879,6.59807142255886e-08,3.9710613464194466e-08
1880,6.995452395130997e-08,3.8507078414795615e-08
1881,8.2972839265949e-08,6.066081681410651e-08
1882,1.3710094037833187e-07,6.122954232523625e-08
1883,8.215140923084618e-08,6.508918914960304e-08
1884,7.591951600716129e-08,4.885255577846692e-08
1885,7.090199005688191e-08,6.058897383809381e-08
1886,9.034849313138693e-08,4.711028722681476e-08
1887,4.1785117588233334e-08,4.0479331886444925e-08
1888,7.22830080235326e-08,3.7409627395845746e-08
1889,9.02179664308278e-08,4.9494580878217675e-08
1890,1.035593086839981e-07,4.391439034634459e-08
1891,7.266611135037238e-08,5.290602800300803e-08
1892,7.459529882680727e-08,4.8894396087462155e-08
