year,rien_PRON omis_VERB,rien_PRON commis_VERB
1800,3.3956976608351397e-07,1.5720821977538435e-08
1801,2.2621235018505104e-07,2.3811825844433088e-09
1802,2.416867346255458e-07,0.0
1803,3.3155765777337365e-07,7.801356893821776e-09
1804,4.869546614827414e-07,1.9774807569206132e-08
1805,3.240880630528409e-07,1.421438877713399e-08
1806,4.495403800319764e-07,0.0
1807,3.017772485236492e-07,2.562259560079383e-08
1808,2.9685568847526156e-07,1.1330369531492579e-08
1809,3.7048101830805535e-07,2.710836710662079e-08
1810,5.241884082352044e-07,2.3401267590372754e-09
1811,3.6603321973416314e-07,3.5099073869560016e-08
1812,3.6274030890126596e-07,0.0
1813,1.9267469042461016e-07,8.627225156487839e-09
1814,2.926409763404081e-07,2.5173417128598885e-08
1815,4.2076686668224283e-07,1.3486118000116676e-08
1816,3.383701709935849e-07,5.0987285504788815e-08
1817,4.639482824586594e-07,1.2454987263765815e-08
1818,2.968373280509695e-07,1.0729059418679299e-08
1819,3.56076128582572e-07,2.070210003424222e-09
1820,2.8479553293436766e-07,5.933240565525466e-09
1821,4.408085203522205e-07,3.254291058851777e-08
1822,3.3184790027007693e-07,3.308453244699194e-08
1823,4.101315198568045e-07,3.063632902922109e-08
1824,3.69686858903151e-07,2.5263338088166165e-09
1825,2.9234070098027587e-07,7.924898959288385e-09
1826,3.347034009948402e-07,1.3211976401805714e-08
1827,3.170741820213152e-07,2.488663675137559e-08
1828,3.6414036230780766e-07,1.2841221419535032e-08
1829,3.480709551695327e-07,2.5719527840806222e-08
1830,2.7866352070304856e-07,4.174734336004349e-09
1831,2.697278773666767e-07,1.2472964883158966e-08
1832,1.569476495433264e-07,2.705993829010822e-08
1833,2.664234557414602e-07,2.3167257001688313e-09
1834,2.8283628239478276e-07,1.6802156110884425e-08
1835,2.38993578705049e-07,1.663879345414898e-08
1836,3.1587524063070305e-07,1.68018754465038e-08
1837,2.5883355192490853e-07,1.530736071231331e-08
1838,3.4590647146615083e-07,1.5780404538645598e-08
1839,2.92942814894559e-07,7.690622361167243e-09
1840,3.0192325084499316e-07,1.2739377552861697e-08
1841,2.439808497456397e-07,7.704658244733764e-09
1842,3.1059266802913044e-07,1.0062397137744483e-08
1843,3.4201013932033675e-07,1.2995204023980023e-08
1844,2.9748002816631924e-07,1.4819115712327857e-08
1845,2.7677930347635993e-07,1.7298706467272496e-08
1846,2.3886366307124263e-07,1.4636253098387897e-08
1847,2.0979639714369114e-07,8.089835468183537e-09
1848,1.4964112438065058e-07,1.287235473768078e-08
1849,1.7596771328953764e-07,3.854530916669319e-08
1850,2.2471576244242897e-07,1.3577992064028876e-08
1851,2.70231481636074e-07,4.514607354622058e-09
1852,2.578175894996093e-07,9.114764054629632e-09
1853,2.2335025562369992e-07,8.360704129017904e-09
1854,3.039463649656682e-07,1.558699302961486e-08
1855,2.138695691655812e-07,1.751289246954002e-08
1856,1.9725091249256366e-07,2.5368226630462232e-08
1857,2.4407546561633353e-07,9.274867096564776e-09
1858,2.2804530885878194e-07,8.808616946964776e-09
1859,2.0012241463973623e-07,1.629495471888731e-08
1860,1.8995312700553768e-07,2.746310379109218e-08
1861,1.5939957620503264e-07,8.017138064531082e-09
1862,1.8704463400354143e-07,1.1294965851504912e-08
1863,2.3025202722237736e-07,2.2975255475898848e-08
1864,2.1720117615586787e-07,1.0548401263577034e-08
1865,2.2310442204798164e-07,1.2708479601997169e-08
1866,2.2917036801572976e-07,1.6056523222118813e-08
1867,1.9847999510602676e-07,2.3778776281346836e-08
1868,1.6301584082611953e-07,1.3831646938911035e-08
1869,2.6077992743012146e-07,1.4650557211837167e-08
1870,1.7316827438662585e-07,6.307453670473251e-09
1871,1.2426777118434984e-07,4.248470908407853e-09
1872,1.7355863235479774e-07,8.4662747923403e-09
1873,1.6341792274943145e-07,7.781805422268917e-09
1874,1.523525270386017e-07,1.5533982988813477e-08
1875,1.813724139765327e-07,1.5448122780981066e-08
1876,2.0375070164391218e-07,9.673623679873344e-09
1877,1.2493327972151747e-07,1.608052180301911e-08
1878,1.1353486684129166e-07,1.268208649207736e-08
1879,1.478456681525131e-07,1.1607718342077078e-08
1880,1.5017759835700417e-07,1.2835692508872398e-09
1881,1.520006662758533e-07,2.091752326904839e-09
1882,1.2844893149122072e-07,1.1979693681496428e-08
1883,1.7188601475481846e-07,8.847074184359371e-09
1884,1.716441175858563e-07,7.2618666635548834e-09
1885,1.740321664556177e-07,9.66845359329227e-09
1886,2.142549959671669e-07,1.097088819790315e-08
1887,1.2404956351019791e-07,1.2404957061562527e-08
1888,1.6866034968643362e-07,6.340614699951175e-09
1889,1.6665264013226988e-07,4.385595886446936e-09
1890,1.3305404422681022e-07,6.554386478008212e-10
1891,1.6381746092974936e-07,1.6572972327821844e-08
1892,1.3101190177167155e-07,1.191017329205124e-08
1893,1.2994259179777146e-07,1.847524977449666e-08
1894,1.1279755085524812e-07,1.764431090123253e-08
1895,8.305688226073471e-08,1.5046536461227333e-08
1896,1.2265820714674192e-07,6.486732040400511e-09
1897,7.92433070273546e-08,9.322741689743452e-09
1898,9.279702339881624e-08,1.3014216371232123e-08
1899,1.0004917072592434e-07,1.1055156790007459e-08
1900,1.1005032973798734e-07,6.22926377147337e-09
1901,1.1177478143054032e-07,7.265360757457984e-09
1902,9.96787647977726e-08,7.856454153909453e-09
1903,1.009841170684922e-07,8.640352433531007e-09
1904,9.62057882247791e-08,4.837162670412454e-09
1905,9.547404289378392e-08,3.096455536422127e-09
1906,9.56818340114296e-08,8.745113966313056e-09
1907,1.0388543358885727e-07,7.199980611716228e-09
1908,9.429867020571692e-08,3.929111258571538e-09
1909,8.581534416407521e-08,1.2102163715610459e-08
1910,1.2024338502669707e-07,1.0153886620400954e-08
1911,9.895895658473819e-08,9.044636151145369e-09
1912,8.282979990781314e-08,9.897900277167082e-09
1913,9.227201758221781e-08,1.6969567084856862e-08
1914,8.170027143705738e-08,1.808120764223986e-08
1915,1.1662954335633913e-07,5.890381071793627e-09
1916,9.229468389548856e-08,2.5271162940043723e-08
1917,9.869781791849164e-08,3.289927441585405e-09
1918,9.993147642717304e-08,1.8378202071289707e-08
1919,7.458357487166722e-08,1.1970202606903513e-08
1920,9.238122800070414e-08,5.300562211374427e-09
1921,9.011569090944249e-08,1.2116395886607734e-08
1922,1.0107771686307387e-07,1.1804696775641332e-08
1923,1.0828266994167279e-07,3.290944050604594e-08
1924,9.281969681751434e-08,9.02413699321869e-09
1925,5.829034321891413e-08,4.399271169575059e-09
1926,8.582526334066642e-08,1.5604593173179637e-08
1927,1.0703256236865855e-07,1.8953683067479687e-08
1928,6.855624690160766e-08,1.0283437212876834e-08
1929,9.580749349424877e-08,2.0052731031228177e-08
1930,7.457558837131728e-08,1.2604324695075775e-08
1931,9.808606904471162e-08,7.983749661377715e-09
1932,8.438843224212178e-08,3.287861094491973e-09
1933,8.02946331646126e-08,8.02946331646126e-09
1934,6.11060571031885e-08,9.585264137967897e-09
1935,7.4203363453762e-08,2.393656828303392e-08
1936,8.729794842565752e-08,1.8187071404440758e-08
1937,7.932404599841902e-08,3.777335333410292e-09
1938,4.797129449229942e-08,1.6854778905894818e-08
1939,7.035263394072899e-08,9.176430282309411e-09
1940,6.593035806190528e-08,7.607348528892999e-09
1941,9.149658097840074e-08,8.854508237732261e-09
1942,6.068423630267716e-08,9.102635090130207e-09
1943,7.258088174921795e-08,8.709705845433291e-09
1944,5.1410978585408884e-08,2.2492303131116387e-08
1945,6.099811145077183e-08,1.742803235060819e-08
1946,3.897909195416105e-08,1.2528993842408909e-08
1947,3.9338875268413176e-08,1.7881307101674793e-08
1948,5.762100485640076e-08,3.2615663503321457e-09
1949,4.515823803785679e-08,2.7487622844546422e-08
