year,un_DET or_NOUN,un_DET corps_NOUN
1800,4.4961552170263985e-07,6.346181589833577e-05
1801,5.762461718905598e-07,4.732600245915819e-05
1802,6.019789964284428e-07,4.745339890632749e-05
1803,3.335080056565687e-07,5.708447724828147e-05
1804,6.67399774556543e-07,4.21178687020074e-05
1805,4.264316615376629e-07,4.90311117573583e-05
1806,4.2072369854651015e-07,6.748581176907464e-05
1807,4.128084847287994e-07,5.021174740704737e-05
1808,5.053345026873046e-07,4.61259368194078e-05
1809,2.6430655797327063e-07,5.374459556151123e-05
1810,3.5803939590906e-07,4.727290183836885e-05
1811,7.420947225611485e-07,5.636660512209346e-05
1812,4.4275655497472144e-07,4.800974704721739e-05
1813,4.486157074712338e-07,5.597918584498984e-05
1814,2.5488085952929396e-07,5.2536922794388374e-05
1815,2.8051123601713357e-07,5.7108314877041266e-05
1816,3.3373494900956757e-07,6.087186488912266e-05
1817,3.596377702308473e-07,5.6774500762912794e-05
1818,4.1128063266171466e-07,5.625961421173997e-05
1819,4.3370898339389896e-07,5.325201357209153e-05
1820,5.339916668845035e-07,4.826691292691976e-05
1821,3.9939027973723285e-07,4.7105369617383985e-05
1822,4.210758675071702e-07,4.549223535832425e-05
1823,3.3996441639594366e-07,4.694770461810549e-05
1824,3.9747652991195537e-07,5.143278883679159e-05
1825,3.971254782797473e-07,4.474750210192724e-05
1826,3.1796822663743285e-07,4.972723570517701e-05
1827,3.659257501453794e-07,4.8107714519574074e-05
1828,3.3754069272973197e-07,5.044765669026674e-05
1829,2.700550321144135e-07,4.496202222981083e-05
1830,2.661393030400916e-07,4.575404375373182e-05
1831,3.3677005895071943e-07,4.488240676892019e-05
1832,3.084832966848694e-07,4.434988613866153e-05
1833,3.312917766784551e-07,4.742916644318029e-05
1834,4.2005388944943434e-07,4.44379696773467e-05
1835,4.00843653380889e-07,4.851418407270103e-05
1836,3.803944532698722e-07,4.4272940272094274e-05
1837,3.0266826422931103e-07,4.4138772523183434e-05
1838,4.336455154962948e-07,5.036600191488105e-05
1839,2.712692359629898e-07,4.488946478886646e-05
1840,3.044711236466213e-07,4.716372166058136e-05
1841,3.890852333654493e-07,4.642441808755393e-05
1842,3.0790937222135994e-07,4.697328620295593e-05
1843,3.142476772133307e-07,4.477674815461796e-05
1844,2.969311720946166e-07,4.6870665869391814e-05
1845,2.818015216732306e-07,4.689065622187627e-05
1846,2.359364073001302e-07,4.347611309185595e-05
1847,2.389198110464008e-07,4.352709026989032e-05
1848,2.622742316660265e-07,4.0566419897913875e-05
1849,2.1702684072089085e-07,3.692724408210779e-05
1850,2.4033045598059743e-07,4.241289332185261e-05
1851,2.8313036226634836e-07,4.116483341931598e-05
1852,2.994851013848887e-07,3.726636259671068e-05
1853,3.039713381003395e-07,3.9682890701442375e-05
1854,3.0342679568917674e-07,4.3276767314637254e-05
1855,3.157627688210596e-07,3.944858576687693e-05
1856,3.05454175508757e-07,3.916750745247555e-05
1857,4.0760602182388084e-07,3.895737188486237e-05
1858,2.8089699988242955e-07,3.920568428839033e-05
1859,2.8261562801112916e-07,3.995319252680929e-05
1860,2.3984443742186556e-07,3.7991083445376717e-05
1861,2.801282459330423e-07,4.097087980881042e-05
1862,3.203252283423552e-07,3.6781379435524286e-05
1863,3.156600310028068e-07,3.798409306909889e-05
1864,3.04944698381604e-07,3.779875828513468e-05
1865,2.7676245673013966e-07,3.726455861396971e-05
1866,3.4643163537850796e-07,3.815175784893654e-05
1867,2.9747733343299387e-07,3.5770074987340195e-05
1868,2.657652117266096e-07,4.0543027694184275e-05
1869,2.1878165790134574e-07,3.840790270714933e-05
1870,2.6204603731372345e-07,4.213608440295502e-05
1871,1.6993883589222492e-07,4.0293559095516684e-05
1872,2.666876723900202e-07,3.740339650448732e-05
1873,2.3405277038701655e-07,3.897367889749148e-05
1874,1.8162811832311831e-07,3.620971574491705e-05
1875,2.385876887167626e-07,3.481663702586957e-05
1876,1.8682186286866909e-07,3.547257313130103e-05
1877,2.2389034581848932e-07,3.2190730109959986e-05
1878,1.7332184998331002e-07,3.2751791366081306e-05
1879,1.9549841123733813e-07,3.195665897237632e-05
1880,1.8675932844658405e-07,3.077999116385399e-05
1881,2.168449799722083e-07,3.089936382139058e-05
1882,1.6571908467710728e-07,3.161973495480197e-05
1883,1.9526757766286096e-07,3.10513351564623e-05
1884,1.7956616193970376e-07,3.441398553150066e-05
1885,1.7983322930792411e-07,3.19761551281772e-05
1886,1.6327263929749591e-07,3.242413822590606e-05
1887,1.912974973983239e-07,2.967330971159754e-05
1888,1.6739223385187074e-07,3.068603837164119e-05
1889,2.1677373718276272e-07,2.8666133857768727e-05
1890,1.8811089363968136e-07,2.8014104145768215e-05
